; Candidate 3967
; ADRP+ADD at VM 0xfffffff0087796c8 (fileoff 0x17756c8): page=0x1fe9b8000 add_imm=0xd90

0xfffffff008779648: 09518b52  mov	w9, #0x5a88
0xfffffff00877964c: c95e099b  madd	x9, x22, x9, x23
0xfffffff008779650: 0a2c8b52  mov	w10, #0x5960
0xfffffff008779654: 2a696ab8  ldr	w10, [x9, x10]
0xfffffff008779658: 0a950379  strh	w10, [x8, #0x1ca]
0xfffffff00877965c: 1fe50379  strh	wzr, [x8, #0x1f2]
0xfffffff008779660: 0a2d8b52  mov	w10, #0x5968
0xfffffff008779664: 29696ab8  ldr	w9, [x9, x10]
0xfffffff008779668: 09e90379  strh	w9, [x8, #0x1f4]
0xfffffff00877966c: e4ffff17  b	#0xfffffff0087795fc
0xfffffff008779670: 482b4179  ldrh	w8, [x26, #0x94]
0xfffffff008779674: 49234179  ldrh	w9, [x26, #0x90]
0xfffffff008779678: 0801094b  sub	w8, w8, w9
0xfffffff00877967c: 01050011  add	w1, w8, #1
0xfffffff008779680: 08518b52  mov	w8, #0x5a88
0xfffffff008779684: c85e089b  madd	x8, x22, x8, x23
0xfffffff008779688: 02354eb9  ldr	w2, [x8, #0xe34]
0xfffffff00877968c: 03394eb9  ldr	w3, [x8, #0xe38]
0xfffffff008779690: 89288b52  mov	w9, #0x5944
0xfffffff008779694: 046969b8  ldr	w4, [x8, x9]
0xfffffff008779698: e00313aa  mov	x0, x19
0xfffffff00877969c: 15000094  bl	#0xfffffff0087796f0
0xfffffff0087796a0: c0faff35  cbnz	w0, #0xfffffff0087795f8
0xfffffff0087796a4: 689a62b9  ldr	w8, [x19, #0x2298]
0xfffffff0087796a8: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff0087796ac: 2abd41b9  ldr	w10, [x9, #0x1bc]
0xfffffff0087796b0: 087d0653  lsr	w8, w8, #6
0xfffffff0087796b4: 0a2d1e33  bfi	w10, w8, #2, #0xc
0xfffffff0087796b8: 2abd01b9  str	w10, [x9, #0x1bc]
0xfffffff0087796bc: 88538452  mov	w8, #0x229c
0xfffffff0087796c0: 6802088b  add	x8, x19, x8
0xfffffff0087796c4: 97ffff17  b	#0xfffffff008779520
0xfffffff0087796c8: c04dff90  adrp	x0, #0xfffffff007131000
0xfffffff0087796cc: 00403691  add	x0, x0, #0xd90
0xfffffff0087796d0: 2194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087796d4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087796d8: 434efff0  adrp	x3, #0xfffffff007144000
0xfffffff0087796dc: 63b02e91  add	x3, x3, #0xbac
0xfffffff0087796e0: 02008052  mov	w2, #0
0xfffffff0087796e4: 93e6ee97  bl	#0xfffffff008333130
0xfffffff0087796e8: c4ffff17  b	#0xfffffff0087795f8
0xfffffff0087796ec: d891d797  bl	#0xfffffff007d5de4c
0xfffffff0087796f0: 7f2303d5  pacibsp	
0xfffffff0087796f4: ff8300d1  sub	sp, sp, #0x20
0xfffffff0087796f8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0087796fc: fd430091  add	x29, sp, #0x10
0xfffffff008779700: 090c40f9  ldr	x9, [x0, #0x18]
0xfffffff008779704: 293d4cb9  ldr	w9, [x9, #0xc3c]
0xfffffff008779708: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00877970c: 004c11fd  str	d0, [x0, #0x2298]
0xfffffff008779710: 89030034  cbz	w9, #0xfffffff008779780
0xfffffff008779714: 5f00036b  cmp	w2, w3
0xfffffff008779718: 4a80831a  csel	w10, w2, w3, hi
0xfffffff00877971c: 4a050011  add	w10, w10, #1
0xfffffff008779720: 4a791f12  and	w10, w10, #0xfffffffe
0xfffffff008779724: 4b1d0011  add	w11, w10, #7
0xfffffff008779728: 6b711d12  and	w11, w11, #0xfffffff8
0xfffffff00877972c: 3f050071  cmp	w9, #1
0xfffffff008779730: 49018b1a  csel	w9, w10, w11, eq
0xfffffff008779734: 3f210071  cmp	w9, #8
0xfffffff008779738: 88020054  b.hi	#0xfffffff008779788
0xfffffff00877973c: e80300aa  mov	x8, x0
0xfffffff008779740: f00309aa  mov	x16, x9
0xfffffff008779744: 1f2200f1  cmp	x16, #8
