; Candidate 9126
; ADRP+ADD at VM 0xfffffff0089fb0f0 (fileoff 0x19f70f0): page=0x1ff04e000 add_imm=0xe00

0xfffffff0089fb070: 1f7000b9  str	wzr, [x0, #0x70]
0xfffffff0089fb074: 0080873c  stur	q0, [x0, #0x78]
0xfffffff0089fb078: 7082ffd0  adrp	x16, #0xfffffff007a49000
0xfffffff0089fb07c: 10820c91  add	x16, x16, #0x320
0xfffffff0089fb080: 10420091  add	x16, x16, #0x10
0xfffffff0089fb084: f10308aa  mov	x17, x8
0xfffffff0089fb088: 11a9e4f2  movk	x17, #0x2548, lsl #48
0xfffffff0089fb08c: 300ac1da  pacda	x16, x17
0xfffffff0089fb090: 102c00f9  str	x16, [x0, #0x58]
0xfffffff0089fb094: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0089fb098: ff0f5fd6  retab	
0xfffffff0089fb09c: 5f2403d5  bti	c
0xfffffff0089fb0a0: d9ffff17  b	#0xfffffff0089fb004
0xfffffff0089fb0a4: 7f2303d5  pacibsp	
0xfffffff0089fb0a8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0089fb0ac: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0089fb0b0: fd430091  add	x29, sp, #0x10
0xfffffff0089fb0b4: f30300aa  mov	x19, x0
0xfffffff0089fb0b8: 7082ffd0  adrp	x16, #0xfffffff007a49000
0xfffffff0089fb0bc: 10420a91  add	x16, x16, #0x290
0xfffffff0089fb0c0: 10420091  add	x16, x16, #0x10
0xfffffff0089fb0c4: f10300aa  mov	x17, x0
0xfffffff0089fb0c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089fb0cc: 300ac1da  pacda	x16, x17
0xfffffff0089fb0d0: 108405f8  str	x16, [x0], #0x58
0xfffffff0089fb0d4: 4d070094  bl	#0xfffffff0089fce08
0xfffffff0089fb0d8: 60a20091  add	x0, x19, #0x28
0xfffffff0089fb0dc: 79070094  bl	#0xfffffff0089fcec0
0xfffffff0089fb0e0: 610e40f9  ldr	x1, [x19, #0x18]
0xfffffff0089fb0e4: c10000b4  cbz	x1, #0xfffffff0089fb0fc
0xfffffff0089fb0e8: 682240b9  ldr	w8, [x19, #0x20]
0xfffffff0089fb0ec: 02f17dd3  lsl	x2, x8, #3
0xfffffff0089fb0f0: 6082ffd0  adrp	x0, #0xfffffff007a49000
0xfffffff0089fb0f4: 00003891  add	x0, x0, #0xe00
0xfffffff0089fb0f8: 3c6fe597  bl	#0xfffffff008356de8
0xfffffff0089fb0fc: e00313aa  mov	x0, x19
0xfffffff0089fb100: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0089fb104: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0089fb108: ff2303d5  autibsp	
0xfffffff0089fb10c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0089fb110: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0089fb118
0xfffffff0089fb114: 208e38d4  brk	#0xc471
0xfffffff0089fb118: 0db1e317  b	#0xfffffff0082e754c
0xfffffff0089fb11c: 7f2303d5  pacibsp	
0xfffffff0089fb120: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0089fb124: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0089fb128: fd430091  add	x29, sp, #0x10
0xfffffff0089fb12c: f30300aa  mov	x19, x0
0xfffffff0089fb130: 7082ffd0  adrp	x16, #0xfffffff007a49000
0xfffffff0089fb134: 10420a91  add	x16, x16, #0x290
0xfffffff0089fb138: 10420091  add	x16, x16, #0x10
0xfffffff0089fb13c: f10300aa  mov	x17, x0
0xfffffff0089fb140: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089fb144: 300ac1da  pacda	x16, x17
0xfffffff0089fb148: 108405f8  str	x16, [x0], #0x58
0xfffffff0089fb14c: 2f070094  bl	#0xfffffff0089fce08
0xfffffff0089fb150: 60a20091  add	x0, x19, #0x28
0xfffffff0089fb154: 5b070094  bl	#0xfffffff0089fcec0
0xfffffff0089fb158: 610e40f9  ldr	x1, [x19, #0x18]
0xfffffff0089fb15c: c10000b4  cbz	x1, #0xfffffff0089fb174
0xfffffff0089fb160: 682240b9  ldr	w8, [x19, #0x20]
0xfffffff0089fb164: 02f17dd3  lsl	x2, x8, #3
0xfffffff0089fb168: 6082ffd0  adrp	x0, #0xfffffff007a49000
0xfffffff0089fb16c: 00003891  add	x0, x0, #0xe00
