; Candidate 14084
; ADRP+ADD at VM 0xfffffff0096bf054 (fileoff 0x26bb054): page=0x1fdecf000 add_imm=0xecc

0xfffffff0096befd4: 000300b4  cbz	x0, #0xfffffff0096bf034
0xfffffff0096befd8: 700240f9  ldr	x16, [x19]
0xfffffff0096befdc: f01ac1da  autda	x16, x23
0xfffffff0096befe0: 116e80d2  mov	x17, #0x370
0xfffffff0096befe4: 1002118b  add	x16, x16, x17
0xfffffff0096befe8: 080240f9  ldr	x8, [x16]
0xfffffff0096befec: e90310aa  mov	x9, x16
0xfffffff0096beff0: e00313aa  mov	x0, x19
0xfffffff0096beff4: f10309aa  mov	x17, x9
0xfffffff0096beff8: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0096beffc: 11093fd7  blraa	x8, x17
0xfffffff0096bf000: 100040f9  ldr	x16, [x0]
0xfffffff0096bf004: f10300aa  mov	x17, x0
0xfffffff0096bf008: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0096bf00c: 301ac1da  autda	x16, x17
0xfffffff0096bf010: 113d80d2  mov	x17, #0x1e8
0xfffffff0096bf014: 1002118b  add	x16, x16, x17
0xfffffff0096bf018: 080240f9  ldr	x8, [x16]
0xfffffff0096bf01c: e90310aa  mov	x9, x16
0xfffffff0096bf020: 010080d2  mov	x1, #0
0xfffffff0096bf024: f10309aa  mov	x17, x9
0xfffffff0096bf028: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0096bf02c: 11093fd7  blraa	x8, x17
0xfffffff0096bf030: 03000014  b	#0xfffffff0096bf03c
0xfffffff0096bf034: 60f6fed0  adrp	x0, #0xfffffff00758d000
0xfffffff0096bf038: 007c1f91  add	x0, x0, #0x7df
0xfffffff0096bf03c: bf021aeb  cmp	x21, x26
0xfffffff0096bf040: f5179f1a  cset	w21, eq
0xfffffff0096bf044: f66300a9  stp	x22, x24, [sp]
0xfffffff0096bf048: e803142a  mov	w8, w20
0xfffffff0096bf04c: f5a301a9  stp	x21, x8, [sp, #0x18]
0xfffffff0096bf050: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0096bf054: 60f6fef0  adrp	x0, #0xfffffff00758e000
0xfffffff0096bf058: 00303b91  add	x0, x0, #0xecc
0xfffffff0096bf05c: f15fb297  bl	#0xfffffff008357020
0xfffffff0096bf060: bf02146b  cmp	w21, w20
0xfffffff0096bf064: 80040054  b.eq	#0xfffffff0096bf0f4
0xfffffff0096bf068: 700240f9  ldr	x16, [x19]
0xfffffff0096bf06c: f01ac1da  autda	x16, x23
0xfffffff0096bf070: 11da80d2  mov	x17, #0x6d0
0xfffffff0096bf074: 1002118b  add	x16, x16, x17
0xfffffff0096bf078: 080240f9  ldr	x8, [x16]
0xfffffff0096bf07c: e90310aa  mov	x9, x16
0xfffffff0096bf080: e00313aa  mov	x0, x19
0xfffffff0096bf084: e10314aa  mov	x1, x20
0xfffffff0096bf088: f10309aa  mov	x17, x9
0xfffffff0096bf08c: 3177f2f2  movk	x17, #0x93b9, lsl #48
0xfffffff0096bf090: 11093fd7  blraa	x8, x17
0xfffffff0096bf094: 20030035  cbnz	w0, #0xfffffff0096bf0f8
0xfffffff0096bf098: 355341f9  ldr	x21, [x25, #0x2a0]
0xfffffff0096bf09c: e00314aa  mov	x0, x20
0xfffffff0096bf0a0: 9dadb097  bl	#0xfffffff0082ea714
0xfffffff0096bf0a4: e20300aa  mov	x2, x0
0xfffffff0096bf0a8: 700240f9  ldr	x16, [x19]
0xfffffff0096bf0ac: f01ac1da  autda	x16, x23
0xfffffff0096bf0b0: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff0096bf0b4: e90310aa  mov	x9, x16
0xfffffff0096bf0b8: e00313aa  mov	x0, x19
0xfffffff0096bf0bc: e10315aa  mov	x1, x21
0xfffffff0096bf0c0: f10309aa  mov	x17, x9
0xfffffff0096bf0c4: 11afe8f2  movk	x17, #0x4578, lsl #48
0xfffffff0096bf0c8: 11093fd7  blraa	x8, x17
0xfffffff0096bf0cc: e00313aa  mov	x0, x19
0xfffffff0096bf0d0: 57fdff97  bl	#0xfffffff0096be62c
