; Candidate 5561
; ADRP+ADD at VM 0xfffffff0087f8920 (fileoff 0x17f4920): page=0x1fea1e000 add_imm=0xdf4

0xfffffff0087f88a0: f44f0fa9  stp	x20, x19, [sp, #0xf0]
0xfffffff0087f88a4: fd7b10a9  stp	x29, x30, [sp, #0x100]
0xfffffff0087f88a8: fd030491  add	x29, sp, #0x100
0xfffffff0087f88ac: fa0307aa  mov	x26, x7
0xfffffff0087f88b0: f90306aa  mov	x25, x6
0xfffffff0087f88b4: a5ff39a9  stp	x5, xzr, [x29, #-0x68]
0xfffffff0087f88b8: f60304aa  mov	x22, x4
0xfffffff0087f88bc: f50303aa  mov	x21, x3
0xfffffff0087f88c0: f80302aa  mov	x24, x2
0xfffffff0087f88c4: f40301aa  mov	x20, x1
0xfffffff0087f88c8: f30300aa  mov	x19, x0
0xfffffff0087f88cc: 000f8052  mov	w0, #0x78
0xfffffff0087f88d0: e1008052  mov	w1, #7
0xfffffff0087f88d4: bf0b0294  bl	#0xfffffff00887b7d0
0xfffffff0087f88d8: e0050034  cbz	w0, #0xfffffff0087f8994
0xfffffff0087f88dc: 000f8052  mov	w0, #0x78
0xfffffff0087f88e0: ce0b0294  bl	#0xfffffff00887b818
0xfffffff0087f88e4: fb0300aa  mov	x27, x0
0xfffffff0087f88e8: 31ee0294  bl	#0xfffffff0088b41ac
0xfffffff0087f88ec: f70300aa  mov	x23, x0
0xfffffff0087f88f0: e0008052  mov	w0, #7
0xfffffff0087f88f4: d70b0294  bl	#0xfffffff00887b850
0xfffffff0087f88f8: fb010034  cbz	w27, #0xfffffff0087f8934
0xfffffff0087f88fc: f96b05a9  stp	x25, x26, [sp, #0x50]
0xfffffff0087f8900: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff0087f8904: f62304a9  stp	x22, x8, [sp, #0x40]
0xfffffff0087f8908: f85703a9  stp	x24, x21, [sp, #0x30]
0xfffffff0087f890c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087f8910: e850ffd0  adrp	x8, #0xfffffff007216000
0xfffffff0087f8914: 08b13891  add	x8, x8, #0xe2c
0xfffffff0087f8918: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f891c: 080f8052  mov	w8, #0x78
0xfffffff0087f8920: e050ffd0  adrp	x0, #0xfffffff007216000
0xfffffff0087f8924: 00d03791  add	x0, x0, #0xdf4
0xfffffff0087f8928: f72300a9  stp	x23, x8, [sp]
0xfffffff0087f892c: cdfad697  bl	#0xfffffff007db7460
0xfffffff0087f8930: 19000014  b	#0xfffffff0087f8994
0xfffffff0087f8934: 1eee0294  bl	#0xfffffff0088b41ac
0xfffffff0087f8938: f70300aa  mov	x23, x0
0xfffffff0087f893c: e0008052  mov	w0, #7
0xfffffff0087f8940: c40b0294  bl	#0xfffffff00887b850
0xfffffff0087f8944: f96b05a9  stp	x25, x26, [sp, #0x50]
0xfffffff0087f8948: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff0087f894c: f62304a9  stp	x22, x8, [sp, #0x40]
0xfffffff0087f8950: e80318aa  mov	x8, x24
0xfffffff0087f8954: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff0087f8958: e80314aa  mov	x8, x20
0xfffffff0087f895c: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0087f8960: e850ffd0  adrp	x8, #0xfffffff007216000
0xfffffff0087f8964: 08b13891  add	x8, x8, #0xe2c
0xfffffff0087f8968: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f896c: 080f8052  mov	w8, #0x78
0xfffffff0087f8970: 4352ffb0  adrp	x3, #0xfffffff007241000
0xfffffff0087f8974: 63b41b91  add	x3, x3, #0x6ed
0xfffffff0087f8978: f72300a9  stp	x23, x8, [sp]
0xfffffff0087f897c: 804fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f8980: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f8984: 8190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f8988: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f898c: 02008052  mov	w2, #0
0xfffffff0087f8990: e8e9ec97  bl	#0xfffffff008333130
0xfffffff0087f8994: b60319f8  stur	x22, [x29, #-0x70]
0xfffffff0087f8998: 7b0a40f9  ldr	x27, [x19, #0x10]
0xfffffff0087f899c: a18301d1  sub	x1, x29, #0x60
