; Candidate 12653
; ADRP+ADD at VM 0xfffffff0090e6000 (fileoff 0x20e2000): page=0x1fe389000 add_imm=0xd9f

0xfffffff0090e5f80: f44f4da9  ldp	x20, x19, [sp, #0xd0]
0xfffffff0090e5f84: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff0090e5f88: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff0090e5f8c: fa674aa9  ldp	x26, x25, [sp, #0xa0]
0xfffffff0090e5f90: fc6f49a9  ldp	x28, x27, [sp, #0x90]
0xfffffff0090e5f94: ffc30391  add	sp, sp, #0xf0
0xfffffff0090e5f98: ff0f5fd6  retab	
0xfffffff0090e5f9c: e8024039  ldrb	w8, [x23]
0xfffffff0090e5fa0: e8fe3736  tbz	w8, #6, #0xfffffff0090e5f7c
0xfffffff0090e5fa4: 01230094  bl	#0xfffffff0090eeba8
0xfffffff0090e5fa8: 281cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e5fac: 08852c91  add	x8, x8, #0xb21
0xfffffff0090e5fb0: 291cfff0  adrp	x9, #0xfffffff00746c000
0xfffffff0090e5fb4: 29512c91  add	x9, x9, #0xb14
0xfffffff0090e5fb8: ea0240f9  ldr	x10, [x23]
0xfffffff0090e5fbc: 5f0100f1  cmp	x10, #0
0xfffffff0090e5fc0: 2801889a  csel	x8, x9, x8, eq
0xfffffff0090e5fc4: 4a1cff90  adrp	x10, #0xfffffff00746d000
0xfffffff0090e5fc8: 4a4d0b91  add	x10, x10, #0x2d3
0xfffffff0090e5fcc: 2a018a9a  csel	x10, x9, x10, eq
0xfffffff0090e5fd0: ea2305a9  stp	x10, x8, [sp, #0x50]
0xfffffff0090e5fd4: e02304a9  stp	x0, x8, [sp, #0x40]
0xfffffff0090e5fd8: 281cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e5fdc: 08552c91  add	x8, x8, #0xb15
0xfffffff0090e5fe0: 6af08552  mov	w10, #0x2f83
0xfffffff0090e5fe4: ea2303a9  stp	x10, x8, [sp, #0x30]
0xfffffff0090e5fe8: e92702a9  stp	x9, x9, [sp, #0x20]
0xfffffff0090e5fec: 281cfff0  adrp	x8, #0xfffffff00746c000
0xfffffff0090e5ff0: 08212c91  add	x8, x8, #0xb08
0xfffffff0090e5ff4: 2a1cfff0  adrp	x10, #0xfffffff00746c000
0xfffffff0090e5ff8: 4add2b91  add	x10, x10, #0xaf7
0xfffffff0090e5ffc: e92701a9  stp	x9, x9, [sp, #0x10]
0xfffffff0090e6000: 401cffb0  adrp	x0, #0xfffffff00746f000
0xfffffff0090e6004: 007c3691  add	x0, x0, #0xd9f
0xfffffff0090e6008: a7ffff17  b	#0xfffffff0090e5ea4
0xfffffff0090e600c: 7f2303d5  pacibsp	
0xfffffff0090e6010: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0090e6014: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0090e6018: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0090e601c: fd830091  add	x29, sp, #0x20
0xfffffff0090e6020: 010600b4  cbz	x1, #0xfffffff0090e60e0
0xfffffff0090e6024: f30301aa  mov	x19, x1
0xfffffff0090e6028: 340040f9  ldr	x20, [x1]
0xfffffff0090e602c: b40500b4  cbz	x20, #0xfffffff0090e60e0
0xfffffff0090e6030: f50300aa  mov	x21, x0
0xfffffff0090e6034: 900240f9  ldr	x16, [x20]
0xfffffff0090e6038: f10314aa  mov	x17, x20
0xfffffff0090e603c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090e6040: 301ac1da  autda	x16, x17
0xfffffff0090e6044: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff0090e6048: e90310aa  mov	x9, x16
0xfffffff0090e604c: e00314aa  mov	x0, x20
0xfffffff0090e6050: f10309aa  mov	x17, x9
0xfffffff0090e6054: 3153f3f2  movk	x17, #0x9a99, lsl #48
0xfffffff0090e6058: 11093fd7  blraa	x8, x17
0xfffffff0090e605c: b00240f9  ldr	x16, [x21]
0xfffffff0090e6060: f10315aa  mov	x17, x21
0xfffffff0090e6064: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090e6068: 301ac1da  autda	x16, x17
0xfffffff0090e606c: 116f80d2  mov	x17, #0x378
0xfffffff0090e6070: 1002118b  add	x16, x16, x17
0xfffffff0090e6074: 080240f9  ldr	x8, [x16]
0xfffffff0090e6078: e90310aa  mov	x9, x16
0xfffffff0090e607c: e00315aa  mov	x0, x21
