; Candidate 16696
; ADRP+ADD at VM 0xfffffff009f30938 (fileoff 0x2f2c938): page=0x1fd92b000 add_imm=0xd11

0xfffffff009f308b8: 00e03291  add	x0, x0, #0xcb8
0xfffffff009f308bc: 023cfd97  bl	#0xfffffff009e7f8c4
0xfffffff009f308c0: 206b40f9  ldr	x0, [x25, #0xd0]
0xfffffff009f308c4: 01008052  mov	w1, #0
0xfffffff009f308c8: 9b100094  bl	#0xfffffff009f34b34
0xfffffff009f308cc: 3f7300f9  str	xzr, [x25, #0xe0]
0xfffffff009f308d0: 3f7b00f9  str	xzr, [x25, #0xf0]
0xfffffff009f308d4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009f308d8: 20838f3c  stur	q0, [x25, #0xf8]
0xfffffff009f308dc: e85340f9  ldr	x8, [sp, #0xa0]
0xfffffff009f308e0: 0001803d  str	q0, [x8]
0xfffffff009f308e4: 3f8f00f9  str	xzr, [x25, #0x118]
0xfffffff009f308e8: 3fb300f9  str	xzr, [x25, #0x160]
0xfffffff009f308ec: 3f2f01f9  str	xzr, [x25, #0x258]
0xfffffff009f308f0: 3f3b01f9  str	xzr, [x25, #0x270]
0xfffffff009f308f4: 3f4701f9  str	xzr, [x25, #0x288]
0xfffffff009f308f8: 3fcf0439  strb	wzr, [x25, #0x133]
0xfffffff009f308fc: 75ffff17  b	#0xfffffff009f306d0
0xfffffff009f30900: e00319aa  mov	x0, x25
0xfffffff009f30904: e10317aa  mov	x1, x23
0xfffffff009f30908: 9bf6ff97  bl	#0xfffffff009f2e374
0xfffffff009f3090c: c0010034  cbz	w0, #0xfffffff009f30944
0xfffffff009f30910: 286740f9  ldr	x8, [x25, #0xc8]
0xfffffff009f30914: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f30918: e90a40f9  ldr	x9, [x23, #0x10]
0xfffffff009f3091c: ea8a40b9  ldr	w10, [x23, #0x88]
0xfffffff009f30920: ea0302a9  stp	x10, x0, [sp, #0x20]
0xfffffff009f30924: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f30928: 8b488052  mov	w11, #0x244
0xfffffff009f3092c: 48c9fef0  adrp	x8, #0xfffffff00785b000
0xfffffff009f30930: 08052d91  add	x8, x8, #0xb41
0xfffffff009f30934: e82f00a9  stp	x8, x11, [sp]
0xfffffff009f30938: 40c9fef0  adrp	x0, #0xfffffff00785b000
0xfffffff009f3093c: 00443491  add	x0, x0, #0xd11
0xfffffff009f30940: 13000014  b	#0xfffffff009f3098c
0xfffffff009f30944: a22303d1  sub	x2, x29, #0xc8
0xfffffff009f30948: a34303d1  sub	x3, x29, #0xd0
0xfffffff009f3094c: e00319aa  mov	x0, x25
0xfffffff009f30950: e10317aa  mov	x1, x23
0xfffffff009f30954: 56f7ff97  bl	#0xfffffff009f2e6ac
0xfffffff009f30958: 40020034  cbz	w0, #0xfffffff009f309a0
0xfffffff009f3095c: 286740f9  ldr	x8, [x25, #0xc8]
0xfffffff009f30960: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f30964: e90a40f9  ldr	x9, [x23, #0x10]
0xfffffff009f30968: ea8a40b9  ldr	w10, [x23, #0x88]
0xfffffff009f3096c: ea0302a9  stp	x10, x0, [sp, #0x20]
0xfffffff009f30970: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f30974: ab498052  mov	w11, #0x24d
0xfffffff009f30978: 48c9fef0  adrp	x8, #0xfffffff00785b000
0xfffffff009f3097c: 08052d91  add	x8, x8, #0xb41
0xfffffff009f30980: e82f00a9  stp	x8, x11, [sp]
0xfffffff009f30984: 40c9fef0  adrp	x0, #0xfffffff00785b000
0xfffffff009f30988: 00583591  add	x0, x0, #0xd56
0xfffffff009f3098c: ce3bfd97  bl	#0xfffffff009e7f8c4
0xfffffff009f30990: e00319aa  mov	x0, x25
0xfffffff009f30994: 2af5ff97  bl	#0xfffffff009f2de3c
0xfffffff009f30998: f43740f9  ldr	x20, [sp, #0x68]
0xfffffff009f3099c: 4dffff17  b	#0xfffffff009f306d0
0xfffffff009f309a0: 206340f9  ldr	x0, [x25, #0xc0]
0xfffffff009f309a4: 622640b9  ldr	w2, [x19, #0x24]
0xfffffff009f309a8: e10317aa  mov	x1, x23
0xfffffff009f309ac: f96f7897  bl	#0xfffffff007d4c990
0xfffffff009f309b0: 286340f9  ldr	x8, [x25, #0xc0]
0xfffffff009f309b4: 082d40f9  ldr	x8, [x8, #0x58]
