; Candidate 3832
; ADRP+ADD at VM 0xfffffff008768520 (fileoff 0x1764520): page=0x1fe9c9000 add_imm=0xd90

0xfffffff0087684a0: 4a050011  add	w10, w10, #1
0xfffffff0087684a4: 4a791f12  and	w10, w10, #0xfffffffe
0xfffffff0087684a8: 4b1d0011  add	w11, w10, #7
0xfffffff0087684ac: 6b711d12  and	w11, w11, #0xfffffff8
0xfffffff0087684b0: 3f050071  cmp	w9, #1
0xfffffff0087684b4: 49018b1a  csel	w9, w10, w11, eq
0xfffffff0087684b8: 3f210071  cmp	w9, #8
0xfffffff0087684bc: 88020054  b.hi	#0xfffffff00876850c
0xfffffff0087684c0: e80300aa  mov	x8, x0
0xfffffff0087684c4: f00309aa  mov	x16, x9
0xfffffff0087684c8: 1f2200f1  cmp	x16, #8
0xfffffff0087684cc: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff0087684d0: 11000090  adrp	x17, #0xfffffff008768000
0xfffffff0087684d4: 31821891  add	x17, x17, #0x620
0xfffffff0087684d8: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff0087684dc: 11000010  adr	x17, #0xfffffff0087684dc
0xfffffff0087684e0: 3002108b  add	x16, x17, x16
0xfffffff0087684e4: 00021fd6  br	x16
0xfffffff0087684e8: 9f2403d5  bti	j
0xfffffff0087684ec: 00008052  mov	w0, #0
0xfffffff0087684f0: 29fc0011  add	w9, w1, #0x3f
0xfffffff0087684f4: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff0087684f8: 099922b9  str	w9, [x8, #0x2298]
0xfffffff0087684fc: 29781f53  lsl	w9, w1, #1
0xfffffff008768500: 41000014  b	#0xfffffff008768604
0xfffffff008768504: 00008052  mov	w0, #0
0xfffffff008768508: 43000014  b	#0xfffffff008768614
0xfffffff00876850c: 9f2403d5  bti	j
0xfffffff008768510: 28210011  add	w8, w9, #8
0xfffffff008768514: 294ffff0  adrp	x9, #0xfffffff00714f000
0xfffffff008768518: 29351b91  add	x9, x9, #0x6cd
0xfffffff00876851c: e92300a9  stp	x9, x8, [sp]
0xfffffff008768520: 404effb0  adrp	x0, #0xfffffff007131000
0xfffffff008768524: 00403691  add	x0, x0, #0xd90
0xfffffff008768528: a194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876852c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008768530: c34effd0  adrp	x3, #0xfffffff007142000
0xfffffff008768534: 63142991  add	x3, x3, #0xa45
0xfffffff008768538: 02008052  mov	w2, #0
0xfffffff00876853c: fd2aef97  bl	#0xfffffff008333130
0xfffffff008768540: 00008012  mov	w0, #-1
0xfffffff008768544: 34000014  b	#0xfffffff008768614
0xfffffff008768548: 9f2403d5  bti	j
0xfffffff00876854c: 00008052  mov	w0, #0
0xfffffff008768550: 29080011  add	w9, w1, #2
0xfffffff008768554: 6a559552  mov	w10, #0xaaab
0xfffffff008768558: 4a55b572  movk	w10, #0xaaaa, lsl #16
0xfffffff00876855c: 297daa9b  umull	x9, w9, w10
0xfffffff008768560: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008768564: 29791f53  lsl	w9, w9, #1
0xfffffff008768568: 29751e12  and	w9, w9, #0xfffffffc
0xfffffff00876856c: 29fd0011  add	w9, w9, #0x3f
0xfffffff008768570: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff008768574: 099922b9  str	w9, [x8, #0x2298]
0xfffffff008768578: 29781f53  lsl	w9, w1, #1
0xfffffff00876857c: 2909c41a  udiv	w9, w9, w4
0xfffffff008768580: 29150011  add	w9, w9, #5
0xfffffff008768584: 297daa9b  umull	x9, w9, w10
0xfffffff008768588: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff00876858c: 29791f53  lsl	w9, w9, #1
0xfffffff008768590: 29711d12  and	w9, w9, #0xfffffff8
0xfffffff008768594: 1d000014  b	#0xfffffff008768608
0xfffffff008768598: 9f2403d5  bti	j
0xfffffff00876859c: 00008052  mov	w0, #0
