; Candidate 16439
; ADRP+ADD at VM 0xfffffff009eaa974 (fileoff 0x2ea6974): page=0x1fd98b000 add_imm=0xed1

0xfffffff009eaa8f4: 68a18c52  mov	w8, #0x650b
0xfffffff009eaa8f8: 49ccfed0  adrp	x9, #0xfffffff007834000
0xfffffff009eaa8fc: 291d3591  add	x9, x9, #0xd47
0xfffffff009eaa900: 4accfef0  adrp	x10, #0xfffffff007835000
0xfffffff009eaa904: 4a413091  add	x10, x10, #0xc10
0xfffffff009eaa908: 06000014  b	#0xfffffff009eaa920
0xfffffff009eaa90c: 289a8c52  mov	w8, #0x64d1
0xfffffff009eaa910: 49ccfed0  adrp	x9, #0xfffffff007834000
0xfffffff009eaa914: 291d3591  add	x9, x9, #0xd47
0xfffffff009eaa918: 6accfed0  adrp	x10, #0xfffffff007838000
0xfffffff009eaa91c: 4ad92691  add	x10, x10, #0x9b6
0xfffffff009eaa920: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009eaa924: ea0300f9  str	x10, [sp]
0xfffffff009eaa928: c0cdfef0  adrp	x0, #0xfffffff007865000
0xfffffff009eaa92c: 00783091  add	x0, x0, #0xc1e
0xfffffff009eaa930: f7a69797  bl	#0xfffffff00849450c
0xfffffff009eaa934: 7f2303d5  pacibsp	
0xfffffff009eaa938: ff8301d1  sub	sp, sp, #0x60
0xfffffff009eaa93c: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff009eaa940: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff009eaa944: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff009eaa948: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff009eaa94c: fd430191  add	x29, sp, #0x50
0xfffffff009eaa950: f40301aa  mov	x20, x1
0xfffffff009eaa954: f30300aa  mov	x19, x0
0xfffffff009eaa958: 44fcff97  bl	#0xfffffff009ea9a68
0xfffffff009eaa95c: e903002a  mov	w9, w0
0xfffffff009eaa960: 77ccfed0  adrp	x23, #0xfffffff007838000
0xfffffff009eaa964: f75e2791  add	x23, x23, #0x9d7
0xfffffff009eaa968: a8448c52  mov	w8, #0x6225
0xfffffff009eaa96c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009eaa970: f70300f9  str	x23, [sp]
0xfffffff009eaa974: 40ccfef0  adrp	x0, #0xfffffff007835000
0xfffffff009eaa978: 00443b91  add	x0, x0, #0xed1
0xfffffff009eaa97c: b9327c97  bl	#0xfffffff007db7460
0xfffffff009eaa980: 08c88352  mov	w8, #0x1e40
0xfffffff009eaa984: 7602088b  add	x22, x19, x8
0xfffffff009eaa988: e00316aa  mov	x0, x22
0xfffffff009eaa98c: 50047c97  bl	#0xfffffff007dabacc
0xfffffff009eaa990: 75525eb9  ldr	w21, [x19, #0x1e50]
0xfffffff009eaa994: e00316aa  mov	x0, x22
0xfffffff009eaa998: 69077c97  bl	#0xfffffff007dac73c
0xfffffff009eaa99c: b5020034  cbz	w21, #0xfffffff009eaa9f0
0xfffffff009eaa9a0: 780650f9  ldr	x24, [x19, #0x2008]
0xfffffff009eaa9a4: 918d8097  bl	#0xfffffff007ecdfe8
0xfffffff009eaa9a8: f50300aa  mov	x21, x0
0xfffffff009eaa9ac: 1f0300eb  cmp	x24, x0
0xfffffff009eaa9b0: 80000054  b.eq	#0xfffffff009eaa9c0
0xfffffff009eaa9b4: 08ff8352  mov	w8, #0x1ff8
0xfffffff009eaa9b8: 6002088b  add	x0, x19, x8
0xfffffff009eaa9bc: 530c7c97  bl	#0xfffffff007dadb08
0xfffffff009eaa9c0: e00313aa  mov	x0, x19
0xfffffff009eaa9c4: e10314aa  mov	x1, x20
0xfffffff009eaa9c8: fa030094  bl	#0xfffffff009eab9b0
0xfffffff009eaa9cc: f40300aa  mov	x20, x0
0xfffffff009eaa9d0: 40010034  cbz	w0, #0xfffffff009eaa9f8
0xfffffff009eaa9d4: 88468c52  mov	w8, #0x6234
0xfffffff009eaa9d8: e8d300a9  stp	x8, x20, [sp, #8]
0xfffffff009eaa9dc: f70300f9  str	x23, [sp]
0xfffffff009eaa9e0: 60ccfed0  adrp	x0, #0xfffffff007838000
0xfffffff009eaa9e4: 009c2791  add	x0, x0, #0x9e7
0xfffffff009eaa9e8: 9e327c97  bl	#0xfffffff007db7460
0xfffffff009eaa9ec: 08000014  b	#0xfffffff009eaaa0c
0xfffffff009eaa9f0: 14008052  mov	w20, #0
