; Candidate 10005
; ADRP+ADD at VM 0xfffffff008c4db1c (fileoff 0x1c49b1c): page=0x1698000 add_imm=0xde0

0xfffffff008c4da9c: 21f43691  add	x1, x1, #0xdbd
0xfffffff008c4daa0: e00316aa  mov	x0, x22
0xfffffff008c4daa4: f10309aa  mov	x17, x9
0xfffffff008c4daa8: 310be8f2  movk	x17, #0x4059, lsl #48
0xfffffff008c4daac: 11093fd7  blraa	x8, x17
0xfffffff008c4dab0: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008c4dab4: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008c4dab8: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008c4dabc: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008c4dac0: ffc30191  add	sp, sp, #0x70
0xfffffff008c4dac4: ff0f5fd6  retab	
0xfffffff008c4dac8: 7f2303d5  pacibsp	
0xfffffff008c4dacc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008c4dad0: fd030091  mov	x29, sp
0xfffffff008c4dad4: c0b40090  adrp	x0, #0xfffffff00a2e5000
0xfffffff008c4dad8: 00803791  add	x0, x0, #0xde0
0xfffffff008c4dadc: a137ffd0  adrp	x1, #0xfffffff007343000
0xfffffff008c4dae0: 21202791  add	x1, x1, #0x9c8
0xfffffff008c4dae4: a272ffd0  adrp	x2, #0xfffffff007aa3000
0xfffffff008c4dae8: 42dc45f9  ldr	x2, [x2, #0xbb8]
0xfffffff008c4daec: 03388052  mov	w3, #0x1c0
0xfffffff008c4daf0: 1258da97  bl	#0xfffffff0082e3b38
0xfffffff008c4daf4: b072fff0  adrp	x16, #0xfffffff007aa4000
0xfffffff008c4daf8: 10821391  add	x16, x16, #0x4e0
0xfffffff008c4dafc: 10420091  add	x16, x16, #0x10
0xfffffff008c4db00: f10300aa  mov	x17, x0
0xfffffff008c4db04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c4db08: 300ac1da  pacda	x16, x17
0xfffffff008c4db0c: 100000f9  str	x16, [x0]
0xfffffff008c4db10: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008c4db14: ff0f5fd6  retab	
0xfffffff008c4db18: 5f2403d5  bti	c
0xfffffff008c4db1c: c0b40090  adrp	x0, #0xfffffff00a2e5000
0xfffffff008c4db20: 00803791  add	x0, x0, #0xde0
0xfffffff008c4db24: f45ada17  b	#0xfffffff0082e46f4
0xfffffff008c4db28: 5f2403d5  bti	c
0xfffffff008c4db2c: 480040b9  ldr	w8, [x2]
0xfffffff008c4db30: 1f090071  cmp	w8, #2
0xfffffff008c4db34: a3000034  cbz	w3, #0xfffffff008c4db48
0xfffffff008c4db38: e2000054  b.hs	#0xfffffff008c4db54
0xfffffff008c4db3c: 08008052  mov	w8, #0
0xfffffff008c4db40: 00008052  mov	w0, #0
0xfffffff008c4db44: 18000014  b	#0xfffffff008c4dba4
0xfffffff008c4db48: e2010054  b.hs	#0xfffffff008c4db84
0xfffffff008c4db4c: 09008052  mov	w9, #0
0xfffffff008c4db50: 10000014  b	#0xfffffff008c4db90
0xfffffff008c4db54: 49239452  mov	w9, #0xa11a
0xfffffff008c4db58: 29340078  strh	w9, [x1], #3
0xfffffff008c4db5c: 09239c52  mov	w9, #0xe118
0xfffffff008c4db60: eb0308aa  mov	x11, x8
0xfffffff008c4db64: 6a090071  subs	w10, w11, #2
0xfffffff008c4db68: c0010054  b.eq	#0xfffffff008c4dba0
0xfffffff008c4db6c: 7f0d0071  cmp	w11, #3
0xfffffff008c4db70: 60feff54  b.eq	#0xfffffff008c4db3c
0xfffffff008c4db74: 29f01f78  sturh	w9, [x1, #-1]
0xfffffff008c4db78: 21080091  add	x1, x1, #2
0xfffffff008c4db7c: eb030aaa  mov	x11, x10
0xfffffff008c4db80: f9ffff17  b	#0xfffffff008c4db64
0xfffffff008c4db84: 49239452  mov	w9, #0xa11a
0xfffffff008c4db88: 29000079  strh	w9, [x1]
0xfffffff008c4db8c: 49008052  mov	w9, #2
0xfffffff008c4db90: 1f050071  cmp	w8, #1
0xfffffff008c4db94: e0979f1a  cset	w0, hi
0xfffffff008c4db98: e80309aa  mov	x8, x9
