; Candidate 1066
; ADRP+ADD at VM 0xfffffff0081d5780 (fileoff 0x11d1780): page=0x1feeaf000 add_imm=0xe0a

0xfffffff0081d5700: f1030baa  mov	x17, x11
0xfffffff0081d5704: 719ae8f2  movk	x17, #0x44d3, lsl #48
0xfffffff0081d5708: 301ac1da  autda	x16, x17
0xfffffff0081d570c: f10310aa  mov	x17, x16
0xfffffff0081d5710: f147c1da  xpacd	x17
0xfffffff0081d5714: 1f0211eb  cmp	x16, x17
0xfffffff0081d5718: 40000054  b.eq	#0xfffffff0081d5720
0xfffffff0081d571c: 408e38d4  brk	#0xc472
0xfffffff0081d5720: f0fdffb5  cbnz	x16, #0xfffffff0081d56dc
0xfffffff0081d5724: 420100f9  str	x2, [x10]
0xfffffff0081d5728: e10000b4  cbz	x1, #0xfffffff0081d5744
0xfffffff0081d572c: 480140f9  ldr	x8, [x10]
0xfffffff0081d5730: 10010bca  eor	x16, x8, x11
0xfffffff0081d5734: 709ae8f2  movk	x16, #0x44d3, lsl #48
0xfffffff0081d5738: f10301aa  mov	x17, x1
0xfffffff0081d573c: 110ac1da  pacda	x17, x16
0xfffffff0081d5740: 02000014  b	#0xfffffff0081d5748
0xfffffff0081d5744: 110080d2  mov	x17, #0
0xfffffff0081d5748: 51811ff8  stur	x17, [x10, #-8]
0xfffffff0081d574c: 08008052  mov	w8, #0
0xfffffff0081d5750: 0a1440b9  ldr	w10, [x0, #0x14]
0xfffffff0081d5754: 4a050011  add	w10, w10, #1
0xfffffff0081d5758: 0a1400b9  str	w10, [x0, #0x14]
0xfffffff0081d575c: 091400f9  str	x9, [x0, #0x28]
0xfffffff0081d5760: dbffff17  b	#0xfffffff0081d56cc
0xfffffff0081d5764: c8148052  mov	w8, #0xa6
0xfffffff0081d5768: 6975fff0  adrp	x9, #0xfffffff007084000
0xfffffff0081d576c: 29653491  add	x9, x9, #0xd19
0xfffffff0081d5770: 6a75fff0  adrp	x10, #0xfffffff007084000
0xfffffff0081d5774: 4aa93891  add	x10, x10, #0xe2a
0xfffffff0081d5778: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0081d577c: ea0300f9  str	x10, [sp]
0xfffffff0081d5780: 6075fff0  adrp	x0, #0xfffffff007084000
0xfffffff0081d5784: 00283891  add	x0, x0, #0xe0a
0xfffffff0081d5788: 61fb0a94  bl	#0xfffffff00849450c
0xfffffff0081d578c: 7f2303d5  pacibsp	
0xfffffff0081d5790: ffc300d1  sub	sp, sp, #0x30
0xfffffff0081d5794: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0081d5798: fd830091  add	x29, sp, #0x20
0xfffffff0081d579c: 09008012  mov	w9, #-1
0xfffffff0081d57a0: 000900b4  cbz	x0, #0xfffffff0081d58c0
0xfffffff0081d57a4: e108f837  tbnz	w1, #0x1f, #0xfffffff0081d58c0
0xfffffff0081d57a8: 081440b9  ldr	w8, [x0, #0x14]
0xfffffff0081d57ac: 1f01016b  cmp	w8, w1
0xfffffff0081d57b0: cd030054  b.le	#0xfffffff0081d5828
0xfffffff0081d57b4: 082040b9  ldr	w8, [x0, #0x20]
0xfffffff0081d57b8: 1f2d0071  cmp	w8, #0xb
0xfffffff0081d57bc: a8080054  b.hi	#0xfffffff0081d58d0
0xfffffff0081d57c0: 29008052  mov	w9, #1
0xfffffff0081d57c4: 2821c81a  lsl	w8, w9, w8
0xfffffff0081d57c8: 69fd8052  mov	w9, #0x7eb
0xfffffff0081d57cc: 1f01096a  tst	w8, w9
0xfffffff0081d57d0: 60030054  b.eq	#0xfffffff0081d583c
0xfffffff0081d57d4: 100040f9  ldr	x16, [x0]
0xfffffff0081d57d8: d00200b4  cbz	x16, #0xfffffff0081d5830
0xfffffff0081d57dc: f10300aa  mov	x17, x0
0xfffffff0081d57e0: b141f6f2  movk	x17, #0xb20d, lsl #48
0xfffffff0081d57e4: 301ac1da  autda	x16, x17
0xfffffff0081d57e8: f10310aa  mov	x17, x16
0xfffffff0081d57ec: f147c1da  xpacd	x17
0xfffffff0081d57f0: 1f0211eb  cmp	x16, x17
0xfffffff0081d57f4: 40000054  b.eq	#0xfffffff0081d57fc
0xfffffff0081d57f8: 408e38d4  brk	#0xc472
0xfffffff0081d57fc: e80310aa  mov	x8, x16
