; Candidate 4448
; ADRP+ADD at VM 0xfffffff0087b2730 (fileoff 0x17ae730): page=0x1ff255000 add_imm=0xdd8

0xfffffff0087b26b0: 088e49f8  ldr	x8, [x16, #0x98]!
0xfffffff0087b26b4: e90310aa  mov	x9, x16
0xfffffff0087b26b8: 010080d2  mov	x1, #0
0xfffffff0087b26bc: f10309aa  mov	x17, x9
0xfffffff0087b26c0: 3173e4f2  movk	x17, #0x2399, lsl #48
0xfffffff0087b26c4: 11093fd7  blraa	x8, x17
0xfffffff0087b26c8: 601a45f9  ldr	x0, [x19, #0xa30]
0xfffffff0087b26cc: 400100b4  cbz	x0, #0xfffffff0087b26f4
0xfffffff0087b26d0: 100040f9  ldr	x16, [x0]
0xfffffff0087b26d4: f10300aa  mov	x17, x0
0xfffffff0087b26d8: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff0087b26dc: 301ac1da  autda	x16, x17
0xfffffff0087b26e0: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff0087b26e4: e90310aa  mov	x9, x16
0xfffffff0087b26e8: f10309aa  mov	x17, x9
0xfffffff0087b26ec: b19ae8f2  movk	x17, #0x44d5, lsl #48
0xfffffff0087b26f0: 11093fd7  blraa	x8, x17
0xfffffff0087b26f4: 7f1a05f9  str	xzr, [x19, #0xa30]
0xfffffff0087b26f8: 604646f9  ldr	x0, [x19, #0xc88]
0xfffffff0087b26fc: 400100b4  cbz	x0, #0xfffffff0087b2724
0xfffffff0087b2700: 100040f9  ldr	x16, [x0]
0xfffffff0087b2704: f10300aa  mov	x17, x0
0xfffffff0087b2708: 711cf6f2  movk	x17, #0xb0e3, lsl #48
0xfffffff0087b270c: 301ac1da  autda	x16, x17
0xfffffff0087b2710: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff0087b2714: e90310aa  mov	x9, x16
0xfffffff0087b2718: f10309aa  mov	x17, x9
0xfffffff0087b271c: 71e8e9f2  movk	x17, #0x4f43, lsl #48
0xfffffff0087b2720: 11093fd7  blraa	x8, x17
0xfffffff0087b2724: 7f4606f9  str	xzr, [x19, #0xc88]
0xfffffff0087b2728: 61b646f9  ldr	x1, [x19, #0xd68]
0xfffffff0087b272c: 7fb606f9  str	xzr, [x19, #0xd68]
0xfffffff0087b2730: a092ffb0  adrp	x0, #0xfffffff007a07000
0xfffffff0087b2734: 00603791  add	x0, x0, #0xdd8
0xfffffff0087b2738: 02c08252  mov	w2, #0x1600
0xfffffff0087b273c: 2200a072  movk	w2, #1, lsl #16
0xfffffff0087b2740: aa91ee97  bl	#0xfffffff008356de8
0xfffffff0087b2744: 61ba46f9  ldr	x1, [x19, #0xd70]
0xfffffff0087b2748: 7fba06f9  str	xzr, [x19, #0xd70]
0xfffffff0087b274c: a092ffb0  adrp	x0, #0xfffffff007a07000
0xfffffff0087b2750: 00a03891  add	x0, x0, #0xe28
0xfffffff0087b2754: 02808b52  mov	w2, #0x5c00
0xfffffff0087b2758: 4200a072  movk	w2, #2, lsl #16
0xfffffff0087b275c: a391ee97  bl	#0xfffffff008356de8
0xfffffff0087b2760: 61be46f9  ldr	x1, [x19, #0xd78]
0xfffffff0087b2764: 7fbe06f9  str	xzr, [x19, #0xd78]
0xfffffff0087b2768: a092ffb0  adrp	x0, #0xfffffff007a07000
0xfffffff0087b276c: 00e03991  add	x0, x0, #0xe78
0xfffffff0087b2770: 02588452  mov	w2, #0x22c0
0xfffffff0087b2774: c201a072  movk	w2, #0xe, lsl #16
0xfffffff0087b2778: 9c91ee97  bl	#0xfffffff008356de8
0xfffffff0087b277c: 61c246f9  ldr	x1, [x19, #0xd80]
0xfffffff0087b2780: 7fc206f9  str	xzr, [x19, #0xd80]
0xfffffff0087b2784: a092ffb0  adrp	x0, #0xfffffff007a07000
0xfffffff0087b2788: 00203b91  add	x0, x0, #0xec8
0xfffffff0087b278c: 02a08852  mov	w2, #0x4500
0xfffffff0087b2790: c20fa072  movk	w2, #0x7e, lsl #16
0xfffffff0087b2794: 9591ee97  bl	#0xfffffff008356de8
0xfffffff0087b2798: 604e46f9  ldr	x0, [x19, #0xc98]
0xfffffff0087b279c: 400100b4  cbz	x0, #0xfffffff0087b27c4
0xfffffff0087b27a0: 100040f9  ldr	x16, [x0]
0xfffffff0087b27a4: f10300aa  mov	x17, x0
0xfffffff0087b27a8: 3188f0f2  movk	x17, #0x8441, lsl #48
0xfffffff0087b27ac: 301ac1da  autda	x16, x17
