; Candidate 16473
; ADRP+ADD at VM 0xfffffff009eba80c (fileoff 0x2eb680c): page=0x1fd986000 add_imm=0xdf1

0xfffffff009eba78c: e10317aa  mov	x1, x23
0xfffffff009eba790: e20319aa  mov	x2, x25
0xfffffff009eba794: 43c40094  bl	#0xfffffff009eeb8a0
0xfffffff009eba798: fa0300aa  mov	x26, x0
0xfffffff009eba79c: e00317aa  mov	x0, x23
0xfffffff009eba7a0: 28f20194  bl	#0xfffffff009f37040
0xfffffff009eba7a4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009eba7a8: 3a010034  cbz	w26, #0xfffffff009eba7cc
0xfffffff009eba7ac: 73420091  add	x19, x19, #0x10
0xfffffff009eba7b0: b50600f1  subs	x21, x21, #1
0xfffffff009eba7b4: 21fcff54  b.ne	#0xfffffff009eba738
0xfffffff009eba7b8: 28008052  mov	w8, #1
0xfffffff009eba7bc: 3903088b  add	x25, x25, x8
0xfffffff009eba7c0: 3f0318eb  cmp	x25, x24
0xfffffff009eba7c4: e3faff54  b.lo	#0xfffffff009eba720
0xfffffff009eba7c8: b8000014  b	#0xfffffff009ebaaa8
0xfffffff009eba7cc: e8a753a9  ldp	x8, x9, [sp, #0x138]
0xfffffff009eba7d0: 3901088b  add	x25, x9, x8
0xfffffff009eba7d4: 6a0240f9  ldr	x10, [x19]
0xfffffff009eba7d8: 1a3e8452  mov	w26, #0x21f0
0xfffffff009eba7dc: 4a011a8b  add	x10, x10, x26
0xfffffff009eba7e0: ebc34439  ldrb	w11, [sp, #0x130]
0xfffffff009eba7e4: f7a740f9  ldr	x23, [sp, #0x148]
0xfffffff009eba7e8: ec5341b9  ldr	w12, [sp, #0x150]
0xfffffff009eba7ec: f73303a9  stp	x23, x12, [sp, #0x30]
0xfffffff009eba7f0: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff009eba7f4: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff009eba7f8: 488f8152  mov	w8, #0xc7a
0xfffffff009eba7fc: e80700f9  str	x8, [sp, #8]
0xfffffff009eba800: 28ccfed0  adrp	x8, #0xfffffff007840000
0xfffffff009eba804: 08b13191  add	x8, x8, #0xc6c
0xfffffff009eba808: e80300f9  str	x8, [sp]
0xfffffff009eba80c: 20ccfed0  adrp	x0, #0xfffffff007840000
0xfffffff009eba810: 00c43791  add	x0, x0, #0xdf1
0xfffffff009eba814: 2c14ff97  bl	#0xfffffff009e7f8c4
0xfffffff009eba818: ff0e00b1  cmn	x23, #3
0xfffffff009eba81c: 48080054  b.hi	#0xfffffff009eba924
0xfffffff009eba820: ff7f12a9  stp	xzr, xzr, [sp, #0x120]
0xfffffff009eba824: ff8f00f9  str	xzr, [sp, #0x118]
0xfffffff009eba828: e0830491  add	x0, sp, #0x120
0xfffffff009eba82c: 01008052  mov	w1, #0
0xfffffff009eba830: 02028052  mov	w2, #0x10
0xfffffff009eba834: e3487a97  bl	#0xfffffff007d4cbc0
0xfffffff009eba838: 68008052  mov	w8, #3
0xfffffff009eba83c: 0835a072  movk	w8, #0x1a8, lsl #16
0xfffffff009eba840: e82301b9  str	w8, [sp, #0x120]
0xfffffff009eba844: f79700f9  str	x23, [sp, #0x128]
0xfffffff009eba848: 600240f9  ldr	x0, [x19]
0xfffffff009eba84c: 047c40f9  ldr	x4, [x0, #0xf8]
0xfffffff009eba850: e3830491  add	x3, sp, #0x120
0xfffffff009eba854: e5630491  add	x5, sp, #0x118
0xfffffff009eba858: 21008052  mov	w1, #1
0xfffffff009eba85c: 020080d2  mov	x2, #0
0xfffffff009eba860: 4ba10094  bl	#0xfffffff009ee2d8c
0xfffffff009eba864: e0020035  cbnz	w0, #0xfffffff009eba8c0
0xfffffff009eba868: 093e8452  mov	w9, #0x21f0
0xfffffff009eba86c: fa8f40f9  ldr	x26, [sp, #0x118]
0xfffffff009eba870: 680240f9  ldr	x8, [x19]
0xfffffff009eba874: 0801098b  add	x8, x8, x9
0xfffffff009eba878: 491f40f9  ldr	x9, [x26, #0x38]
0xfffffff009eba87c: 4a4f40f9  ldr	x10, [x26, #0x98]
0xfffffff009eba880: 4b3740f9  ldr	x11, [x26, #0x68]
0xfffffff009eba884: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff009eba888: e91300f9  str	x9, [sp, #0x20]
