; Candidate 13502
; ADRP+ADD at VM 0xfffffff00933f27c (fileoff 0x233b27c): page=0x1fe87e000 add_imm=0xe18

0xfffffff00933f1fc: 10e23791  add	x16, x16, #0xdf8
0xfffffff00933f200: 10420091  add	x16, x16, #0x10
0xfffffff00933f204: f10300aa  mov	x17, x0
0xfffffff00933f208: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00933f20c: 300ac1da  pacda	x16, x17
0xfffffff00933f210: 100000f9  str	x16, [x0]
0xfffffff00933f214: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00933f218: ff0f5fd6  retab	
0xfffffff00933f21c: 5f2403d5  bti	c
0xfffffff00933f220: 37c7be17  b	#0xfffffff0082f0efc
0xfffffff00933f224: 5f2403d5  bti	c
0xfffffff00933f228: 35c7be17  b	#0xfffffff0082f0efc
0xfffffff00933f22c: 7f2303d5  pacibsp	
0xfffffff00933f230: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00933f234: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00933f238: fd430091  add	x29, sp, #0x10
0xfffffff00933f23c: f30300aa  mov	x19, x0
0xfffffff00933f240: 2fc7be97  bl	#0xfffffff0082f0efc
0xfffffff00933f244: e043ffd0  adrp	x0, #0xfffffff007bbd000
0xfffffff00933f248: 00603891  add	x0, x0, #0xe18
0xfffffff00933f24c: e10313aa  mov	x1, x19
0xfffffff00933f250: 02058052  mov	w2, #0x28
0xfffffff00933f254: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00933f258: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00933f25c: ff2303d5  autibsp	
0xfffffff00933f260: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00933f264: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00933f26c
0xfffffff00933f268: 208e38d4  brk	#0xc471
0xfffffff00933f26c: 0ca1be17  b	#0xfffffff0082e769c
0xfffffff00933f270: 5f2403d5  bti	c
0xfffffff00933f274: e20301aa  mov	x2, x1
0xfffffff00933f278: e10300aa  mov	x1, x0
0xfffffff00933f27c: e043ffd0  adrp	x0, #0xfffffff007bbd000
0xfffffff00933f280: 00603891  add	x0, x0, #0xe18
0xfffffff00933f284: 06a1be17  b	#0xfffffff0082e769c
0xfffffff00933f288: 5f2403d5  bti	c
0xfffffff00933f28c: 00820090  adrp	x0, #0xfffffff00a37f000
0xfffffff00933f290: 00801e91  add	x0, x0, #0x7a0
0xfffffff00933f294: c0035fd6  ret	
0xfffffff00933f298: 7f2303d5  pacibsp	
0xfffffff00933f29c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00933f2a0: fd030091  mov	x29, sp
0xfffffff00933f2a4: c10dffb0  adrp	x1, #0xfffffff0074f8000
0xfffffff00933f2a8: 215c0c91  add	x1, x1, #0x317
0xfffffff00933f2ac: 02820090  adrp	x2, #0xfffffff00a37f000
0xfffffff00933f2b0: 42801991  add	x2, x2, #0x660
0xfffffff00933f2b4: 03058052  mov	w3, #0x28
0xfffffff00933f2b8: 2092be97  bl	#0xfffffff0082e3b38
0xfffffff00933f2bc: d043ff90  adrp	x16, #0xfffffff007bb7000
0xfffffff00933f2c0: 10a23d91  add	x16, x16, #0xf68
0xfffffff00933f2c4: 10420091  add	x16, x16, #0x10
0xfffffff00933f2c8: f10300aa  mov	x17, x0
0xfffffff00933f2cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00933f2d0: 300ac1da  pacda	x16, x17
0xfffffff00933f2d4: 100000f9  str	x16, [x0]
0xfffffff00933f2d8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00933f2dc: ff0f5fd6  retab	
0xfffffff00933f2e0: 7f2303d5  pacibsp	
0xfffffff00933f2e4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00933f2e8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00933f2ec: fd430091  add	x29, sp, #0x10
0xfffffff00933f2f0: e043ffd0  adrp	x0, #0xfffffff007bbd000
0xfffffff00933f2f4: 00603891  add	x0, x0, #0xe18
0xfffffff00933f2f8: 01058052  mov	w1, #0x28
