; Candidate 14382
; ADRP+ADD at VM 0xfffffff00976f658 (fileoff 0x276b658): page=0xc1c000 add_imm=0xea8

0xfffffff00976f5d8: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00976f5dc: 11093fd7  blraa	x8, x17
0xfffffff00976f5e0: f70300aa  mov	x23, x0
0xfffffff00976f5e4: 733240b9  ldr	w19, [x19, #0x30]
0xfffffff00976f5e8: e00313aa  mov	x0, x19
0xfffffff00976f5ec: 4369fd97  bl	#0xfffffff0096c9af8
0xfffffff00976f5f0: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff00976f5f4: 08614039  ldrb	w8, [x8, #0x18]
0xfffffff00976f5f8: e02303a9  stp	x0, x8, [sp, #0x30]
0xfffffff00976f5fc: f74f02a9  stp	x23, x19, [sp, #0x20]
0xfffffff00976f600: f66301a9  stp	x22, x24, [sp, #0x10]
0xfffffff00976f604: 48f1fed0  adrp	x8, #0xfffffff007599000
0xfffffff00976f608: 08f91291  add	x8, x8, #0x4be
0xfffffff00976f60c: f52300a9  stp	x21, x8, [sp]
0xfffffff00976f610: e0f0fe90  adrp	x0, #0xfffffff00758b000
0xfffffff00976f614: 00802191  add	x0, x0, #0x860
0xfffffff00976f618: 2125fff0  adrp	x1, #0xfffffff007c16000
0xfffffff00976f61c: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff00976f620: c3f1fef0  adrp	x3, #0xfffffff0075aa000
0xfffffff00976f624: 63380291  add	x3, x3, #0x8e
0xfffffff00976f628: 42008052  mov	w2, #2
0xfffffff00976f62c: c10eaf97  bl	#0xfffffff008333130
0xfffffff00976f630: a04301d1  sub	x0, x29, #0x50
0xfffffff00976f634: 01018052  mov	w1, #8
0xfffffff00976f638: 6c44af97  bl	#0xfffffff0083407e8
0xfffffff00976f63c: 00008052  mov	w0, #0
0xfffffff00976f640: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff00976f644: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff00976f648: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff00976f64c: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff00976f650: ff430391  add	sp, sp, #0xd0
0xfffffff00976f654: ff0f5fd6  retab	
0xfffffff00976f658: e0600090  adrp	x0, #0xfffffff00a38b000
0xfffffff00976f65c: 00a03a91  add	x0, x0, #0xea8
0xfffffff00976f660: bed4ad97  bl	#0xfffffff0082e4958
0xfffffff00976f664: e00314aa  mov	x0, x20
0xfffffff00976f668: fde4fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976f66c: c00100b5  cbnz	x0, #0xfffffff00976f6a4
0xfffffff00976f670: 900240f9  ldr	x16, [x20]
0xfffffff00976f674: f10314aa  mov	x17, x20
0xfffffff00976f678: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976f67c: 301ac1da  autda	x16, x17
0xfffffff00976f680: 113d80d2  mov	x17, #0x1e8
0xfffffff00976f684: 1002118b  add	x16, x16, x17
0xfffffff00976f688: 080240f9  ldr	x8, [x16]
0xfffffff00976f68c: e90310aa  mov	x9, x16
0xfffffff00976f690: e00314aa  mov	x0, x20
0xfffffff00976f694: 010080d2  mov	x1, #0
0xfffffff00976f698: f10309aa  mov	x17, x9
0xfffffff00976f69c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976f6a0: 11093fd7  blraa	x8, x17
0xfffffff00976f6a4: e00314aa  mov	x0, x20
0xfffffff00976f6a8: ede4fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976f6ac: e00314aa  mov	x0, x20
0xfffffff00976f6b0: ebe4fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976f6b4: c00100b5  cbnz	x0, #0xfffffff00976f6ec
0xfffffff00976f6b8: 900240f9  ldr	x16, [x20]
0xfffffff00976f6bc: f10314aa  mov	x17, x20
0xfffffff00976f6c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976f6c4: 301ac1da  autda	x16, x17
0xfffffff00976f6c8: 114380d2  mov	x17, #0x218
0xfffffff00976f6cc: 1002118b  add	x16, x16, x17
0xfffffff00976f6d0: 080240f9  ldr	x8, [x16]
0xfffffff00976f6d4: e90310aa  mov	x9, x16
