; Candidate 870
; ADRP+ADD at VM 0xfffffff0080e6028 (fileoff 0x10e2028): page=0x1fef91000 add_imm=0xd94

0xfffffff0080e5fa8: 3002108b  add	x16, x17, x16
0xfffffff0080e5fac: 00021fd6  br	x16
0xfffffff0080e5fb0: 9f2403d5  bti	j
0xfffffff0080e5fb4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0080e5fb8: ff0f5fd6  retab	
0xfffffff0080e5fbc: 09050051  sub	w9, w8, #1
0xfffffff0080e5fc0: 3ffd0071  cmp	w9, #0x3f
0xfffffff0080e5fc4: 2a008052  mov	w10, #1
0xfffffff0080e5fc8: 4921c99a  lsl	x9, x10, x9
0xfffffff0080e5fcc: 2a1080d2  mov	x10, #0x81
0xfffffff0080e5fd0: 0a00f0f2  movk	x10, #0x8000, lsl #48
0xfffffff0080e5fd4: 29010a8a  and	x9, x9, x10
0xfffffff0080e5fd8: 249940fa  ccmp	x9, #0, #4, ls
0xfffffff0080e5fdc: 01010054  b.ne	#0xfffffff0080e5ffc
0xfffffff0080e5fe0: 1f010271  cmp	w8, #0x80
0xfffffff0080e5fe4: 60feff54  b.eq	#0xfffffff0080e5fb0
0xfffffff0080e5fe8: 0c000014  b	#0xfffffff0080e6018
0xfffffff0080e5fec: 1f814071  cmp	w8, #0x20, lsl #12
0xfffffff0080e5ff0: 60000054  b.eq	#0xfffffff0080e5ffc
0xfffffff0080e5ff4: 1f414071  cmp	w8, #0x10, lsl #12
0xfffffff0080e5ff8: 01010054  b.ne	#0xfffffff0080e6018
0xfffffff0080e5ffc: 9f2403d5  bti	j
0xfffffff0080e6000: 280c40f9  ldr	x8, [x1, #0x18]
0xfffffff0080e6004: 1f1100f1  cmp	x8, #4
0xfffffff0080e6008: c8028052  mov	w8, #0x16
0xfffffff0080e600c: e003881a  csel	w0, wzr, w8, eq
0xfffffff0080e6010: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0080e6014: ff0f5fd6  retab	
0xfffffff0080e6018: 9f2403d5  bti	j
0xfffffff0080e601c: 40058052  mov	w0, #0x2a
0xfffffff0080e6020: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0080e6024: ff0f5fd6  retab	
0xfffffff0080e6028: 807cffb0  adrp	x0, #0xfffffff007077000
0xfffffff0080e602c: 00503691  add	x0, x0, #0xd94
0xfffffff0080e6030: 817cffb0  adrp	x1, #0xfffffff007077000
0xfffffff0080e6034: 21443091  add	x1, x1, #0xc11
0xfffffff0080e6038: a2ab8052  mov	w2, #0x55d
0xfffffff0080e603c: f6e50e94  bl	#0xfffffff00849f814
0xfffffff0080e6040: 0c000000  udf	#0xc
0xfffffff0080e6044: 0c000000  udf	#0xc
0xfffffff0080e6048: 0c000000  udf	#0xc
0xfffffff0080e604c: 0c000000  udf	#0xc
0xfffffff0080e6050: 0c000000  udf	#0xc
0xfffffff0080e6054: 0c000000  udf	#0xc
0xfffffff0080e6058: 0c000000  udf	#0xc
0xfffffff0080e605c: 0c000000  udf	#0xc
0xfffffff0080e6060: 74000000  udf	#0x74
0xfffffff0080e6064: 74000000  udf	#0x74
0xfffffff0080e6068: 74000000  udf	#0x74
0xfffffff0080e606c: 74000000  udf	#0x74
0xfffffff0080e6070: 74000000  udf	#0x74
0xfffffff0080e6074: 74000000  udf	#0x74
0xfffffff0080e6078: 74000000  udf	#0x74
0xfffffff0080e607c: 0c000000  udf	#0xc
0xfffffff0080e6080: 0c000000  udf	#0xc
0xfffffff0080e6084: 74000000  udf	#0x74
0xfffffff0080e6088: 74000000  udf	#0x74
0xfffffff0080e608c: 74000000  udf	#0x74
0xfffffff0080e6090: 74000000  udf	#0x74
0xfffffff0080e6094: 74000000  udf	#0x74
0xfffffff0080e6098: 74000000  udf	#0x74
0xfffffff0080e609c: 74000000  udf	#0x74
0xfffffff0080e60a0: 74000000  udf	#0x74
0xfffffff0080e60a4: 74000000  udf	#0x74
