; Candidate 2553
; ADRP+ADD at VM 0xfffffff0086b03c0 (fileoff 0x16ac3c0): page=0x1ff34a000 add_imm=0xed0

0xfffffff0086b0340: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff0086b0344: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff0086b0348: ff0f5fd6  retab	
0xfffffff0086b034c: 5f2403d5  bti	c
0xfffffff0086b0350: e10300aa  mov	x1, x0
0xfffffff0086b0354: 409affd0  adrp	x0, #0xfffffff0079fa000
0xfffffff0086b0358: 00403c91  add	x0, x0, #0xf10
0xfffffff0086b035c: b7dcf017  b	#0xfffffff0082e7638
0xfffffff0086b0360: 7f2303d5  pacibsp	
0xfffffff0086b0364: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0086b0368: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086b036c: fd430091  add	x29, sp, #0x10
0xfffffff0086b0370: f30300aa  mov	x19, x0
0xfffffff0086b0374: 54e100d0  adrp	x20, #0xfffffff00a2da000
0xfffffff0086b0378: 94420091  add	x20, x20, #0x10
0xfffffff0086b037c: e10314aa  mov	x1, x20
0xfffffff0086b0380: da4ef397  bl	#0xfffffff008383ee8
0xfffffff0086b0384: 109affd0  adrp	x16, #0xfffffff0079f2000
0xfffffff0086b0388: 10a23b91  add	x16, x16, #0xee8
0xfffffff0086b038c: 10420091  add	x16, x16, #0x10
0xfffffff0086b0390: f10300aa  mov	x17, x0
0xfffffff0086b0394: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086b0398: 300ac1da  pacda	x16, x17
0xfffffff0086b039c: 100000f9  str	x16, [x0]
0xfffffff0086b03a0: e00314aa  mov	x0, x20
0xfffffff0086b03a4: 64d3f097  bl	#0xfffffff0082e5134
0xfffffff0086b03a8: e00313aa  mov	x0, x19
0xfffffff0086b03ac: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0086b03b0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0086b03b4: ff0f5fd6  retab	
0xfffffff0086b03b8: 5f2403d5  bti	c
0xfffffff0086b03bc: e10300aa  mov	x1, x0
0xfffffff0086b03c0: 409affd0  adrp	x0, #0xfffffff0079fa000
0xfffffff0086b03c4: 00403b91  add	x0, x0, #0xed0
0xfffffff0086b03c8: 9cdcf017  b	#0xfffffff0082e7638
0xfffffff0086b03cc: 7f2303d5  pacibsp	
0xfffffff0086b03d0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0086b03d4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086b03d8: fd430091  add	x29, sp, #0x10
0xfffffff0086b03dc: f30300aa  mov	x19, x0
0xfffffff0086b03e0: 54e100b0  adrp	x20, #0xfffffff00a2d9000
0xfffffff0086b03e4: 94a23f91  add	x20, x20, #0xfe8
0xfffffff0086b03e8: e10314aa  mov	x1, x20
0xfffffff0086b03ec: bf4ef397  bl	#0xfffffff008383ee8
0xfffffff0086b03f0: 109affd0  adrp	x16, #0xfffffff0079f2000
0xfffffff0086b03f4: 10e22291  add	x16, x16, #0x8b8
0xfffffff0086b03f8: 10420091  add	x16, x16, #0x10
0xfffffff0086b03fc: f10300aa  mov	x17, x0
0xfffffff0086b0400: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086b0404: 300ac1da  pacda	x16, x17
0xfffffff0086b0408: 100000f9  str	x16, [x0]
0xfffffff0086b040c: e00314aa  mov	x0, x20
0xfffffff0086b0410: 49d3f097  bl	#0xfffffff0082e5134
0xfffffff0086b0414: e00313aa  mov	x0, x19
0xfffffff0086b0418: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0086b041c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0086b0420: ff0f5fd6  retab	
0xfffffff0086b0424: 5f2403d5  bti	c
0xfffffff0086b0428: 2800c0d2  mov	x8, #0x100000000
0xfffffff0086b042c: 9f0008eb  cmp	x4, x8
0xfffffff0086b0430: c0010054  b.eq	#0xfffffff0086b0468
0xfffffff0086b0434: 440300b5  cbnz	x4, #0xfffffff0086b049c
0xfffffff0086b0438: 100040f9  ldr	x16, [x0]
0xfffffff0086b043c: f10300aa  mov	x17, x0
