; Candidate 14411
; ADRP+ADD at VM 0xfffffff009774a94 (fileoff 0x2770a94): page=0x1fde26000 add_imm=0xd0a

0xfffffff009774a14: 400300b4  cbz	x0, #0xfffffff009774a7c
0xfffffff009774a18: 700240f9  ldr	x16, [x19]
0xfffffff009774a1c: f10313aa  mov	x17, x19
0xfffffff009774a20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009774a24: 301ac1da  autda	x16, x17
0xfffffff009774a28: 116e80d2  mov	x17, #0x370
0xfffffff009774a2c: 1002118b  add	x16, x16, x17
0xfffffff009774a30: 080240f9  ldr	x8, [x16]
0xfffffff009774a34: e90310aa  mov	x9, x16
0xfffffff009774a38: e00313aa  mov	x0, x19
0xfffffff009774a3c: f10309aa  mov	x17, x9
0xfffffff009774a40: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff009774a44: 11093fd7  blraa	x8, x17
0xfffffff009774a48: 100040f9  ldr	x16, [x0]
0xfffffff009774a4c: f10300aa  mov	x17, x0
0xfffffff009774a50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009774a54: 301ac1da  autda	x16, x17
0xfffffff009774a58: 113d80d2  mov	x17, #0x1e8
0xfffffff009774a5c: 1002118b  add	x16, x16, x17
0xfffffff009774a60: 080240f9  ldr	x8, [x16]
0xfffffff009774a64: e90310aa  mov	x9, x16
0xfffffff009774a68: 010080d2  mov	x1, #0
0xfffffff009774a6c: f10309aa  mov	x17, x9
0xfffffff009774a70: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009774a74: 11093fd7  blraa	x8, x17
0xfffffff009774a78: 03000014  b	#0xfffffff009774a84
0xfffffff009774a7c: c0f0feb0  adrp	x0, #0xfffffff00758d000
0xfffffff009774a80: 007c1f91  add	x0, x0, #0x7df
0xfffffff009774a84: 28f1fed0  adrp	x8, #0xfffffff00759a000
0xfffffff009774a88: 08f93491  add	x8, x8, #0xd3e
0xfffffff009774a8c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff009774a90: f40300f9  str	x20, [sp]
0xfffffff009774a94: 20f1fed0  adrp	x0, #0xfffffff00759a000
0xfffffff009774a98: 00283491  add	x0, x0, #0xd0a
0xfffffff009774a9c: 6189af97  bl	#0xfffffff008357020
0xfffffff009774aa0: 28008052  mov	w8, #1
0xfffffff009774aa4: 68ca3e39  strb	w8, [x19, #0xfb2]
0xfffffff009774aa8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009774aac: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009774ab0: ff030191  add	sp, sp, #0x40
0xfffffff009774ab4: ff0f5fd6  retab	
0xfffffff009774ab8: 5f2403d5  bti	c
0xfffffff009774abc: 1f340fb9  str	wzr, [x0, #0xf34]
0xfffffff009774ac0: 1f400fb9  str	wzr, [x0, #0xf40]
0xfffffff009774ac4: 1f881e79  strh	wzr, [x0, #0xf44]
0xfffffff009774ac8: 1f403d39  strb	wzr, [x0, #0xf50]
0xfffffff009774acc: 1fc407f9  str	xzr, [x0, #0xf88]
0xfffffff009774ad0: a8f1fef0  adrp	x8, #0xfffffff0075ab000
0xfffffff009774ad4: 00c945fd  ldr	d0, [x8, #0xb90]
0xfffffff009774ad8: 00cc07fd  str	d0, [x0, #0xf98]
0xfffffff009774adc: 1fa00fb9  str	wzr, [x0, #0xfa0]
0xfffffff009774ae0: 1f903e39  strb	wzr, [x0, #0xfa4]
0xfffffff009774ae4: c0035fd6  ret	
0xfffffff009774ae8: 7f2303d5  pacibsp	
0xfffffff009774aec: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009774af0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009774af4: fd430091  add	x29, sp, #0x10
0xfffffff009774af8: f30301aa  mov	x19, x1
0xfffffff009774afc: 100040f9  ldr	x16, [x0]
0xfffffff009774b00: f10300aa  mov	x17, x0
0xfffffff009774b04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009774b08: 301ac1da  autda	x16, x17
0xfffffff009774b0c: 11c280d2  mov	x17, #0x610
0xfffffff009774b10: 1002118b  add	x16, x16, x17
