; Candidate 2694
; ADRP+ADD at VM 0xfffffff0086e27b8 (fileoff 0x16de7b8): page=0x1fea4f000 add_imm=0xd90

0xfffffff0086e2738: 2a1503b9  str	w10, [x9, #0x314]
0xfffffff0086e273c: 68324cb9  ldr	w8, [x19, #0xc30]
0xfffffff0086e2740: a8080034  cbz	w8, #0xfffffff0086e2854
0xfffffff0086e2744: 0800b052  mov	w8, #-0xffffffff80000000
0xfffffff0086e2748: a85e0bb9  str	w8, [x21, #0xb5c]
0xfffffff0086e274c: 69822c91  add	x9, x19, #0xb20
0xfffffff0086e2750: 6aca4bb9  ldr	w10, [x19, #0xbc8]
0xfffffff0086e2754: 48010533  bfi	w8, w10, #0x1b, #1
0xfffffff0086e2758: a85e0bb9  str	w8, [x21, #0xb5c]
0xfffffff0086e275c: 6aca4bb9  ldr	w10, [x19, #0xbc8]
0xfffffff0086e2760: 4b791f53  lsl	w11, w10, #1
0xfffffff0086e2764: 4b090133  bfxil	w11, w10, #1, #2
0xfffffff0086e2768: 4b0d0333  bfxil	w11, w10, #3, #1
0xfffffff0086e276c: 68090833  bfi	w8, w11, #0x18, #3
0xfffffff0086e2770: a85e0bb9  str	w8, [x21, #0xb5c]
0xfffffff0086e2774: 20c1ca3c  ldur	q0, [x9, #0xac]
0xfffffff0086e2778: 21c1cb3c  ldur	q1, [x9, #0xbc]
0xfffffff0086e277c: 22c1cc3c  ldur	q2, [x9, #0xcc]
0xfffffff0086e2780: a2e2823d  str	q2, [x21, #0xb80]
0xfffffff0086e2784: a1de823d  str	q1, [x21, #0xb70]
0xfffffff0086e2788: a0da823d  str	q0, [x21, #0xb60]
0xfffffff0086e278c: 28c14df8  ldur	x8, [x9, #0xdc]
0xfffffff0086e2790: a8ca05f9  str	x8, [x21, #0xb90]
0xfffffff0086e2794: 28414ef8  ldur	x8, [x9, #0xe4]
0xfffffff0086e2798: a8ce05f9  str	x8, [x21, #0xb98]
0xfffffff0086e279c: 68ca4bb9  ldr	w8, [x19, #0xbc8]
0xfffffff0086e27a0: 1f051f72  tst	w8, #6
0xfffffff0086e27a4: 00050054  b.eq	#0xfffffff0086e2844
0xfffffff0086e27a8: e8041837  tbnz	w8, #3, #0xfffffff0086e2844
0xfffffff0086e27ac: 6853ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0086e27b0: 08bd1991  add	x8, x8, #0x66f
0xfffffff0086e27b4: e80300f9  str	x8, [sp]
0xfffffff0086e27b8: 6052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e27bc: 00403691  add	x0, x0, #0xd90
0xfffffff0086e27c0: c198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e27c4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e27c8: 8352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e27cc: 63b82291  add	x3, x3, #0x8ae
0xfffffff0086e27d0: 02008052  mov	w2, #0
0xfffffff0086e27d4: 5742f197  bl	#0xfffffff008333130
0xfffffff0086e27d8: 0c000014  b	#0xfffffff0086e2808
0xfffffff0086e27dc: 6853ffb0  adrp	x8, #0xfffffff00714f000
0xfffffff0086e27e0: 08bd1991  add	x8, x8, #0x66f
0xfffffff0086e27e4: e82b00a9  stp	x8, x10, [sp]
0xfffffff0086e27e8: 6052fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086e27ec: 00403691  add	x0, x0, #0xd90
0xfffffff0086e27f0: c198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e27f4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e27f8: 8352ffb0  adrp	x3, #0xfffffff007133000
0xfffffff0086e27fc: 63742191  add	x3, x3, #0x85d
0xfffffff0086e2800: 02008052  mov	w2, #0
0xfffffff0086e2804: 4b42f197  bl	#0xfffffff008333130
0xfffffff0086e2808: 00008012  mov	w0, #-1
0xfffffff0086e280c: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff0086e2810: c998fff0  adrp	x9, #0xfffffff0079fd000
0xfffffff0086e2814: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff0086e2818: 290140f9  ldr	x9, [x9]
0xfffffff0086e281c: 3f0108eb  cmp	x9, x8
0xfffffff0086e2820: e1090054  b.ne	#0xfffffff0086e295c
0xfffffff0086e2824: fd7b5aa9  ldp	x29, x30, [sp, #0x1a0]
0xfffffff0086e2828: f44f59a9  ldp	x20, x19, [sp, #0x190]
0xfffffff0086e282c: f65758a9  ldp	x22, x21, [sp, #0x180]
0xfffffff0086e2830: f85f57a9  ldp	x24, x23, [sp, #0x170]
0xfffffff0086e2834: fa6756a9  ldp	x26, x25, [sp, #0x160]
