; Candidate 4352
; ADRP+ADD at VM 0xfffffff0087a0e34 (fileoff 0x179ce34): page=0x1fe991000 add_imm=0xd90

0xfffffff0087a0db4: 9f1d0071  cmp	w12, #7
0xfffffff0087a0db8: 08feff54  b.hi	#0xfffffff0087a0d78
0xfffffff0087a0dbc: 6d1940f9  ldr	x13, [x11, #0x30]
0xfffffff0087a0dc0: 4d0300b4  cbz	x13, #0xfffffff0087a0e28
0xfffffff0087a0dc4: 6d0e0c8b  add	x13, x19, x12, lsl #3
0xfffffff0087a0dc8: abe110f9  str	x11, [x13, #0x21c0]
0xfffffff0087a0dcc: 8b050011  add	w11, w12, #1
0xfffffff0087a0dd0: 6b8a22b9  str	w11, [x19, #0x2288]
0xfffffff0087a0dd4: 08050011  add	w8, w8, #1
0xfffffff0087a0dd8: 1f01096b  cmp	w8, w9
0xfffffff0087a0ddc: 89fdff54  b.ls	#0xfffffff0087a0d8c
0xfffffff0087a0de0: 88a22491  add	x8, x20, #0x928
0xfffffff0087a0de4: 9f9604f9  str	xzr, [x20, #0x928]
0xfffffff0087a0de8: 89a24939  ldrb	w9, [x20, #0x268]
0xfffffff0087a0dec: e9050034  cbz	w9, #0xfffffff0087a0ea8
0xfffffff0087a0df0: 8aea4b39  ldrb	w10, [x20, #0x2fa]
0xfffffff0087a0df4: 89fe42b9  ldr	w9, [x20, #0x2fc]
0xfffffff0087a0df8: ea000034  cbz	w10, #0xfffffff0087a0e14
0xfffffff0087a0dfc: 8a6e42b9  ldr	w10, [x20, #0x26c]
0xfffffff0087a0e00: 3f010a6b  cmp	w9, w10
0xfffffff0087a0e04: e8000054  b.hi	#0xfffffff0087a0e20
0xfffffff0087a0e08: 890e098b  add	x9, x20, x9, lsl #3
0xfffffff0087a0e0c: 29a12091  add	x9, x9, #0x828
0xfffffff0087a0e10: 14000014  b	#0xfffffff0087a0e60
0xfffffff0087a0e14: 8a7242b9  ldr	w10, [x20, #0x270]
0xfffffff0087a0e18: 3f010a6b  cmp	w9, w10
0xfffffff0087a0e1c: e9010054  b.ls	#0xfffffff0087a0e58
0xfffffff0087a0e20: 090080d2  mov	x9, #0
0xfffffff0087a0e24: 10000014  b	#0xfffffff0087a0e64
0xfffffff0087a0e28: a94dff90  adrp	x9, #0xfffffff007154000
0xfffffff0087a0e2c: 290d3691  add	x9, x9, #0xd83
0xfffffff0087a0e30: e92300a9  stp	x9, x8, [sp]
0xfffffff0087a0e34: 804cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087a0e38: 00403691  add	x0, x0, #0xd90
0xfffffff0087a0e3c: e192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087a0e40: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087a0e44: 434dffd0  adrp	x3, #0xfffffff00714a000
0xfffffff0087a0e48: 63801f91  add	x3, x3, #0x7e0
0xfffffff0087a0e4c: 02008052  mov	w2, #0
0xfffffff0087a0e50: b848ee97  bl	#0xfffffff008333130
0xfffffff0087a0e54: c9ffff17  b	#0xfffffff0087a0d78
0xfffffff0087a0e58: 890e098b  add	x9, x20, x9, lsl #3
0xfffffff0087a0e5c: 29a12291  add	x9, x9, #0x8a8
0xfffffff0087a0e60: 290140f9  ldr	x9, [x9]
0xfffffff0087a0e64: 0a1a8452  mov	w10, #0x20d0
0xfffffff0087a0e68: 6a6a6a38  ldrb	w10, [x19, x10]
0xfffffff0087a0e6c: ea000034  cbz	w10, #0xfffffff0087a0e88
0xfffffff0087a0e70: 6a864fb9  ldr	w10, [x19, #0xf84]
0xfffffff0087a0e74: aa000034  cbz	w10, #0xfffffff0087a0e88
0xfffffff0087a0e78: 890100b4  cbz	x9, #0xfffffff0087a0ea8
0xfffffff0087a0e7c: 2aa54039  ldrb	w10, [x9, #0x29]
0xfffffff0087a0e80: ea000035  cbnz	w10, #0xfffffff0087a0e9c
0xfffffff0087a0e84: 09000014  b	#0xfffffff0087a0ea8
0xfffffff0087a0e88: 090100b4  cbz	x9, #0xfffffff0087a0ea8
0xfffffff0087a0e8c: 2a0540b9  ldr	w10, [x9, #4]
0xfffffff0087a0e90: 4a610051  sub	w10, w10, #0x18
0xfffffff0087a0e94: 5f250031  cmn	w10, #9
0xfffffff0087a0e98: 88000054  b.hi	#0xfffffff0087a0ea8
0xfffffff0087a0e9c: 00008052  mov	w0, #0
0xfffffff0087a0ea0: 090100f9  str	x9, [x8]
0xfffffff0087a0ea4: a6ffff17  b	#0xfffffff0087a0d3c
0xfffffff0087a0ea8: 00008052  mov	w0, #0
0xfffffff0087a0eac: a4ffff17  b	#0xfffffff0087a0d3c
0xfffffff0087a0eb0: 7f2303d5  pacibsp	
