; Candidate 10233
; ADRP+ADD at VM 0xfffffff008cc4e6c (fileoff 0x1cc0e6c): page=0x1fe69c000 add_imm=0xdd1

0xfffffff008cc4dec: e0830391  add	x0, sp, #0xe0
0xfffffff008cc4df0: 21188052  mov	w1, #0xc1
0xfffffff008cc4df4: e2031baa  mov	x2, x27
0xfffffff008cc4df8: e30317aa  mov	x3, x23
0xfffffff008cc4dfc: d6effe97  bl	#0xfffffff008c80d54
0xfffffff008cc4e00: c80240b9  ldr	w8, [x22]
0xfffffff008cc4e04: c8034036  tbz	w8, #8, #0xfffffff008cc4e7c
0xfffffff008cc4e08: 09050012  and	w9, w8, #3
0xfffffff008cc4e0c: 89030034  cbz	w9, #0xfffffff008cc4e7c
0xfffffff008cc4e10: 88020036  tbz	w8, #0, #0xfffffff008cc4e60
0xfffffff008cc4e14: 2f3dc897  bl	#0xfffffff007ed42d0
0xfffffff008cc4e18: ff4b00f9  str	xzr, [sp, #0x90]
0xfffffff008cc4e1c: e1430291  add	x1, sp, #0x90
0xfffffff008cc4e20: 883ec897  bl	#0xfffffff007ed4840
0xfffffff008cc4e24: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff008cc4e28: 08fd43d3  lsr	x8, x8, #3
0xfffffff008cc4e2c: e9f99ed2  mov	x9, #0xf7cf
0xfffffff008cc4e30: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff008cc4e34: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff008cc4e38: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff008cc4e3c: 087dc99b  umulh	x8, x8, x9
0xfffffff008cc4e40: 08fd44d3  lsr	x8, x8, #4
0xfffffff008cc4e44: e9830391  add	x9, sp, #0xe0
0xfffffff008cc4e48: f3a700a9  stp	x19, x9, [sp, #8]
0xfffffff008cc4e4c: e80300f9  str	x8, [sp]
0xfffffff008cc4e50: e034ff90  adrp	x0, #0xfffffff007360000
0xfffffff008cc4e54: 00503691  add	x0, x0, #0xd94
0xfffffff008cc4e58: bea9de97  bl	#0xfffffff00846f550
0xfffffff008cc4e5c: c80240b9  ldr	w8, [x22]
0xfffffff008cc4e60: e8000836  tbz	w8, #1, #0xfffffff008cc4e7c
0xfffffff008cc4e64: e8830391  add	x8, sp, #0xe0
0xfffffff008cc4e68: f32300a9  stp	x19, x8, [sp]
0xfffffff008cc4e6c: e034ff90  adrp	x0, #0xfffffff007360000
0xfffffff008cc4e70: 00443791  add	x0, x0, #0xdd1
0xfffffff008cc4e74: 6b48da97  bl	#0xfffffff008357020
0xfffffff008cc4e78: c80240b9  ldr	w8, [x22]
0xfffffff008cc4e7c: 48064036  tbz	w8, #8, #0xfffffff008cc4f44
0xfffffff008cc4e80: 09050012  and	w9, w8, #3
0xfffffff008cc4e84: 09060034  cbz	w9, #0xfffffff008cc4f44
0xfffffff008cc4e88: c8030036  tbz	w8, #0, #0xfffffff008cc4f00
0xfffffff008cc4e8c: 113dc897  bl	#0xfffffff007ed42d0
0xfffffff008cc4e90: ff4b00f9  str	xzr, [sp, #0x90]
0xfffffff008cc4e94: e1430291  add	x1, sp, #0x90
0xfffffff008cc4e98: 6a3ec897  bl	#0xfffffff007ed4840
0xfffffff008cc4e9c: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff008cc4ea0: 08fd43d3  lsr	x8, x8, #3
0xfffffff008cc4ea4: e9f99ed2  mov	x9, #0xf7cf
0xfffffff008cc4ea8: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff008cc4eac: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff008cc4eb0: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff008cc4eb4: 087dc99b  umulh	x8, x8, x9
0xfffffff008cc4eb8: 08fd44d3  lsr	x8, x8, #4
0xfffffff008cc4ebc: 69034039  ldrb	w9, [x27]
0xfffffff008cc4ec0: 6a074039  ldrb	w10, [x27, #1]
0xfffffff008cc4ec4: 6b0b4039  ldrb	w11, [x27, #2]
0xfffffff008cc4ec8: 6c0f4039  ldrb	w12, [x27, #3]
0xfffffff008cc4ecc: 6d134039  ldrb	w13, [x27, #4]
0xfffffff008cc4ed0: 6e174039  ldrb	w14, [x27, #5]
0xfffffff008cc4ed4: 6f1b4039  ldrb	w15, [x27, #6]
0xfffffff008cc4ed8: 701f4039  ldrb	w16, [x27, #7]
0xfffffff008cc4edc: ef4304a9  stp	x15, x16, [sp, #0x40]
0xfffffff008cc4ee0: ed3b03a9  stp	x13, x14, [sp, #0x30]
0xfffffff008cc4ee4: eb3302a9  stp	x11, x12, [sp, #0x20]
0xfffffff008cc4ee8: e92b01a9  stp	x9, x10, [sp, #0x10]
