; Candidate 2041
; ADRP+ADD at VM 0xfffffff00854eb7c (fileoff 0x154ab7c): page=0x1feb93000 add_imm=0xe39

0xfffffff00854eafc: 00600f91  add	x0, x0, #0x3d8
0xfffffff00854eb00: c0035fd6  ret	
0xfffffff00854eb04: 5f2403d5  bti	c
0xfffffff00854eb08: 200020d4  brk	#1
0xfffffff00854eb0c: 5f2403d5  bti	c
0xfffffff00854eb10: 200020d4  brk	#1
0xfffffff00854eb14: 5f2403d5  bti	c
0xfffffff00854eb18: 000080d2  mov	x0, #0
0xfffffff00854eb1c: c0035fd6  ret	
0xfffffff00854eb20: 5f2403d5  bti	c
0xfffffff00854eb24: f456f617  b	#0xfffffff0082e46f4
0xfffffff00854eb28: 5f2403d5  bti	c
0xfffffff00854eb2c: f256f617  b	#0xfffffff0082e46f4
0xfffffff00854eb30: 7f2303d5  pacibsp	
0xfffffff00854eb34: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00854eb38: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00854eb3c: fd430091  add	x29, sp, #0x10
0xfffffff00854eb40: 805cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00854eb44: 00603791  add	x0, x0, #0xdd8
0xfffffff00854eb48: bc69f797  bl	#0xfffffff008329238
0xfffffff00854eb4c: 48ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854eb50: 00c101f9  str	x0, [x8, #0x380]
0xfffffff00854eb54: 805cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00854eb58: 00083891  add	x0, x0, #0xe02
0xfffffff00854eb5c: b769f797  bl	#0xfffffff008329238
0xfffffff00854eb60: 48ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854eb64: 00c501f9  str	x0, [x8, #0x388]
0xfffffff00854eb68: 805cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00854eb6c: 00883891  add	x0, x0, #0xe22
0xfffffff00854eb70: b269f797  bl	#0xfffffff008329238
0xfffffff00854eb74: 48ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854eb78: 00c901f9  str	x0, [x8, #0x390]
0xfffffff00854eb7c: 805cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00854eb80: 00e43891  add	x0, x0, #0xe39
0xfffffff00854eb84: ad69f797  bl	#0xfffffff008329238
0xfffffff00854eb88: 48ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854eb8c: 00cd01f9  str	x0, [x8, #0x398]
0xfffffff00854eb90: 805cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00854eb94: 004c3991  add	x0, x0, #0xe53
0xfffffff00854eb98: a869f797  bl	#0xfffffff008329238
0xfffffff00854eb9c: 48ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854eba0: 00d101f9  str	x0, [x8, #0x3a0]
0xfffffff00854eba4: 805cfff0  adrp	x0, #0xfffffff0070e1000
0xfffffff00854eba8: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00854ebac: a369f797  bl	#0xfffffff008329238
0xfffffff00854ebb0: 48ec0090  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854ebb4: 00d501f9  str	x0, [x8, #0x3a8]
0xfffffff00854ebb8: 40ec0090  adrp	x0, #0xfffffff00a2d6000
0xfffffff00854ebbc: 00c00e91  add	x0, x0, #0x3b0
0xfffffff00854ebc0: 815cffd0  adrp	x1, #0xfffffff0070e0000
0xfffffff00854ebc4: 21241091  add	x1, x1, #0x409
0xfffffff00854ebc8: 33a2fff0  adrp	x19, #0xfffffff007995000
0xfffffff00854ebcc: 735a45f9  ldr	x19, [x19, #0xab0]
0xfffffff00854ebd0: e20313aa  mov	x2, x19
0xfffffff00854ebd4: 03148052  mov	w3, #0xa0
0xfffffff00854ebd8: d853f697  bl	#0xfffffff0082e3b38
0xfffffff00854ebdc: 90a2ffb0  adrp	x16, #0xfffffff00799f000
0xfffffff00854ebe0: 10620891  add	x16, x16, #0x218
0xfffffff00854ebe4: 10420091  add	x16, x16, #0x10
0xfffffff00854ebe8: f10300aa  mov	x17, x0
0xfffffff00854ebec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00854ebf0: 300ac1da  pacda	x16, x17
0xfffffff00854ebf4: 100000f9  str	x16, [x0]
0xfffffff00854ebf8: 40ec0090  adrp	x0, #0xfffffff00a2d6000
