; Candidate 9754
; ADRP+ADD at VM 0xfffffff008b04b60 (fileoff 0x1b00b60): page=0x1fe7ea000 add_imm=0xd8f

0xfffffff008b04ae0: 00383591  add	x0, x0, #0xd4e
0xfffffff008b04ae4: 5fcaca97  bl	#0xfffffff007db7460
0xfffffff008b04ae8: 0a000014  b	#0xfffffff008b04b10
0xfffffff008b04aec: f30300f9  str	x19, [sp]
0xfffffff008b04af0: 003effb0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b04af4: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b04af8: c17bffd0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b04afc: 211046f9  ldr	x1, [x1, #0xc20]
0xfffffff008b04b00: c33ffff0  adrp	x3, #0xfffffff0072ff000
0xfffffff008b04b04: 63583a91  add	x3, x3, #0xe96
0xfffffff008b04b08: 02008052  mov	w2, #0
0xfffffff008b04b0c: 89b9e097  bl	#0xfffffff008333130
0xfffffff008b04b10: f55345a9  ldp	x21, x20, [sp, #0x50]
0xfffffff008b04b14: d5d26736  tbz	w21, #0xc, #0xfffffff008b0456c
0xfffffff008b04b18: 806649f9  ldr	x0, [x20, #0x12c8]
0xfffffff008b04b1c: 100040f9  ldr	x16, [x0]
0xfffffff008b04b20: f10300aa  mov	x17, x0
0xfffffff008b04b24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b04b28: 301ac1da  autda	x16, x17
0xfffffff008b04b2c: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff008b04b30: e90310aa  mov	x9, x16
0xfffffff008b04b34: f10309aa  mov	x17, x9
0xfffffff008b04b38: 113de5f2  movk	x17, #0x29e8, lsl #48
0xfffffff008b04b3c: 11093fd7  blraa	x8, x17
0xfffffff008b04b40: f50300aa  mov	x21, x0
0xfffffff008b04b44: a8435ab8  ldur	w8, [x29, #-0x5c]
0xfffffff008b04b48: 48010036  tbz	w8, #0, #0xfffffff008b04b70
0xfffffff008b04b4c: 403fffd0  adrp	x0, #0xfffffff0072ee000
0xfffffff008b04b50: 003c3091  add	x0, x0, #0xc0f
0xfffffff008b04b54: 43caca97  bl	#0xfffffff007db7460
0xfffffff008b04b58: e80315aa  mov	x8, x21
0xfffffff008b04b5c: e80300f9  str	x8, [sp]
0xfffffff008b04b60: 403fffd0  adrp	x0, #0xfffffff0072ee000
0xfffffff008b04b64: 003c3691  add	x0, x0, #0xd8f
0xfffffff008b04b68: 3ecaca97  bl	#0xfffffff007db7460
0xfffffff008b04b6c: 12000014  b	#0xfffffff008b04bb4
0xfffffff008b04b70: 163effb0  adrp	x22, #0xfffffff0072c5000
0xfffffff008b04b74: d6422f91  add	x22, x22, #0xbd0
0xfffffff008b04b78: d77bffd0  adrp	x23, #0xfffffff007a7e000
0xfffffff008b04b7c: f71246f9  ldr	x23, [x23, #0xc20]
0xfffffff008b04b80: c33ffff0  adrp	x3, #0xfffffff0072ff000
0xfffffff008b04b84: 635c3b91  add	x3, x3, #0xed7
0xfffffff008b04b88: e00316aa  mov	x0, x22
0xfffffff008b04b8c: e10317aa  mov	x1, x23
0xfffffff008b04b90: 02008052  mov	w2, #0
0xfffffff008b04b94: 67b9e097  bl	#0xfffffff008333130
0xfffffff008b04b98: f50300f9  str	x21, [sp]
0xfffffff008b04b9c: c33ffff0  adrp	x3, #0xfffffff0072ff000
0xfffffff008b04ba0: 63643b91  add	x3, x3, #0xed9
0xfffffff008b04ba4: e00316aa  mov	x0, x22
0xfffffff008b04ba8: e10317aa  mov	x1, x23
0xfffffff008b04bac: 02008052  mov	w2, #0
0xfffffff008b04bb0: 60b9e097  bl	#0xfffffff008333130
0xfffffff008b04bb4: 13008052  mov	w19, #0
0xfffffff008b04bb8: 350e0034  cbz	w21, #0xfffffff008b04d7c
0xfffffff008b04bbc: 16008052  mov	w22, #0
0xfffffff008b04bc0: fbbe00b0  adrp	x27, #0xfffffff00a2e1000
0xfffffff008b04bc4: 7be33391  add	x27, x27, #0xcf8
0xfffffff008b04bc8: f72f40f9  ldr	x23, [sp, #0x58]
0xfffffff008b04bcc: e06649f9  ldr	x0, [x23, #0x12c8]
0xfffffff008b04bd0: 100040f9  ldr	x16, [x0]
0xfffffff008b04bd4: f10300aa  mov	x17, x0
0xfffffff008b04bd8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b04bdc: 301ac1da  autda	x16, x17
