; Candidate 12221
; ADRP+ADD at VM 0xfffffff009070b08 (fileoff 0x206cb08): page=0x1fe3e4000 add_imm=0xecf

0xfffffff009070a88: 042840fa  ccmp	x0, #0, #4, hs
0xfffffff009070a8c: 40040054  b.eq	#0xfffffff009070b14
0xfffffff009070a90: 08008052  mov	w8, #0
0xfffffff009070a94: 69559552  mov	w9, #0xaaab
0xfffffff009070a98: 4955b572  movk	w9, #0xaaaa, lsl #16
0xfffffff009070a9c: 897ea99b  umull	x9, w20, w9
0xfffffff009070aa0: 29fd64d3  lsr	x9, x9, #0x24
0xfffffff009070aa4: 3f050071  cmp	w9, #1
0xfffffff009070aa8: 2a859f1a  csinc	w10, w9, wzr, hi
0xfffffff009070aac: 0b200091  add	x11, x0, #8
0xfffffff009070ab0: 6cc15fb8  ldur	w12, [x11, #-4]
0xfffffff009070ab4: 9f110071  cmp	w12, #4
0xfffffff009070ab8: 41020054  b.ne	#0xfffffff009070b00
0xfffffff009070abc: 6c0140f9  ldr	x12, [x11]
0xfffffff009070ac0: 6d815fb8  ldur	w13, [x11, #-8]
0xfffffff009070ac4: 700940b9  ldr	w16, [x11, #8]
0xfffffff009070ac8: 6e7640f9  ldr	x14, [x19, #0xe8]
0xfffffff009070acc: cf696db8  ldr	w15, [x14, x13]
0xfffffff009070ad0: f1010c0a  and	w17, w15, w12
0xfffffff009070ad4: 10020c0a  and	w16, w16, w12
0xfffffff009070ad8: 3f02106b  cmp	w17, w16
0xfffffff009070adc: 80000054  b.eq	#0xfffffff009070aec
0xfffffff009070ae0: ec012c0a  bic	w12, w15, w12
0xfffffff009070ae4: 8c01102a  orr	w12, w12, w16
0xfffffff009070ae8: ac692eb8  str	w12, [x13, x14]
0xfffffff009070aec: 08050011  add	w8, w8, #1
0xfffffff009070af0: 6b610091  add	x11, x11, #0x18
0xfffffff009070af4: 5f01086b  cmp	w10, w8
0xfffffff009070af8: c1fdff54  b.ne	#0xfffffff009070ab0
0xfffffff009070afc: 06000014  b	#0xfffffff009070b14
0xfffffff009070b00: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009070b04: ec0300f9  str	x12, [sp]
0xfffffff009070b08: 201fff90  adrp	x0, #0xfffffff007454000
0xfffffff009070b0c: 003c3b91  add	x0, x0, #0xecf
0xfffffff009070b10: 4499cb97  bl	#0xfffffff008357020
0xfffffff009070b14: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009070b18: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009070b1c: ff030191  add	sp, sp, #0x40
0xfffffff009070b20: ff0f5fd6  retab	
0xfffffff009070b24: 5f2403d5  bti	c
0xfffffff009070b28: 008040f9  ldr	x0, [x0, #0x100]
0xfffffff009070b2c: 100040f9  ldr	x16, [x0]
0xfffffff009070b30: f10300aa  mov	x17, x0
0xfffffff009070b34: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009070b38: 301ac1da  autda	x16, x17
0xfffffff009070b3c: f10310aa  mov	x17, x16
0xfffffff009070b40: f147c1da  xpacd	x17
0xfffffff009070b44: 1f0211eb  cmp	x16, x17
0xfffffff009070b48: 40000054  b.eq	#0xfffffff009070b50
0xfffffff009070b4c: 408e38d4  brk	#0xc472
0xfffffff009070b50: e20310aa  mov	x2, x16
0xfffffff009070b54: a1000036  tbz	w1, #0, #0xfffffff009070b68
0xfffffff009070b58: 508c48f8  ldr	x16, [x2, #0x88]!
0xfffffff009070b5c: f10302aa  mov	x17, x2
0xfffffff009070b60: 5117ecf2  movk	x17, #0x60ba, lsl #48
0xfffffff009070b64: 110a1fd7  braa	x16, x17
0xfffffff009070b68: 500c48f8  ldr	x16, [x2, #0x80]!
0xfffffff009070b6c: 01008052  mov	w1, #0
0xfffffff009070b70: f10302aa  mov	x17, x2
0xfffffff009070b74: 514eedf2  movk	x17, #0x6a72, lsl #48
0xfffffff009070b78: 110a1fd7  braa	x16, x17
0xfffffff009070b7c: 5f2403d5  bti	c
0xfffffff009070b80: 083041b9  ldr	w8, [x0, #0x130]
0xfffffff009070b84: 097d0453  lsr	w9, w8, #4
