; Candidate 7309
; ADRP+ADD at VM 0xfffffff0088666b0 (fileoff 0x18626b0): page=0x1fe983000 add_imm=0xe80

0xfffffff008866630: 00050034  cbz	w0, #0xfffffff0088666d0
0xfffffff008866634: 600c8052  mov	w0, #0x63
0xfffffff008866638: 78540094  bl	#0xfffffff00887b818
0xfffffff00886663c: f90300aa  mov	x25, x0
0xfffffff008866640: db360194  bl	#0xfffffff0088b41ac
0xfffffff008866644: f80300aa  mov	x24, x0
0xfffffff008866648: 00018052  mov	w0, #8
0xfffffff00886664c: 81540094  bl	#0xfffffff00887b850
0xfffffff008866650: 99010034  cbz	w25, #0xfffffff008866680
0xfffffff008866654: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008866658: a9c35ab8  ldur	w9, [x29, #-0x54]
0xfffffff00886665c: e95304a9  stp	x9, x20, [sp, #0x40]
0xfffffff008866660: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008866664: fc5b02a9  stp	x28, x22, [sp, #0x20]
0xfffffff008866668: e06f01a9  stp	x0, x27, [sp, #0x10]
0xfffffff00886666c: f85700a9  stp	x24, x21, [sp]
0xfffffff008866670: 004efff0  adrp	x0, #0xfffffff007229000
0xfffffff008866674: 00fc1e91  add	x0, x0, #0x7bf
0xfffffff008866678: 7a43d597  bl	#0xfffffff007db7460
0xfffffff00886667c: 15000014  b	#0xfffffff0088666d0
0xfffffff008866680: cb360194  bl	#0xfffffff0088b41ac
0xfffffff008866684: f80300aa  mov	x24, x0
0xfffffff008866688: 00018052  mov	w0, #8
0xfffffff00886668c: 71540094  bl	#0xfffffff00887b850
0xfffffff008866690: e80314aa  mov	x8, x20
0xfffffff008866694: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008866698: aac35ab8  ldur	w10, [x29, #-0x54]
0xfffffff00886669c: ea2304a9  stp	x10, x8, [sp, #0x40]
0xfffffff0088666a0: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0088666a4: fc5b02a9  stp	x28, x22, [sp, #0x20]
0xfffffff0088666a8: e06f01a9  stp	x0, x27, [sp, #0x10]
0xfffffff0088666ac: f85700a9  stp	x24, x21, [sp]
0xfffffff0088666b0: 004cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088666b4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088666b8: 018dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088666bc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088666c0: 02008052  mov	w2, #0
0xfffffff0088666c4: 834fffb0  adrp	x3, #0xfffffff007257000
0xfffffff0088666c8: 63a40891  add	x3, x3, #0x229
0xfffffff0088666cc: 9932eb97  bl	#0xfffffff008333130
0xfffffff0088666d0: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff0088666d4: 081940b9  ldr	w8, [x8, #0x18]
0xfffffff0088666d8: 087d171b  mul	w8, w8, w23
0xfffffff0088666dc: 9f02086b  cmp	w20, w8
0xfffffff0088666e0: cc050054  b.gt	#0xfffffff008866798
0xfffffff0088666e4: 94060011  add	w20, w20, #1
0xfffffff0088666e8: 800c8052  mov	w0, #0x64
0xfffffff0088666ec: 47c2eb97  bl	#0xfffffff008357008
0xfffffff0088666f0: 603a40f9  ldr	x0, [x19, #0x70]
0xfffffff0088666f4: a25301d1  sub	x2, x29, #0x54
0xfffffff0088666f8: 01008052  mov	w1, #0
0xfffffff0088666fc: 86cc0094  bl	#0xfffffff008899914
0xfffffff008866700: 20f9ff35  cbnz	w0, #0xfffffff008866624
0xfffffff008866704: a8c35ab8  ldur	w8, [x29, #-0x54]
0xfffffff008866708: 1f011a6b  cmp	w8, w26
0xfffffff00886670c: c1f8ff54  b.ne	#0xfffffff008866624
0xfffffff008866710: 800c8052  mov	w0, #0x64
0xfffffff008866714: 3dc2eb97  bl	#0xfffffff008357008
0xfffffff008866718: 14008052  mov	w20, #0
0xfffffff00886671c: 171b8052  mov	w23, #0xd8
0xfffffff008866720: d774a572  movk	w23, #0x2ba6, lsl #16
0xfffffff008866724: 56000014  b	#0xfffffff00886687c
0xfffffff008866728: a1360194  bl	#0xfffffff0088b41ac
0xfffffff00886672c: f50300aa  mov	x21, x0
