; Candidate 5141
; ADRP+ADD at VM 0xfffffff0087db670 (fileoff 0x17d7670): page=0x1fea0e000 add_imm=0xe80

0xfffffff0087db5f0: 18020034  cbz	w24, #0xfffffff0087db630
0xfffffff0087db5f4: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087db5f8: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0087db5fc: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0087db600: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087db604: 087d2f91  add	x8, x8, #0xbdf
0xfffffff0087db608: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087db60c: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087db610: 081d0291  add	x8, x8, #0x87
0xfffffff0087db614: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087db618: 280a8052  mov	w8, #0x51
0xfffffff0087db61c: a051fff0  adrp	x0, #0xfffffff007212000
0xfffffff0087db620: 00c82691  add	x0, x0, #0x9b2
0xfffffff0087db624: f72300a9  stp	x23, x8, [sp]
0xfffffff0087db628: 8e6fd797  bl	#0xfffffff007db7460
0xfffffff0087db62c: 19000014  b	#0xfffffff0087db690
0xfffffff0087db630: df620394  bl	#0xfffffff0088b41ac
0xfffffff0087db634: f70300aa  mov	x23, x0
0xfffffff0087db638: c0008052  mov	w0, #6
0xfffffff0087db63c: 85800294  bl	#0xfffffff00887b850
0xfffffff0087db640: e80316aa  mov	x8, x22
0xfffffff0087db644: 69ee40b9  ldr	w9, [x19, #0xec]
0xfffffff0087db648: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0087db64c: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0087db650: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087db654: 087d2f91  add	x8, x8, #0xbdf
0xfffffff0087db658: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087db65c: a851fff0  adrp	x8, #0xfffffff007212000
0xfffffff0087db660: 081d0291  add	x8, x8, #0x87
0xfffffff0087db664: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087db668: 280a8052  mov	w8, #0x51
0xfffffff0087db66c: f72300a9  stp	x23, x8, [sp]
0xfffffff0087db670: 6050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087db674: 00003a91  add	x0, x0, #0xe80
0xfffffff0087db678: 6191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087db67c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087db680: 0353ffb0  adrp	x3, #0xfffffff00723c000
0xfffffff0087db684: 63103191  add	x3, x3, #0xc44
0xfffffff0087db688: 02008052  mov	w2, #0
0xfffffff0087db68c: a95eed97  bl	#0xfffffff008333130
0xfffffff0087db690: e00316aa  mov	x0, x22
0xfffffff0087db694: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087db698: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087db69c: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087db6a0: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087db6a4: ff830291  add	sp, sp, #0xa0
0xfffffff0087db6a8: ff0f5fd6  retab	
0xfffffff0087db6ac: 7f2303d5  pacibsp	
0xfffffff0087db6b0: ff4302d1  sub	sp, sp, #0x90
0xfffffff0087db6b4: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0087db6b8: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0087db6bc: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0087db6c0: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0087db6c4: fd030291  add	x29, sp, #0x80
0xfffffff0087db6c8: f50302aa  mov	x21, x2
0xfffffff0087db6cc: f40301aa  mov	x20, x1
0xfffffff0087db6d0: f30300aa  mov	x19, x0
0xfffffff0087db6d4: 200a8052  mov	w0, #0x51
0xfffffff0087db6d8: 01018052  mov	w1, #8
0xfffffff0087db6dc: 3d800294  bl	#0xfffffff00887b7d0
0xfffffff0087db6e0: 60050034  cbz	w0, #0xfffffff0087db78c
0xfffffff0087db6e4: 200a8052  mov	w0, #0x51
0xfffffff0087db6e8: 4c800294  bl	#0xfffffff00887b818
0xfffffff0087db6ec: f70300aa  mov	x23, x0
