; Candidate 11424
; ADRP+ADD at VM 0xfffffff008f46a04 (fileoff 0x1f42a04): page=0x1febda000 add_imm=0xcf8

0xfffffff008f46984: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff008f46988: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff008f4698c: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff008f46990: 087dc99b  umulh	x8, x8, x9
0xfffffff008f46994: 08fd44d3  lsr	x8, x8, #4
0xfffffff008f46998: 09718252  mov	w9, #0x1388
0xfffffff008f4699c: 2903098b  add	x9, x25, x9
0xfffffff008f469a0: 0a0119cb  sub	x10, x8, x25
0xfffffff008f469a4: 3f0108eb  cmp	x9, x8
0xfffffff008f469a8: e9879f1a  cset	w9, ls
0xfffffff008f469ac: ea838a9a  csel	x10, xzr, x10, hi
0xfffffff008f469b0: 3f0300f1  cmp	x25, #0
0xfffffff008f469b4: 1c018a9a  csel	x28, x8, x10, eq
0xfffffff008f469b8: e803891a  csel	w8, wzr, w9, eq
0xfffffff008f469bc: 496b7438  ldrb	w9, [x26, x20]
0xfffffff008f469c0: 8a26ff90  adrp	x10, #0xfffffff007416000
0xfffffff008f469c4: 4a211091  add	x10, x10, #0x408
0xfffffff008f469c8: 587969f8  ldr	x24, [x10, x9, lsl #3]
0xfffffff008f469cc: f603082a  mov	w22, w8
0xfffffff008f469d0: e18345a9  ldp	x1, x0, [sp, #0x58]
0xfffffff008f469d4: e20318aa  mov	x2, x24
0xfffffff008f469d8: e3031caa  mov	x3, x28
0xfffffff008f469dc: e40316aa  mov	x4, x22
0xfffffff008f469e0: 050080d2  mov	x5, #0
0xfffffff008f469e4: ed37d397  bl	#0xfffffff008414998
0xfffffff008f469e8: c0030035  cbnz	w0, #0xfffffff008f46a60
0xfffffff008f469ec: 486b7438  ldrb	w8, [x26, x20]
0xfffffff008f469f0: 680e088b  add	x8, x19, x8, lsl #3
0xfffffff008f469f4: 002540f9  ldr	x0, [x8, #0x48]
0xfffffff008f469f8: 600000b4  cbz	x0, #0xfffffff008f46a04
0xfffffff008f469fc: 092040a9  ldp	x9, x8, [x0]
0xfffffff008f46a00: 0a000014  b	#0xfffffff008f46a28
0xfffffff008f46a04: c05effd0  adrp	x0, #0xfffffff007b20000
0xfffffff008f46a08: 00e03391  add	x0, x0, #0xcf8
0xfffffff008f46a0c: ba3ed097  bl	#0xfffffff0083564f4
0xfffffff008f46a10: 080080d2  mov	x8, #0
0xfffffff008f46a14: 090080d2  mov	x9, #0
0xfffffff008f46a18: 1f7c00a9  stp	xzr, xzr, [x0]
0xfffffff008f46a1c: 4a6b7438  ldrb	w10, [x26, x20]
0xfffffff008f46a20: 6a0e0a8b  add	x10, x19, x10, lsl #3
0xfffffff008f46a24: 402500f9  str	x0, [x10, #0x48]
0xfffffff008f46a28: 29011c8b  add	x9, x9, x28
0xfffffff008f46a2c: 0801168b  add	x8, x8, x22
0xfffffff008f46a30: 092000a9  stp	x9, x8, [x0]
0xfffffff008f46a34: 94060091  add	x20, x20, #1
0xfffffff008f46a38: a8124039  ldrb	w8, [x21, #4]
0xfffffff008f46a3c: 9f0208eb  cmp	x20, x8
0xfffffff008f46a40: 83f6ff54  b.lo	#0xfffffff008f46910
0xfffffff008f46a44: 1b008052  mov	w27, #0
0xfffffff008f46a48: f42340f9  ldr	x20, [sp, #0x40]
0xfffffff008f46a4c: 94060091  add	x20, x20, #1
0xfffffff008f46a50: 68424039  ldrb	w8, [x19, #0x10]
0xfffffff008f46a54: 9f0208eb  cmp	x20, x8
0xfffffff008f46a58: 23f2ff54  b.lo	#0xfffffff008f4689c
0xfffffff008f46a5c: 16000014  b	#0xfffffff008f46ab4
0xfffffff008f46a60: fb0300aa  mov	x27, x0
0xfffffff008f46a64: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff008f46a68: e86302a9  stp	x8, x24, [sp, #0x20]
0xfffffff008f46a6c: a826ff90  adrp	x8, #0xfffffff00741a000
0xfffffff008f46a70: 08490991  add	x8, x8, #0x252
0xfffffff008f46a74: e86f01a9  stp	x8, x27, [sp, #0x10]
0xfffffff008f46a78: a826ff90  adrp	x8, #0xfffffff00741a000
0xfffffff008f46a7c: 084d0891  add	x8, x8, #0x213
0xfffffff008f46a80: 8926ffd0  adrp	x9, #0xfffffff007418000
