; Candidate 13440
; ADRP+ADD at VM 0xfffffff0092d0ee8 (fileoff 0x22ccee8): page=0x1fe20f000 add_imm=0xe26

0xfffffff0092d0e68: 400300b4  cbz	x0, #0xfffffff0092d0ed0
0xfffffff0092d0e6c: 700240f9  ldr	x16, [x19]
0xfffffff0092d0e70: f10313aa  mov	x17, x19
0xfffffff0092d0e74: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0e78: 301ac1da  autda	x16, x17
0xfffffff0092d0e7c: 116e80d2  mov	x17, #0x370
0xfffffff0092d0e80: 1002118b  add	x16, x16, x17
0xfffffff0092d0e84: 080240f9  ldr	x8, [x16]
0xfffffff0092d0e88: e90310aa  mov	x9, x16
0xfffffff0092d0e8c: e00313aa  mov	x0, x19
0xfffffff0092d0e90: f10309aa  mov	x17, x9
0xfffffff0092d0e94: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092d0e98: 11093fd7  blraa	x8, x17
0xfffffff0092d0e9c: 100040f9  ldr	x16, [x0]
0xfffffff0092d0ea0: f10300aa  mov	x17, x0
0xfffffff0092d0ea4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0ea8: 301ac1da  autda	x16, x17
0xfffffff0092d0eac: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d0eb0: 1002118b  add	x16, x16, x17
0xfffffff0092d0eb4: 080240f9  ldr	x8, [x16]
0xfffffff0092d0eb8: e90310aa  mov	x9, x16
0xfffffff0092d0ebc: 010080d2  mov	x1, #0
0xfffffff0092d0ec0: f10309aa  mov	x17, x9
0xfffffff0092d0ec4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d0ec8: 11093fd7  blraa	x8, x17
0xfffffff0092d0ecc: 03000014  b	#0xfffffff0092d0ed8
0xfffffff0092d0ed0: 6010ffd0  adrp	x0, #0xfffffff0074de000
0xfffffff0092d0ed4: 00102191  add	x0, x0, #0x844
0xfffffff0092d0ed8: a8024079  ldrh	w8, [x21]
0xfffffff0092d0edc: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092d0ee0: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092d0ee4: f60300f9  str	x22, [sp]
0xfffffff0092d0ee8: 6010fff0  adrp	x0, #0xfffffff0074df000
0xfffffff0092d0eec: 00983891  add	x0, x0, #0xe26
0xfffffff0092d0ef0: 4c18c297  bl	#0xfffffff008357020
0xfffffff0092d0ef4: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0092d0ef8: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0092d0efc: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0092d0f00: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0092d0f04: ffc30191  add	sp, sp, #0x70
0xfffffff0092d0f08: ff0f5fd6  retab	
0xfffffff0092d0f0c: 5f2403d5  bti	c
0xfffffff0092d0f10: e10300aa  mov	x1, x0
0xfffffff0092d0f14: 008c48f9  ldr	x0, [x0, #0x1118]
0xfffffff0092d0f18: 400000b4  cbz	x0, #0xfffffff0092d0f20
0xfffffff0092d0f1c: 0748c317  b	#0xfffffff0083a2f38
0xfffffff0092d0f20: c0035fd6  ret	
0xfffffff0092d0f24: 7f2303d5  pacibsp	
0xfffffff0092d0f28: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0092d0f2c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0092d0f30: fd430091  add	x29, sp, #0x10
0xfffffff0092d0f34: f30300aa  mov	x19, x0
0xfffffff0092d0f38: 004448f9  ldr	x0, [x0, #0x1088]
0xfffffff0092d0f3c: 600500b4  cbz	x0, #0xfffffff0092d0fe8
0xfffffff0092d0f40: 100040f9  ldr	x16, [x0]
0xfffffff0092d0f44: f10300aa  mov	x17, x0
0xfffffff0092d0f48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0f4c: 301ac1da  autda	x16, x17
0xfffffff0092d0f50: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff0092d0f54: e90310aa  mov	x9, x16
0xfffffff0092d0f58: f10309aa  mov	x17, x9
0xfffffff0092d0f5c: 3153f3f2  movk	x17, #0x9a99, lsl #48
0xfffffff0092d0f60: 11093fd7  blraa	x8, x17
0xfffffff0092d0f64: 700240f9  ldr	x16, [x19]
