; Candidate 4090
; ADRP+ADD at VM 0xfffffff0087918b0 (fileoff 0x178d8b0): page=0x1fe9a0000 add_imm=0xd90

0xfffffff008791830: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008791834: 301ac1da  autda	x16, x17
0xfffffff008791838: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff00879183c: e90310aa  mov	x9, x16
0xfffffff008791840: e2430191  add	x2, sp, #0x50
0xfffffff008791844: 41038052  mov	w1, #0x1a
0xfffffff008791848: f10309aa  mov	x17, x9
0xfffffff00879184c: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff008791850: 11093fd7  blraa	x8, x17
0xfffffff008791854: 88b254f9  ldr	x8, [x20, #0x2960]
0xfffffff008791858: 89deaab9  ldrsw	x9, [x20, #0x2adc]
0xfffffff00879185c: 0801098b  add	x8, x8, x9
0xfffffff008791860: 09178252  mov	w9, #0x10b8
0xfffffff008791864: 097f091b  mul	w9, w24, w9
0xfffffff008791868: 0801098b  add	x8, x8, x9
0xfffffff00879186c: e04346fc  ldur	d0, [sp, #0x64]
0xfffffff008791870: 003908fd  str	d0, [x8, #0x1070]
0xfffffff008791874: e96f40b9  ldr	w9, [sp, #0x6c]
0xfffffff008791878: 097910b9  str	w9, [x8, #0x1078]
0xfffffff00879187c: 9a021a8b  add	x26, x20, x26
0xfffffff008791880: ff0200f1  cmp	x23, #0
0xfffffff008791884: e8079f1a  cset	w8, ne
0xfffffff008791888: a97e4093  sxtw	x9, w21
0xfffffff00879188c: d97e4093  sxtw	x25, w22
0xfffffff008791890: e96709a9  stp	x9, x25, [sp, #0x90]
0xfffffff008791894: f8230aa9  stp	x24, x8, [sp, #0xa0]
0xfffffff008791898: ff7f0ba9  stp	xzr, xzr, [sp, #0xb0]
0xfffffff00879189c: 885e70b9  ldr	w8, [x20, #0x305c]
0xfffffff0087918a0: 1f050071  cmp	w8, #1
0xfffffff0087918a4: 81010054  b.ne	#0xfffffff0087918d4
0xfffffff0087918a8: 887241f9  ldr	x8, [x20, #0x2e0]
0xfffffff0087918ac: 0d000014  b	#0xfffffff0087918e0
0xfffffff0087918b0: 004dff90  adrp	x0, #0xfffffff007131000
0xfffffff0087918b4: 00403691  add	x0, x0, #0xd90
0xfffffff0087918b8: 6193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087918bc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087918c0: a34dffb0  adrp	x3, #0xfffffff007146000
0xfffffff0087918c4: 63381491  add	x3, x3, #0x50e
0xfffffff0087918c8: 02008052  mov	w2, #0
0xfffffff0087918cc: 1986ee97  bl	#0xfffffff008333130
0xfffffff0087918d0: db000014  b	#0xfffffff008791c3c
0xfffffff0087918d4: 88b254f9  ldr	x8, [x20, #0x2960]
0xfffffff0087918d8: 89deaab9  ldrsw	x9, [x20, #0x2adc]
0xfffffff0087918dc: 0801098b  add	x8, x8, x9
0xfffffff0087918e0: 09178252  mov	w9, #0x10b8
0xfffffff0087918e4: 1c23099b  madd	x28, x24, x9, x8
0xfffffff0087918e8: 98e74fb9  ldr	w24, [x28, #0xfe4]
0xfffffff0087918ec: 88e66ab9  ldr	w8, [x20, #0x2ae4]
0xfffffff0087918f0: 1f050071  cmp	w8, #1
0xfffffff0087918f4: 01020054  b.ne	#0xfffffff008791934
0xfffffff0087918f8: 48034039  ldrb	w8, [x26]
0xfffffff0087918fc: c8010034  cbz	w8, #0xfffffff008791934
0xfffffff008791900: 88e34fb9  ldr	w8, [x28, #0xfe0]
0xfffffff008791904: 0901182b  adds	w9, w8, w24
0xfffffff008791908: 62010054  b.hs	#0xfffffff008791934
0xfffffff00879190c: 8a266bb9  ldr	w10, [x20, #0x2b24]
0xfffffff008791910: 3f010a6b  cmp	w9, w10
0xfffffff008791914: 08010054  b.hi	#0xfffffff008791934
0xfffffff008791918: 897a55f9  ldr	x9, [x20, #0x2af0]
0xfffffff00879191c: 2001088b  add	x0, x9, x8
0xfffffff008791920: 1f030171  cmp	w24, #0x40
0xfffffff008791924: 08088052  mov	w8, #0x40
0xfffffff008791928: 0233881a  csel	w2, w24, w8, lo
0xfffffff00879192c: 01008052  mov	w1, #0
