; Candidate 2368
; ADRP+ADD at VM 0xfffffff00862f8a4 (fileoff 0x162b8a4): page=0x1feade000 add_imm=0xea3

0xfffffff00862f824: 0900bc52  mov	w9, #-0x20000000
0xfffffff00862f828: 0901090b  add	w9, w8, w9
0xfffffff00862f82c: 0a7d1813  asr	w10, w8, #0x18
0xfffffff00862f830: 297d1853  lsr	w9, w9, #0x18
0xfffffff00862f834: 3f7d0171  cmp	w9, #0x5f
0xfffffff00862f838: 09048052  mov	w9, #0x20
0xfffffff00862f83c: 4a31891a  csel	w10, w10, w9, lo
0xfffffff00862f840: 0b5d1853  lsl	w11, w8, #8
0xfffffff00862f844: 6b1d0812  and	w11, w11, #0xff000000
0xfffffff00862f848: 0ce0af52  mov	w12, #0x7f000000
0xfffffff00862f84c: 7f010c6b  cmp	w11, w12
0xfffffff00862f850: 6811557a  ccmp	w11, w21, #8, ne
0xfffffff00862f854: 6b7d1813  asr	w11, w11, #0x18
0xfffffff00862f858: 2bb18b1a  csel	w11, w9, w11, lt
0xfffffff00862f85c: 0d3d1053  lsl	w13, w8, #0x10
0xfffffff00862f860: ad1d0812  and	w13, w13, #0xff000000
0xfffffff00862f864: bf010c6b  cmp	w13, w12
0xfffffff00862f868: a811557a  ccmp	w13, w21, #8, ne
0xfffffff00862f86c: ad7d1813  asr	w13, w13, #0x18
0xfffffff00862f870: 2db18d1a  csel	w13, w9, w13, lt
0xfffffff00862f874: 0e1d0853  lsl	w14, w8, #0x18
0xfffffff00862f878: df010c6b  cmp	w14, w12
0xfffffff00862f87c: c811557a  ccmp	w14, w21, #8, ne
0xfffffff00862f880: 081d0013  sxtb	w8, w8
0xfffffff00862f884: 28b1881a  csel	w8, w9, w8, lt
0xfffffff00862f888: f656ffd0  adrp	x22, #0xfffffff00710d000
0xfffffff00862f88c: d6ea3a91  add	x22, x22, #0xeba
0xfffffff00862f890: 3757ffb0  adrp	x23, #0xfffffff007114000
0xfffffff00862f894: f7c21e91  add	x23, x23, #0x7b0
0xfffffff00862f898: f75b00a9  stp	x23, x22, [sp]
0xfffffff00862f89c: ed2302a9  stp	x13, x8, [sp, #0x20]
0xfffffff00862f8a0: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff00862f8a4: e056ffd0  adrp	x0, #0xfffffff00710d000
0xfffffff00862f8a8: 008c3a91  add	x0, x0, #0xea3
0xfffffff00862f8ac: 1cffff97  bl	#0xfffffff00862f51c
0xfffffff00862f8b0: 700240f9  ldr	x16, [x19]
0xfffffff00862f8b4: f10313aa  mov	x17, x19
0xfffffff00862f8b8: 7145f0f2  movk	x17, #0x822b, lsl #48
0xfffffff00862f8bc: 301ac1da  autda	x16, x17
0xfffffff00862f8c0: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff00862f8c4: e90310aa  mov	x9, x16
0xfffffff00862f8c8: a2d300d1  sub	x2, x29, #0x34
0xfffffff00862f8cc: e00313aa  mov	x0, x19
0xfffffff00862f8d0: 810c8052  mov	w1, #0x64
0xfffffff00862f8d4: 23008052  mov	w3, #1
0xfffffff00862f8d8: f10309aa  mov	x17, x9
0xfffffff00862f8dc: d107f2f2  movk	x17, #0x903e, lsl #48
0xfffffff00862f8e0: 11093fd7  blraa	x8, x17
0xfffffff00862f8e4: a0070034  cbz	w0, #0xfffffff00862f9d8
0xfffffff00862f8e8: f40300aa  mov	x20, x0
0xfffffff00862f8ec: 700240f9  ldr	x16, [x19]
0xfffffff00862f8f0: f10313aa  mov	x17, x19
0xfffffff00862f8f4: 7145f0f2  movk	x17, #0x822b, lsl #48
0xfffffff00862f8f8: 301ac1da  autda	x16, x17
0xfffffff00862f8fc: 080240f9  ldr	x8, [x16]
0xfffffff00862f900: e90310aa  mov	x9, x16
0xfffffff00862f904: e00313aa  mov	x0, x19
0xfffffff00862f908: f10309aa  mov	x17, x9
0xfffffff00862f90c: b1e1e3f2  movk	x17, #0x1f0d, lsl #48
0xfffffff00862f910: 11093fd7  blraa	x8, x17
0xfffffff00862f914: f41300f9  str	x20, [sp, #0x20]
0xfffffff00862f918: 681d8052  mov	w8, #0xeb
0xfffffff00862f91c: e956ffd0  adrp	x9, #0xfffffff00710d000
0xfffffff00862f920: 29113291  add	x9, x9, #0xc84
