; Candidate 13038
; ADRP+ADD at VM 0xfffffff0091d9f70 (fileoff 0x21d5f70): page=0x1fe2c4000 add_imm=0xd0b

0xfffffff0091d9ef0: 68220639  strb	w8, [x19, #0x188]
0xfffffff0091d9ef4: 5fffff17  b	#0xfffffff0091d9c70
0xfffffff0091d9ef8: 607640f9  ldr	x0, [x19, #0xe8]
0xfffffff0091d9efc: a00300b4  cbz	x0, #0xfffffff0091d9f70
0xfffffff0091d9f00: 100040f9  ldr	x16, [x0]
0xfffffff0091d9f04: f10300aa  mov	x17, x0
0xfffffff0091d9f08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091d9f0c: 301ac1da  autda	x16, x17
0xfffffff0091d9f10: 113d80d2  mov	x17, #0x1e8
0xfffffff0091d9f14: 1002118b  add	x16, x16, x17
0xfffffff0091d9f18: 080240f9  ldr	x8, [x16]
0xfffffff0091d9f1c: e90310aa  mov	x9, x16
0xfffffff0091d9f20: 010080d2  mov	x1, #0
0xfffffff0091d9f24: f10309aa  mov	x17, x9
0xfffffff0091d9f28: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0091d9f2c: 11093fd7  blraa	x8, x17
0xfffffff0091d9f30: 12000014  b	#0xfffffff0091d9f78
0xfffffff0091d9f34: 607640f9  ldr	x0, [x19, #0xe8]
0xfffffff0091d9f38: 200300b4  cbz	x0, #0xfffffff0091d9f9c
0xfffffff0091d9f3c: 100040f9  ldr	x16, [x0]
0xfffffff0091d9f40: f10300aa  mov	x17, x0
0xfffffff0091d9f44: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091d9f48: 301ac1da  autda	x16, x17
0xfffffff0091d9f4c: 113d80d2  mov	x17, #0x1e8
0xfffffff0091d9f50: 1002118b  add	x16, x16, x17
0xfffffff0091d9f54: 080240f9  ldr	x8, [x16]
0xfffffff0091d9f58: e90310aa  mov	x9, x16
0xfffffff0091d9f5c: 010080d2  mov	x1, #0
0xfffffff0091d9f60: f10309aa  mov	x17, x9
0xfffffff0091d9f64: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0091d9f68: 11093fd7  blraa	x8, x17
0xfffffff0091d9f6c: 0e000014  b	#0xfffffff0091d9fa4
0xfffffff0091d9f70: 2016ff90  adrp	x0, #0xfffffff00749d000
0xfffffff0091d9f74: 002c3491  add	x0, x0, #0xd0b
0xfffffff0091d9f78: 883f8052  mov	w8, #0x1fc
0xfffffff0091d9f7c: 2916ff90  adrp	x9, #0xfffffff00749d000
0xfffffff0091d9f80: 29993591  add	x9, x9, #0xd66
0xfffffff0091d9f84: e81300f9  str	x8, [sp, #0x20]
0xfffffff0091d9f88: 2816ff90  adrp	x8, #0xfffffff00749d000
0xfffffff0091d9f8c: 08c93e91  add	x8, x8, #0xfb2
0xfffffff0091d9f90: 2a16ff90  adrp	x10, #0xfffffff00749d000
0xfffffff0091d9f94: 4a0d3e91  add	x10, x10, #0xf83
0xfffffff0091d9f98: 0b000014  b	#0xfffffff0091d9fc4
0xfffffff0091d9f9c: 2016ff90  adrp	x0, #0xfffffff00749d000
0xfffffff0091d9fa0: 002c3491  add	x0, x0, #0xd0b
0xfffffff0091d9fa4: a83f8052  mov	w8, #0x1fd
0xfffffff0091d9fa8: 2916ff90  adrp	x9, #0xfffffff00749d000
0xfffffff0091d9fac: 29993591  add	x9, x9, #0xd66
0xfffffff0091d9fb0: e81300f9  str	x8, [sp, #0x20]
0xfffffff0091d9fb4: 2816ff90  adrp	x8, #0xfffffff00749d000
0xfffffff0091d9fb8: 08c93f91  add	x8, x8, #0xff2
0xfffffff0091d9fbc: 2a16ff90  adrp	x10, #0xfffffff00749d000
0xfffffff0091d9fc0: 4a0d3f91  add	x10, x10, #0xfc3
0xfffffff0091d9fc4: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0091d9fc8: e02b00a9  stp	x0, x10, [sp]
0xfffffff0091d9fcc: 2016ff90  adrp	x0, #0xfffffff00749d000
0xfffffff0091d9fd0: 00783391  add	x0, x0, #0xcde
0xfffffff0091d9fd4: 2375af97  bl	#0xfffffff007db7460
0xfffffff0091d9fd8: 68ca40f9  ldr	x8, [x19, #0x190]
0xfffffff0091d9fdc: 49588052  mov	w9, #0x2c2
0xfffffff0091d9fe0: 0900bc72  movk	w9, #0xe000, lsl #16
0xfffffff0091d9fe4: 098900b9  str	w9, [x8, #0x88]
0xfffffff0091d9fe8: 5cffff17  b	#0xfffffff0091d9d58
0xfffffff0091d9fec: e01740f9  ldr	x0, [sp, #0x28]
