; Candidate 10429
; ADRP+ADD at VM 0xfffffff008d45c00 (fileoff 0x1d41c00): page=0x1fe643000 add_imm=0xe71

0xfffffff008d45b80: 0a32ffb0  adrp	x10, #0xfffffff007386000
0xfffffff008d45b84: 4ae90691  add	x10, x10, #0x1ba
0xfffffff008d45b88: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008d45b8c: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008d45b90: 2032ff90  adrp	x0, #0xfffffff007389000
0xfffffff008d45b94: 008c1b91  add	x0, x0, #0x6e3
0xfffffff008d45b98: 2245d897  bl	#0xfffffff008357020
0xfffffff008d45b9c: 54008012  mov	w20, #-3
0xfffffff008d45ba0: c8088052  mov	w8, #0x46
0xfffffff008d45ba4: deffff17  b	#0xfffffff008d45b1c
0xfffffff008d45ba8: 9f2403d5  bti	j
0xfffffff008d45bac: 606cffb0  adrp	x0, #0xfffffff007ad2000
0xfffffff008d45bb0: 00e01391  add	x0, x0, #0x4f8
0xfffffff008d45bb4: 81028052  mov	w1, #0x14
0xfffffff008d45bb8: 8644d897  bl	#0xfffffff008356dd0
0xfffffff008d45bbc: f60300aa  mov	x22, x0
0xfffffff008d45bc0: 0032fff0  adrp	x0, #0xfffffff007388000
0xfffffff008d45bc4: 00103891  add	x0, x0, #0xe04
0xfffffff008d45bc8: 0332fff0  adrp	x3, #0xfffffff007388000
0xfffffff008d45bcc: 631c1991  add	x3, x3, #0x647
0xfffffff008d45bd0: 0532fff0  adrp	x5, #0xfffffff007388000
0xfffffff008d45bd4: a54c3691  add	x5, x5, #0xd93
0xfffffff008d45bd8: e10316aa  mov	x1, x22
0xfffffff008d45bdc: 82028052  mov	w2, #0x14
0xfffffff008d45be0: 242a8052  mov	w4, #0x151
0xfffffff008d45be4: 11010014  b	#0xfffffff008d46028
0xfffffff008d45be8: 9f2403d5  bti	j
0xfffffff008d45bec: 606cffb0  adrp	x0, #0xfffffff007ad2000
0xfffffff008d45bf0: 00201591  add	x0, x0, #0x548
0xfffffff008d45bf4: 81028052  mov	w1, #0x14
0xfffffff008d45bf8: 7644d897  bl	#0xfffffff008356dd0
0xfffffff008d45bfc: f60300aa  mov	x22, x0
0xfffffff008d45c00: 0032fff0  adrp	x0, #0xfffffff007388000
0xfffffff008d45c04: 00c43991  add	x0, x0, #0xe71
0xfffffff008d45c08: 0332fff0  adrp	x3, #0xfffffff007388000
0xfffffff008d45c0c: 631c1991  add	x3, x3, #0x647
0xfffffff008d45c10: 0532fff0  adrp	x5, #0xfffffff007388000
0xfffffff008d45c14: a54c3691  add	x5, x5, #0xd93
0xfffffff008d45c18: e10316aa  mov	x1, x22
0xfffffff008d45c1c: 82028052  mov	w2, #0x14
0xfffffff008d45c20: c42a8052  mov	w4, #0x156
0xfffffff008d45c24: 01010014  b	#0xfffffff008d46028
0xfffffff008d45c28: 9f2403d5  bti	j
0xfffffff008d45c2c: 606cffb0  adrp	x0, #0xfffffff007ad2000
0xfffffff008d45c30: 00601691  add	x0, x0, #0x598
0xfffffff008d45c34: 81158052  mov	w1, #0xac
0xfffffff008d45c38: 6644d897  bl	#0xfffffff008356dd0
0xfffffff008d45c3c: f60300aa  mov	x22, x0
0xfffffff008d45c40: 0032fff0  adrp	x0, #0xfffffff007388000
0xfffffff008d45c44: 00703b91  add	x0, x0, #0xedc
0xfffffff008d45c48: 0332fff0  adrp	x3, #0xfffffff007388000
0xfffffff008d45c4c: 631c1991  add	x3, x3, #0x647
0xfffffff008d45c50: 0532fff0  adrp	x5, #0xfffffff007388000
0xfffffff008d45c54: a54c3691  add	x5, x5, #0xd93
0xfffffff008d45c58: e10316aa  mov	x1, x22
0xfffffff008d45c5c: 82158052  mov	w2, #0xac
0xfffffff008d45c60: 642b8052  mov	w4, #0x15b
0xfffffff008d45c64: c0deff97  bl	#0xfffffff008d3d764
0xfffffff008d45c68: 88138052  mov	w8, #0x9c
0xfffffff008d45c6c: 16efffb5  cbnz	x22, #0xfffffff008d45a4c
0xfffffff008d45c70: f1000014  b	#0xfffffff008d46034
0xfffffff008d45c74: 9f2403d5  bti	j
0xfffffff008d45c78: 882e00d1  sub	x8, x20, #0xb
0xfffffff008d45c7c: 1f2d00b1  cmn	x8, #0xb
