; Candidate 14354
; ADRP+ADD at VM 0xfffffff00976a92c (fileoff 0x276692c): page=0xc21000 add_imm=0xea8

0xfffffff00976a8ac: c00100b5  cbnz	x0, #0xfffffff00976a8e4
0xfffffff00976a8b0: 700240f9  ldr	x16, [x19]
0xfffffff00976a8b4: f10313aa  mov	x17, x19
0xfffffff00976a8b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976a8bc: 301ac1da  autda	x16, x17
0xfffffff00976a8c0: 113d80d2  mov	x17, #0x1e8
0xfffffff00976a8c4: 1002118b  add	x16, x16, x17
0xfffffff00976a8c8: 080240f9  ldr	x8, [x16]
0xfffffff00976a8cc: e90310aa  mov	x9, x16
0xfffffff00976a8d0: e00313aa  mov	x0, x19
0xfffffff00976a8d4: 010080d2  mov	x1, #0
0xfffffff00976a8d8: f10309aa  mov	x17, x9
0xfffffff00976a8dc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976a8e0: 11093fd7  blraa	x8, x17
0xfffffff00976a8e4: e00313aa  mov	x0, x19
0xfffffff00976a8e8: 5df8fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976a8ec: e00313aa  mov	x0, x19
0xfffffff00976a8f0: 5bf8fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976a8f4: c00100b5  cbnz	x0, #0xfffffff00976a92c
0xfffffff00976a8f8: 700240f9  ldr	x16, [x19]
0xfffffff00976a8fc: f10313aa  mov	x17, x19
0xfffffff00976a900: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976a904: 301ac1da  autda	x16, x17
0xfffffff00976a908: 114380d2  mov	x17, #0x218
0xfffffff00976a90c: 1002118b  add	x16, x16, x17
0xfffffff00976a910: 080240f9  ldr	x8, [x16]
0xfffffff00976a914: e90310aa  mov	x9, x16
0xfffffff00976a918: e00313aa  mov	x0, x19
0xfffffff00976a91c: 010080d2  mov	x1, #0
0xfffffff00976a920: f10309aa  mov	x17, x9
0xfffffff00976a924: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00976a928: 11093fd7  blraa	x8, x17
0xfffffff00976a92c: 006100b0  adrp	x0, #0xfffffff00a38b000
0xfffffff00976a930: 00a03a91  add	x0, x0, #0xea8
0xfffffff00976a934: 09e8ad97  bl	#0xfffffff0082e4958
0xfffffff00976a938: f60300aa  mov	x22, x0
0xfffffff00976a93c: e00313aa  mov	x0, x19
0xfffffff00976a940: 47f8fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976a944: f50300aa  mov	x21, x0
0xfffffff00976a948: e00100b5  cbnz	x0, #0xfffffff00976a984
0xfffffff00976a94c: 700240f9  ldr	x16, [x19]
0xfffffff00976a950: f10313aa  mov	x17, x19
0xfffffff00976a954: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976a958: 301ac1da  autda	x16, x17
0xfffffff00976a95c: 113d80d2  mov	x17, #0x1e8
0xfffffff00976a960: 1002118b  add	x16, x16, x17
0xfffffff00976a964: 080240f9  ldr	x8, [x16]
0xfffffff00976a968: e90310aa  mov	x9, x16
0xfffffff00976a96c: e00313aa  mov	x0, x19
0xfffffff00976a970: 010080d2  mov	x1, #0
0xfffffff00976a974: f10309aa  mov	x17, x9
0xfffffff00976a978: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00976a97c: 11093fd7  blraa	x8, x17
0xfffffff00976a980: f50300aa  mov	x21, x0
0xfffffff00976a984: e00313aa  mov	x0, x19
0xfffffff00976a988: 35f8fc97  bl	#0xfffffff0096a8a5c
0xfffffff00976a98c: 1af1fef0  adrp	x26, #0xfffffff00758d000
0xfffffff00976a990: 5ac73491  add	x26, x26, #0xd31
0xfffffff00976a994: 08f1fef0  adrp	x8, #0xfffffff00758d000
0xfffffff00976a998: 08c93491  add	x8, x8, #0xd32
0xfffffff00976a99c: 1f0000f1  cmp	x0, #0
0xfffffff00976a9a0: 14019a9a  csel	x20, x8, x26, eq
0xfffffff00976a9a4: b3031af8  stur	x19, [x29, #-0x60]
0xfffffff00976a9a8: e00313aa  mov	x0, x19
