; Candidate 6547
; ADRP+ADD at VM 0xfffffff008832b48 (fileoff 0x182eb48): page=0x1fe9b7000 add_imm=0xe80

0xfffffff008832ac8: 17020034  cbz	w23, #0xfffffff008832b08
0xfffffff008832acc: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008832ad0: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008832ad4: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008832ad8: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff008832adc: 09553791  add	x9, x8, #0xdd5
0xfffffff008832ae0: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff008832ae4: 08813991  add	x8, x8, #0xe60
0xfffffff008832ae8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008832aec: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008832af0: 080b8052  mov	w8, #0x58
0xfffffff008832af4: 604ffff0  adrp	x0, #0xfffffff007221000
0xfffffff008832af8: 00342691  add	x0, x0, #0x98d
0xfffffff008832afc: f62300a9  stp	x22, x8, [sp]
0xfffffff008832b00: 5812d697  bl	#0xfffffff007db7460
0xfffffff008832b04: 19000014  b	#0xfffffff008832b68
0xfffffff008832b08: a9050294  bl	#0xfffffff0088b41ac
0xfffffff008832b0c: f60300aa  mov	x22, x0
0xfffffff008832b10: 00018052  mov	w0, #8
0xfffffff008832b14: 4f230194  bl	#0xfffffff00887b850
0xfffffff008832b18: e80315aa  mov	x8, x21
0xfffffff008832b1c: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008832b20: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff008832b24: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff008832b28: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff008832b2c: 0a553791  add	x10, x8, #0xdd5
0xfffffff008832b30: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff008832b34: 08813991  add	x8, x8, #0xe60
0xfffffff008832b38: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008832b3c: 080b8052  mov	w8, #0x58
0xfffffff008832b40: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008832b44: f60300f9  str	x22, [sp]
0xfffffff008832b48: a04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008832b4c: 00003a91  add	x0, x0, #0xe80
0xfffffff008832b50: a18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff008832b54: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008832b58: c350fff0  adrp	x3, #0xfffffff00724d000
0xfffffff008832b5c: 63942191  add	x3, x3, #0x865
0xfffffff008832b60: 02008052  mov	w2, #0
0xfffffff008832b64: 7301ec97  bl	#0xfffffff008333130
0xfffffff008832b68: e00315aa  mov	x0, x21
0xfffffff008832b6c: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008832b70: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008832b74: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008832b78: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008832b7c: ff430291  add	sp, sp, #0x90
0xfffffff008832b80: ff0f5fd6  retab	
0xfffffff008832b84: 000b8052  mov	w0, #0x58
0xfffffff008832b88: a1008052  mov	w1, #5
0xfffffff008832b8c: 11230194  bl	#0xfffffff00887b7d0
0xfffffff008832b90: a0080034  cbz	w0, #0xfffffff008832ca4
0xfffffff008832b94: 000b8052  mov	w0, #0x58
0xfffffff008832b98: 20230194  bl	#0xfffffff00887b818
0xfffffff008832b9c: f60300aa  mov	x22, x0
0xfffffff008832ba0: 83050294  bl	#0xfffffff0088b41ac
0xfffffff008832ba4: f50300aa  mov	x21, x0
0xfffffff008832ba8: a0008052  mov	w0, #5
0xfffffff008832bac: 29230194  bl	#0xfffffff00887b850
0xfffffff008832bb0: f6040034  cbz	w22, #0xfffffff008832c4c
0xfffffff008832bb4: 68264529  ldp	w8, w9, [x19, #0x28]
0xfffffff008832bb8: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008832bbc: e80314aa  mov	x8, x20
0xfffffff008832bc0: c9398052  mov	w9, #0x1ce
0xfffffff008832bc4: e92302a9  stp	x9, x8, [sp, #0x20]
