; Candidate 2529
; ADRP+ADD at VM 0xfffffff0086ab640 (fileoff 0x16a7640): page=0x1fea7f000 add_imm=0xed4

0xfffffff0086ab5c0: 690100f9  str	x9, [x11]
0xfffffff0086ab5c4: 0a4900f9  str	x10, [x8, #0x90]
0xfffffff0086ab5c8: 1f7c01a9  stp	xzr, xzr, [x0, #0x10]
0xfffffff0086ab5cc: 45000014  b	#0xfffffff0086ab6e0
0xfffffff0086ab5d0: 700240f9  ldr	x16, [x19]
0xfffffff0086ab5d4: f10313aa  mov	x17, x19
0xfffffff0086ab5d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086ab5dc: 301ac1da  autda	x16, x17
0xfffffff0086ab5e0: 113d80d2  mov	x17, #0x1e8
0xfffffff0086ab5e4: 1002118b  add	x16, x16, x17
0xfffffff0086ab5e8: 080240f9  ldr	x8, [x16]
0xfffffff0086ab5ec: e90310aa  mov	x9, x16
0xfffffff0086ab5f0: e00313aa  mov	x0, x19
0xfffffff0086ab5f4: 010080d2  mov	x1, #0
0xfffffff0086ab5f8: f10309aa  mov	x17, x9
0xfffffff0086ab5fc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0086ab600: 11093fd7  blraa	x8, x17
0xfffffff0086ab604: f40300aa  mov	x20, x0
0xfffffff0086ab608: 700240f9  ldr	x16, [x19]
0xfffffff0086ab60c: f10313aa  mov	x17, x19
0xfffffff0086ab610: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086ab614: 301ac1da  autda	x16, x17
0xfffffff0086ab618: 114380d2  mov	x17, #0x218
0xfffffff0086ab61c: 1002118b  add	x16, x16, x17
0xfffffff0086ab620: 080240f9  ldr	x8, [x16]
0xfffffff0086ab624: e90310aa  mov	x9, x16
0xfffffff0086ab628: e00313aa  mov	x0, x19
0xfffffff0086ab62c: 010080d2  mov	x1, #0
0xfffffff0086ab630: f10309aa  mov	x17, x9
0xfffffff0086ab634: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff0086ab638: 11093fd7  blraa	x8, x17
0xfffffff0086ab63c: f40300a9  stp	x20, x0, [sp]
0xfffffff0086ab640: e053fff0  adrp	x0, #0xfffffff00712a000
0xfffffff0086ab644: 00503b91  add	x0, x0, #0xed4
0xfffffff0086ab648: 76aef297  bl	#0xfffffff008357020
0xfffffff0086ab64c: 000080d2  mov	x0, #0
0xfffffff0086ab650: 38000014  b	#0xfffffff0086ab730
0xfffffff0086ab654: 086940f9  ldr	x8, [x8, #0xd0]
0xfffffff0086ab658: 1f0109eb  cmp	x8, x9
0xfffffff0086ab65c: 4c01889a  csel	x12, x10, x8, eq
0xfffffff0086ab660: e8030caa  mov	x8, x12
0xfffffff0086ab664: ed0308aa  mov	x13, x8
0xfffffff0086ab668: ab0d49f8  ldr	x11, [x13, #0x90]!
0xfffffff0086ab66c: bf010beb  cmp	x13, x11
0xfffffff0086ab670: 01020054  b.ne	#0xfffffff0086ab6b0
0xfffffff0086ab674: 086940f9  ldr	x8, [x8, #0xd0]
0xfffffff0086ab678: 1f0109eb  cmp	x8, x9
0xfffffff0086ab67c: 4801889a  csel	x8, x10, x8, eq
0xfffffff0086ab680: 1f010ceb  cmp	x8, x12
0xfffffff0086ab684: 01ffff54  b.ne	#0xfffffff0086ab664
0xfffffff0086ab688: 0b0080d2  mov	x11, #0
0xfffffff0086ab68c: e8030caa  mov	x8, x12
0xfffffff0086ab690: 10000014  b	#0xfffffff0086ab6d0
0xfffffff0086ab694: c1fdffb4  cbz	x1, #0xfffffff0086ab64c
0xfffffff0086ab698: 291440f9  ldr	x9, [x1, #0x28]
0xfffffff0086ab69c: e00301aa  mov	x0, x1
0xfffffff0086ab6a0: 3f0108eb  cmp	x9, x8
0xfffffff0086ab6a4: e0010054  b.eq	#0xfffffff0086ab6e0
0xfffffff0086ab6a8: 000080d2  mov	x0, #0
0xfffffff0086ab6ac: 15000014  b	#0xfffffff0086ab700
0xfffffff0086ab6b0: 690940f9  ldr	x9, [x11, #0x10]
0xfffffff0086ab6b4: 2a610091  add	x10, x9, #0x18
0xfffffff0086ab6b8: 0c610291  add	x12, x8, #0x98
0xfffffff0086ab6bc: bf0109eb  cmp	x13, x9
