; Candidate 16535
; ADRP+ADD at VM 0xfffffff009ed5778 (fileoff 0x2ed1778): page=0x1fd971000 add_imm=0xeba

0xfffffff009ed56f8: 03008052  mov	w3, #0
0xfffffff009ed56fc: 040080d2  mov	x4, #0
0xfffffff009ed5700: f7860094  bl	#0xfffffff009ef72dc
0xfffffff009ed5704: f40300aa  mov	x20, x0
0xfffffff009ed5708: c0220035  cbnz	w0, #0xfffffff009ed5b60
0xfffffff009ed570c: 689640f9  ldr	x8, [x19, #0x128]
0xfffffff009ed5710: 61ba41f9  ldr	x1, [x19, #0x370]
0xfffffff009ed5714: 001140f9  ldr	x0, [x8, #0x20]
0xfffffff009ed5718: e2e30091  add	x2, sp, #0x38
0xfffffff009ed571c: 2840ff97  bl	#0xfffffff009ea57bc
0xfffffff009ed5720: 60150034  cbz	w0, #0xfffffff009ed59cc
0xfffffff009ed5724: f40300aa  mov	x20, x0
0xfffffff009ed5728: 083e8452  mov	w8, #0x21f0
0xfffffff009ed572c: 6802088b  add	x8, x19, x8
0xfffffff009ed5730: c9018652  mov	w9, #0x300e
0xfffffff009ed5734: 8acbfeb0  adrp	x10, #0xfffffff007846000
0xfffffff009ed5738: 4a453a91  add	x10, x10, #0xe91
0xfffffff009ed573c: ea2700a9  stp	x10, x9, [sp]
0xfffffff009ed5740: e85301a9  stp	x8, x20, [sp, #0x10]
0xfffffff009ed5744: 80cbfeb0  adrp	x0, #0xfffffff007846000
0xfffffff009ed5748: 00ec3791  add	x0, x0, #0xdfb
0xfffffff009ed574c: 5ea8fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ed5750: f5000014  b	#0xfffffff009ed5b24
0xfffffff009ed5754: 18008052  mov	w24, #0
0xfffffff009ed5758: 54008052  mov	w20, #2
0xfffffff009ed575c: adfeff17  b	#0xfffffff009ed5210
0xfffffff009ed5760: e8430191  add	x8, sp, #0x50
0xfffffff009ed5764: e86301a9  stp	x8, x24, [sp, #0x10]
0xfffffff009ed5768: 88cbfeb0  adrp	x8, #0xfffffff007846000
0xfffffff009ed576c: 08853a91  add	x8, x8, #0xea1
0xfffffff009ed5770: 29218652  mov	w9, #0x3109
0xfffffff009ed5774: e82700a9  stp	x8, x9, [sp]
0xfffffff009ed5778: 80cbfeb0  adrp	x0, #0xfffffff007846000
0xfffffff009ed577c: 00e83a91  add	x0, x0, #0xeba
0xfffffff009ed5780: 51a8fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ed5784: f40318aa  mov	x20, x24
0xfffffff009ed5788: e00317aa  mov	x0, x23
0xfffffff009ed578c: 07647b97  bl	#0xfffffff007dae7a8
0xfffffff009ed5790: e00315aa  mov	x0, x21
0xfffffff009ed5794: 2b860194  bl	#0xfffffff009f37040
0xfffffff009ed5798: e00313aa  mov	x0, x19
0xfffffff009ed579c: b92c0094  bl	#0xfffffff009ee0a80
0xfffffff009ed57a0: f4e8ff35  cbnz	w20, #0xfffffff009ed54bc
0xfffffff009ed57a4: e2fdff17  b	#0xfffffff009ed4f2c
0xfffffff009ed57a8: e9430191  add	x9, sp, #0x50
0xfffffff009ed57ac: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009ed57b0: 88cbfeb0  adrp	x8, #0xfffffff007846000
0xfffffff009ed57b4: 08ed3b91  add	x8, x8, #0xefb
0xfffffff009ed57b8: 29398652  mov	w9, #0x31c9
0xfffffff009ed57bc: e82700a9  stp	x8, x9, [sp]
0xfffffff009ed57c0: 80cbfeb0  adrp	x0, #0xfffffff007846000
0xfffffff009ed57c4: 00183e91  add	x0, x0, #0xf86
0xfffffff009ed57c8: 1ea8fe97  bl	#0xfffffff009e7f840
0xfffffff009ed57cc: f42740f9  ldr	x20, [sp, #0x48]
0xfffffff009ed57d0: b9030034  cbz	w25, #0xfffffff009ed5844
0xfffffff009ed57d4: e2430291  add	x2, sp, #0x90
0xfffffff009ed57d8: e00318aa  mov	x0, x24
0xfffffff009ed57dc: e10314aa  mov	x1, x20
0xfffffff009ed57e0: e3018052  mov	w3, #0xf
0xfffffff009ed57e4: f4ddfd97  bl	#0xfffffff009e4cfb4
0xfffffff009ed57e8: 083e8452  mov	w8, #0x21f0
0xfffffff009ed57ec: 6802088b  add	x8, x19, x8
0xfffffff009ed57f0: 80010034  cbz	w0, #0xfffffff009ed5820
0xfffffff009ed57f4: e9430191  add	x9, sp, #0x50
