; Candidate 4061
; ADRP+ADD at VM 0xfffffff00878e280 (fileoff 0x178a280): page=0x1fe9a3000 add_imm=0xd90

0xfffffff00878e200: 340940f9  ldr	x20, [x9, #0x10]
0xfffffff00878e204: 0941388b  add	x9, x8, w24, uxtw
0xfffffff00878e208: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff00878e20c: c90100b4  cbz	x9, #0xfffffff00878e244
0xfffffff00878e210: 89df8052  mov	w9, #0x6fc
0xfffffff00878e214: 084effb0  adrp	x8, #0xfffffff00714f000
0xfffffff00878e218: 08b90a91  add	x8, x8, #0x2ae
0xfffffff00878e21c: e82700a9  stp	x8, x9, [sp]
0xfffffff00878e220: 004dfff0  adrp	x0, #0xfffffff007131000
0xfffffff00878e224: 00403691  add	x0, x0, #0xd90
0xfffffff00878e228: 6193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00878e22c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00878e230: c34dff90  adrp	x3, #0xfffffff007146000
0xfffffff00878e234: 63440391  add	x3, x3, #0xd1
0xfffffff00878e238: 02008052  mov	w2, #0
0xfffffff00878e23c: bd93ee97  bl	#0xfffffff008333130
0xfffffff00878e240: a80353f8  ldur	x8, [x29, #-0xd0]
0xfffffff00878e244: 0903080b  add	w9, w24, w8
0xfffffff00878e248: 8a0209ab  adds	x10, x20, x9
0xfffffff00878e24c: 22030054  b.hs	#0xfffffff00878e2b0
0xfffffff00878e250: eb03182a  mov	w11, w24
0xfffffff00878e254: 4a8d60d3  ubfx	x10, x10, #0x20, #4
0xfffffff00878e258: 2a2f0079  strh	w10, [x25, #0x16]
0xfffffff00878e25c: aa8353f8  ldur	x10, [x29, #-0xc8]
0xfffffff00878e260: 540940f9  ldr	x20, [x10, #0x10]
0xfffffff00878e264: 08010b8b  add	x8, x8, x11
0xfffffff00878e268: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff00878e26c: e80100b4  cbz	x8, #0xfffffff00878e2a8
0xfffffff00878e270: a9df8052  mov	w9, #0x6fd
0xfffffff00878e274: 084effb0  adrp	x8, #0xfffffff00714f000
0xfffffff00878e278: 08b90a91  add	x8, x8, #0x2ae
0xfffffff00878e27c: e82700a9  stp	x8, x9, [sp]
0xfffffff00878e280: 004dfff0  adrp	x0, #0xfffffff007131000
0xfffffff00878e284: 00403691  add	x0, x0, #0xd90
0xfffffff00878e288: 6193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00878e28c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00878e290: c34dff90  adrp	x3, #0xfffffff007146000
0xfffffff00878e294: 63140491  add	x3, x3, #0x105
0xfffffff00878e298: 02008052  mov	w2, #0
0xfffffff00878e29c: a593ee97  bl	#0xfffffff008333130
0xfffffff00878e2a0: a80353b8  ldur	w8, [x29, #-0xd0]
0xfffffff00878e2a4: 0903080b  add	w9, w24, w8
0xfffffff00878e2a8: 880209ab  adds	x8, x20, x9
0xfffffff00878e2ac: 63020054  b.lo	#0xfffffff00878e2f8
0xfffffff00878e2b0: 00008012  mov	w0, #-1
0xfffffff00878e2b4: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00878e2b8: 6993fff0  adrp	x9, #0xfffffff0079fd000
0xfffffff00878e2bc: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff00878e2c0: 290140f9  ldr	x9, [x9]
0xfffffff00878e2c4: 3f0108eb  cmp	x9, x8
0xfffffff00878e2c8: 41100054  b.ne	#0xfffffff00878e4d0
0xfffffff00878e2cc: fd7b5ea9  ldp	x29, x30, [sp, #0x1e0]
0xfffffff00878e2d0: f44f5da9  ldp	x20, x19, [sp, #0x1d0]
0xfffffff00878e2d4: f6575ca9  ldp	x22, x21, [sp, #0x1c0]
0xfffffff00878e2d8: f85f5ba9  ldp	x24, x23, [sp, #0x1b0]
0xfffffff00878e2dc: fa675aa9  ldp	x26, x25, [sp, #0x1a0]
0xfffffff00878e2e0: fc6f59a9  ldp	x28, x27, [sp, #0x190]
0xfffffff00878e2e4: ffc30791  add	sp, sp, #0x1f0
0xfffffff00878e2e8: ff0f5fd6  retab	
0xfffffff00878e2ec: 004effb0  adrp	x0, #0xfffffff00714f000
0xfffffff00878e2f0: 00dc1591  add	x0, x0, #0x577
0xfffffff00878e2f4: 68030094  bl	#0xfffffff00878f094
0xfffffff00878e2f8: e9eb40b9  ldr	w9, [sp, #0xe8]
0xfffffff00878e2fc: 2901184b  sub	w9, w9, w24
