; Candidate 11320
; ADRP+ADD at VM 0xfffffff008eeb444 (fileoff 0x1ee7444): page=0x1fe51d000 add_imm=0xd5f

0xfffffff008eeb3c4: 00e43791  add	x0, x0, #0xdf9
0xfffffff008eeb3c8: 3cffff17  b	#0xfffffff008eeb0b8
0xfffffff008eeb3cc: b5090034  cbz	w21, #0xfffffff008eeb500
0xfffffff008eeb3d0: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff008eeb3d4: 080c00b4  cbz	x8, #0xfffffff008eeb554
0xfffffff008eeb3d8: e00315aa  mov	x0, x21
0xfffffff008eeb3dc: 01008052  mov	w1, #0
0xfffffff008eeb3e0: 42edba97  bl	#0xfffffff007da68e8
0xfffffff008eeb3e4: f80300aa  mov	x24, x0
0xfffffff008eeb3e8: e02f40f9  ldr	x0, [sp, #0x58]
0xfffffff008eeb3ec: e10318aa  mov	x1, x24
0xfffffff008eeb3f0: e20315aa  mov	x2, x21
0xfffffff008eeb3f4: e158bf97  bl	#0xfffffff007ec1778
0xfffffff008eeb3f8: 60080034  cbz	w0, #0xfffffff008eeb504
0xfffffff008eeb3fc: f30300aa  mov	x19, x0
0xfffffff008eeb400: e828ffb0  adrp	x8, #0xfffffff007408000
0xfffffff008eeb404: 08613691  add	x8, x8, #0xd98
0xfffffff008eeb408: e84f00a9  stp	x8, x19, [sp]
0xfffffff008eeb40c: e028ffb0  adrp	x0, #0xfffffff007408000
0xfffffff008eeb410: 00fc3991  add	x0, x0, #0xe7f
0xfffffff008eeb414: 03afd197  bl	#0xfffffff008357020
0xfffffff008eeb418: 190080d2  mov	x25, #0
0xfffffff008eeb41c: 69ffff17  b	#0xfffffff008eeb1c0
0xfffffff008eeb420: e828ffb0  adrp	x8, #0xfffffff007408000
0xfffffff008eeb424: 08413191  add	x8, x8, #0xc50
0xfffffff008eeb428: e80300f9  str	x8, [sp]
0xfffffff008eeb42c: e028ffb0  adrp	x0, #0xfffffff007408000
0xfffffff008eeb430: 00383291  add	x0, x0, #0xc8e
0xfffffff008eeb434: 3dffff17  b	#0xfffffff008eeb128
0xfffffff008eeb438: e828ffb0  adrp	x8, #0xfffffff007408000
0xfffffff008eeb43c: 08993491  add	x8, x8, #0xd26
0xfffffff008eeb440: e80300f9  str	x8, [sp]
0xfffffff008eeb444: e028ffb0  adrp	x0, #0xfffffff007408000
0xfffffff008eeb448: 007c3591  add	x0, x0, #0xd5f
0xfffffff008eeb44c: 37ffff17  b	#0xfffffff008eeb128
0xfffffff008eeb450: e00742ad  ldp	q0, q1, [sp, #0x40]
0xfffffff008eeb454: e00701ad  stp	q0, q1, [sp, #0x20]
0xfffffff008eeb458: e0830091  add	x0, sp, #0x20
0xfffffff008eeb45c: e10317aa  mov	x1, x23
0xfffffff008eeb460: e20316aa  mov	x2, x22
0xfffffff008eeb464: e30314aa  mov	x3, x20
0xfffffff008eeb468: 2fe6ff97  bl	#0xfffffff008ee4d24
0xfffffff008eeb46c: f30300aa  mov	x19, x0
0xfffffff008eeb470: e00317aa  mov	x0, x23
0xfffffff008eeb474: e10316aa  mov	x1, x22
0xfffffff008eeb478: b7eeba97  bl	#0xfffffff007da6f54
0xfffffff008eeb47c: 880240b9  ldr	w8, [x20]
0xfffffff008eeb480: 08010034  cbz	w8, #0xfffffff008eeb4a0
0xfffffff008eeb484: 88120091  add	x8, x20, #4
0xfffffff008eeb488: e928ffb0  adrp	x9, #0xfffffff007408000
0xfffffff008eeb48c: 294d3c91  add	x9, x9, #0xf13
0xfffffff008eeb490: e92300a9  stp	x9, x8, [sp]
0xfffffff008eeb494: e028ffb0  adrp	x0, #0xfffffff007408000
0xfffffff008eeb498: 00243f91  add	x0, x0, #0xfc9
0xfffffff008eeb49c: e1aed197  bl	#0xfffffff008357020
0xfffffff008eeb4a0: b50000b4  cbz	x21, #0xfffffff008eeb4b4
0xfffffff008eeb4a4: e00314aa  mov	x0, x20
0xfffffff008eeb4a8: e10315aa  mov	x1, x21
0xfffffff008eeb4ac: 82808052  mov	w2, #0x404
0xfffffff008eeb4b0: 035abf97  bl	#0xfffffff007ec1cbc
0xfffffff008eeb4b4: 4061ffd0  adrp	x0, #0xfffffff007b15000
0xfffffff008eeb4b8: 00000791  add	x0, x0, #0x1c0
0xfffffff008eeb4bc: e10314aa  mov	x1, x20
0xfffffff008eeb4c0: 99eeba97  bl	#0xfffffff007da6f24
