; Candidate 10872
; ADRP+ADD at VM 0xfffffff008deaec0 (fileoff 0x1de6ec0): page=0x1fe5da000 add_imm=0xe15

0xfffffff008deae40: 4acd2e91  add	x10, x10, #0xbb3
0xfffffff008deae44: 2b000014  b	#0xfffffff008deaef0
0xfffffff008deae48: a8c38052  mov	w8, #0x61d
0xfffffff008deae4c: c92eff90  adrp	x9, #0xfffffff0073c2000
0xfffffff008deae50: 29e92e91  add	x9, x9, #0xbba
0xfffffff008deae54: e81300f9  str	x8, [sp, #0x20]
0xfffffff008deae58: c82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008deae5c: 08493991  add	x8, x8, #0xe52
0xfffffff008deae60: ca2effd0  adrp	x10, #0xfffffff0073c4000
0xfffffff008deae64: 4a1d3991  add	x10, x10, #0xe47
0xfffffff008deae68: 22000014  b	#0xfffffff008deaef0
0xfffffff008deae6c: c8c38052  mov	w8, #0x61e
0xfffffff008deae70: c92eff90  adrp	x9, #0xfffffff0073c2000
0xfffffff008deae74: 29e92e91  add	x9, x9, #0xbba
0xfffffff008deae78: e81300f9  str	x8, [sp, #0x20]
0xfffffff008deae7c: c82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008deae80: 08493991  add	x8, x8, #0xe52
0xfffffff008deae84: ca2effb0  adrp	x10, #0xfffffff0073c3000
0xfffffff008deae88: 4a7d1491  add	x10, x10, #0x51f
0xfffffff008deae8c: 19000014  b	#0xfffffff008deaef0
0xfffffff008deae90: f30300aa  mov	x19, x0
0xfffffff008deae94: 687e4093  sxtw	x8, w19
0xfffffff008deae98: 89c48052  mov	w9, #0x624
0xfffffff008deae9c: ca2eff90  adrp	x10, #0xfffffff0073c2000
0xfffffff008deaea0: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008deaea4: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008deaea8: c92effd0  adrp	x9, #0xfffffff0073c4000
0xfffffff008deaeac: 29493991  add	x9, x9, #0xe52
0xfffffff008deaeb0: cb2effd0  adrp	x11, #0xfffffff0073c4000
0xfffffff008deaeb4: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008deaeb8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008deaebc: eb0300f9  str	x11, [sp]
0xfffffff008deaec0: c02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008deaec4: 00543891  add	x0, x0, #0xe15
0xfffffff008deaec8: 56b0d597  bl	#0xfffffff008357020
0xfffffff008deaecc: 0f000014  b	#0xfffffff008deaf08
0xfffffff008deaed0: e8c48052  mov	w8, #0x627
0xfffffff008deaed4: c92eff90  adrp	x9, #0xfffffff0073c2000
0xfffffff008deaed8: 29e92e91  add	x9, x9, #0xbba
0xfffffff008deaedc: e81300f9  str	x8, [sp, #0x20]
0xfffffff008deaee0: c82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008deaee4: 08493991  add	x8, x8, #0xe52
0xfffffff008deaee8: ca2effb0  adrp	x10, #0xfffffff0073c3000
0xfffffff008deaeec: 4a951491  add	x10, x10, #0x525
0xfffffff008deaef0: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008deaef4: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008deaef8: c02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008deaefc: 00543891  add	x0, x0, #0xe15
0xfffffff008deaf00: 48b0d597  bl	#0xfffffff008357020
0xfffffff008deaf04: 53008012  mov	w19, #-3
0xfffffff008deaf08: e01b40f9  ldr	x0, [sp, #0x30]
0xfffffff008deaf0c: e0f4ffb4  cbz	x0, #0xfffffff008deada8
0xfffffff008deaf10: 2e0d0094  bl	#0xfffffff008dee3c8
0xfffffff008deaf14: a5ffff17  b	#0xfffffff008deada8
0xfffffff008deaf18: 7f2303d5  pacibsp	
0xfffffff008deaf1c: ff0301d1  sub	sp, sp, #0x40
0xfffffff008deaf20: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008deaf24: fdc30091  add	x29, sp, #0x30
0xfffffff008deaf28: 600100b4  cbz	x0, #0xfffffff008deaf54
0xfffffff008deaf2c: 420100b4  cbz	x2, #0xfffffff008deaf54
0xfffffff008deaf30: 3fcc00f1  cmp	x1, #0x33
0xfffffff008deaf34: 29020054  b.ls	#0xfffffff008deaf78
0xfffffff008deaf38: e80300aa  mov	x8, x0
0xfffffff008deaf3c: 00008052  mov	w0, #0
