; Candidate 6745
; ADRP+ADD at VM 0xfffffff00883e51c (fileoff 0x183a51c): page=0x1fe9ab000 add_imm=0xe80

0xfffffff00883e49c: 100040f9  ldr	x16, [x0]
0xfffffff00883e4a0: f10300aa  mov	x17, x0
0xfffffff00883e4a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00883e4a8: 301ac1da  autda	x16, x17
0xfffffff00883e4ac: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00883e4b0: e90310aa  mov	x9, x16
0xfffffff00883e4b4: f10309aa  mov	x17, x9
0xfffffff00883e4b8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00883e4bc: 11093fd7  blraa	x8, x17
0xfffffff00883e4c0: df0200f9  str	xzr, [x22]
0xfffffff00883e4c4: 68be40b9  ldr	w8, [x19, #0xbc]
0xfffffff00883e4c8: 08050051  sub	w8, w8, #1
0xfffffff00883e4cc: 68be00b9  str	w8, [x19, #0xbc]
0xfffffff00883e4d0: 1c000014  b	#0xfffffff00883e540
0xfffffff00883e4d4: 36d70194  bl	#0xfffffff0088b41ac
0xfffffff00883e4d8: f50300aa  mov	x21, x0
0xfffffff00883e4dc: 80008052  mov	w0, #4
0xfffffff00883e4e0: dcf40094  bl	#0xfffffff00887b850
0xfffffff00883e4e4: e80314aa  mov	x8, x20
0xfffffff00883e4e8: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff00883e4ec: 284fffd0  adrp	x8, #0xfffffff007224000
0xfffffff00883e4f0: 0a8d0491  add	x10, x8, #0x123
0xfffffff00883e4f4: a8378052  mov	w8, #0x1bd
0xfffffff00883e4f8: 294fffd0  adrp	x9, #0xfffffff007224000
0xfffffff00883e4fc: 296d0491  add	x9, x9, #0x11b
0xfffffff00883e500: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00883e504: 284fffb0  adrp	x8, #0xfffffff007223000
0xfffffff00883e508: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883e50c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00883e510: 680a8052  mov	w8, #0x53
0xfffffff00883e514: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00883e518: f50300f9  str	x21, [sp]
0xfffffff00883e51c: 404dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883e520: 00003a91  add	x0, x0, #0xe80
0xfffffff00883e524: 418effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00883e528: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883e52c: 8350ffb0  adrp	x3, #0xfffffff00724f000
0xfffffff00883e530: 63041991  add	x3, x3, #0x641
0xfffffff00883e534: 02008052  mov	w2, #0
0xfffffff00883e538: fed2eb97  bl	#0xfffffff008333130
0xfffffff00883e53c: 157d8012  mov	w21, #-0x3e9
0xfffffff00883e540: 600a8052  mov	w0, #0x53
0xfffffff00883e544: c1008052  mov	w1, #6
0xfffffff00883e548: a2f40094  bl	#0xfffffff00887b7d0
0xfffffff00883e54c: 80050034  cbz	w0, #0xfffffff00883e5fc
0xfffffff00883e550: 600a8052  mov	w0, #0x53
0xfffffff00883e554: b1f40094  bl	#0xfffffff00887b818
0xfffffff00883e558: f70300aa  mov	x23, x0
0xfffffff00883e55c: 14d70194  bl	#0xfffffff0088b41ac
0xfffffff00883e560: f60300aa  mov	x22, x0
0xfffffff00883e564: c0008052  mov	w0, #6
0xfffffff00883e568: baf40094  bl	#0xfffffff00887b850
0xfffffff00883e56c: d7010034  cbz	w23, #0xfffffff00883e5a4
0xfffffff00883e570: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff00883e574: 284fffd0  adrp	x8, #0xfffffff007224000
0xfffffff00883e578: 086d0491  add	x8, x8, #0x11b
0xfffffff00883e57c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00883e580: 284fffb0  adrp	x8, #0xfffffff007223000
0xfffffff00883e584: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883e588: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883e58c: 680a8052  mov	w8, #0x53
0xfffffff00883e590: 804efff0  adrp	x0, #0xfffffff007211000
0xfffffff00883e594: 00801c91  add	x0, x0, #0x720
0xfffffff00883e598: f62300a9  stp	x22, x8, [sp]
