; Candidate 3327
; ADRP+ADD at VM 0xfffffff008731dd4 (fileoff 0x172ddd4): page=0x1fea00000 add_imm=0xd90

0xfffffff008731d54: 892b099b  madd	x9, x28, x9, x10
0xfffffff008731d58: 0a2c8b52  mov	w10, #0x5960
0xfffffff008731d5c: 2a696ab8  ldr	w10, [x9, x10]
0xfffffff008731d60: 0a750379  strh	w10, [x8, #0x1ba]
0xfffffff008731d64: 1fc50379  strh	wzr, [x8, #0x1e2]
0xfffffff008731d68: 0a2d8b52  mov	w10, #0x5968
0xfffffff008731d6c: 29696ab8  ldr	w9, [x9, x10]
0xfffffff008731d70: 09c90379  strh	w9, [x8, #0x1e4]
0xfffffff008731d74: e3ffff17  b	#0xfffffff008731d00
0xfffffff008731d78: 481b4179  ldrh	w8, [x26, #0x8c]
0xfffffff008731d7c: 49134179  ldrh	w9, [x26, #0x88]
0xfffffff008731d80: 0801094b  sub	w8, w8, w9
0xfffffff008731d84: 01050011  add	w1, w8, #1
0xfffffff008731d88: 08518b52  mov	w8, #0x5a88
0xfffffff008731d8c: e91740f9  ldr	x9, [sp, #0x28]
0xfffffff008731d90: 8827089b  madd	x8, x28, x8, x9
0xfffffff008731d94: 02354eb9  ldr	w2, [x8, #0xe34]
0xfffffff008731d98: 03394eb9  ldr	w3, [x8, #0xe38]
0xfffffff008731d9c: 89288b52  mov	w9, #0x5944
0xfffffff008731da0: 046969b8  ldr	w4, [x8, x9]
0xfffffff008731da4: e00313aa  mov	x0, x19
0xfffffff008731da8: 15000094  bl	#0xfffffff008731dfc
0xfffffff008731dac: 80faff35  cbnz	w0, #0xfffffff008731cfc
0xfffffff008731db0: 688a61b9  ldr	w8, [x19, #0x2188]
0xfffffff008731db4: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff008731db8: 2aad41b9  ldr	w10, [x9, #0x1ac]
0xfffffff008731dbc: 087d0653  lsr	w8, w8, #6
0xfffffff008731dc0: 0a2d1e33  bfi	w10, w8, #2, #0xc
0xfffffff008731dc4: 2aad01b9  str	w10, [x9, #0x1ac]
0xfffffff008731dc8: 88318452  mov	w8, #0x218c
0xfffffff008731dcc: 6802088b  add	x8, x19, x8
0xfffffff008731dd0: 95ffff17  b	#0xfffffff008731c24
0xfffffff008731dd4: 0050ff90  adrp	x0, #0xfffffff007131000
0xfffffff008731dd8: 00403691  add	x0, x0, #0xd90
0xfffffff008731ddc: 6196ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008731de0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008731de4: 4350ffb0  adrp	x3, #0xfffffff00713a000
0xfffffff008731de8: 63383991  add	x3, x3, #0xe4e
0xfffffff008731dec: 02008052  mov	w2, #0
0xfffffff008731df0: d004f097  bl	#0xfffffff008333130
0xfffffff008731df4: c2ffff17  b	#0xfffffff008731cfc
0xfffffff008731df8: 15b0d897  bl	#0xfffffff007d5de4c
0xfffffff008731dfc: 7f2303d5  pacibsp	
0xfffffff008731e00: ff8300d1  sub	sp, sp, #0x20
0xfffffff008731e04: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008731e08: fd430091  add	x29, sp, #0x10
0xfffffff008731e0c: 090c40f9  ldr	x9, [x0, #0x18]
0xfffffff008731e10: 293d4cb9  ldr	w9, [x9, #0xc3c]
0xfffffff008731e14: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008731e18: 00c410fd  str	d0, [x0, #0x2188]
0xfffffff008731e1c: 89030034  cbz	w9, #0xfffffff008731e8c
0xfffffff008731e20: 5f00036b  cmp	w2, w3
0xfffffff008731e24: 4a80831a  csel	w10, w2, w3, hi
0xfffffff008731e28: 4a050011  add	w10, w10, #1
0xfffffff008731e2c: 4a791f12  and	w10, w10, #0xfffffffe
0xfffffff008731e30: 4b1d0011  add	w11, w10, #7
0xfffffff008731e34: 6b711d12  and	w11, w11, #0xfffffff8
0xfffffff008731e38: 3f050071  cmp	w9, #1
0xfffffff008731e3c: 49018b1a  csel	w9, w10, w11, eq
0xfffffff008731e40: 3f210071  cmp	w9, #8
0xfffffff008731e44: 88020054  b.hi	#0xfffffff008731e94
0xfffffff008731e48: e80300aa  mov	x8, x0
0xfffffff008731e4c: f00309aa  mov	x16, x9
0xfffffff008731e50: 1f2200f1  cmp	x16, #8
