; Candidate 4047
; ADRP+ADD at VM 0xfffffff00878c324 (fileoff 0x1788324): page=0x1fe9a5000 add_imm=0xd90

0xfffffff00878c2a4: 06000014  b	#0xfffffff00878c2bc
0xfffffff00878c2a8: 1f010071  cmp	w8, #0
0xfffffff00878c2ac: 68018052  mov	w8, #0xb
0xfffffff00878c2b0: 0905881a  cinc	w9, w8, ne
0xfffffff00878c2b4: 88008052  mov	w8, #4
0xfffffff00878c2b8: 0805881a  cinc	w8, w8, ne
0xfffffff00878c2bc: 0a518b52  mov	w10, #0x5a88
0xfffffff00878c2c0: eb3740f9  ldr	x11, [sp, #0x68]
0xfffffff00878c2c4: 2a2f0a9b  madd	x10, x25, x10, x11
0xfffffff00878c2c8: 4a114eb9  ldr	w10, [x10, #0xe10]
0xfffffff00878c2cc: 5f010071  cmp	w10, #0
0xfffffff00878c2d0: a41a407a  ccmp	w21, #0, #4, ne
0xfffffff00878c2d4: 210e0054  b.ne	#0xfffffff00878c498
0xfffffff00878c2d8: 9b030034  cbz	w27, #0xfffffff00878c348
0xfffffff00878c2dc: 7f0f0071  cmp	w27, #3
0xfffffff00878c2e0: 81000054  b.ne	#0xfffffff00878c2f0
0xfffffff00878c2e4: 09250051  sub	w9, w8, #9
0xfffffff00878c2e8: 3f090071  cmp	w9, #2
0xfffffff00878c2ec: 43010054  b.lo	#0xfffffff00878c314
0xfffffff00878c2f0: 1f690071  cmp	w8, #0x1a
0xfffffff00878c2f4: a8020054  b.hi	#0xfffffff00878c348
0xfffffff00878c2f8: 29008052  mov	w9, #1
0xfffffff00878c2fc: 2921c81a  lsl	w9, w9, w8
0xfffffff00878c300: 0a98a052  mov	w10, #0x4c00000
0xfffffff00878c304: 3f010a6a  tst	w9, w10
0xfffffff00878c308: 00020054  b.eq	#0xfffffff00878c348
0xfffffff00878c30c: 7f0b0071  cmp	w27, #2
0xfffffff00878c310: c8010054  b.hi	#0xfffffff00878c348
0xfffffff00878c314: e8ef00a9  stp	x8, x27, [sp, #8]
0xfffffff00878c318: 094efff0  adrp	x9, #0xfffffff00714f000
0xfffffff00878c31c: 29bd1991  add	x9, x9, #0x66f
0xfffffff00878c320: e90300f9  str	x9, [sp]
0xfffffff00878c324: 204dffb0  adrp	x0, #0xfffffff007131000
0xfffffff00878c328: 00403691  add	x0, x0, #0xd90
0xfffffff00878c32c: 8193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00878c330: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00878c334: c34dffb0  adrp	x3, #0xfffffff007145000
0xfffffff00878c338: 63a03691  add	x3, x3, #0xda8
0xfffffff00878c33c: 02008052  mov	w2, #0
0xfffffff00878c340: 7c9bee97  bl	#0xfffffff008333130
0xfffffff00878c344: 62020014  b	#0xfffffff00878cccc
0xfffffff00878c348: f00f00f9  str	x16, [sp, #0x18]
0xfffffff00878c34c: f4031aaa  mov	x20, x26
0xfffffff00878c350: fa030faa  mov	x26, x15
0xfffffff00878c354: 08b6a552  mov	w8, #0x2db00000
0xfffffff00878c358: 085b00b9  str	w8, [x24, #0x58]
0xfffffff00878c35c: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff00878c360: 100040f9  ldr	x16, [x0]
0xfffffff00878c364: f10300aa  mov	x17, x0
0xfffffff00878c368: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff00878c36c: 301ac1da  autda	x16, x17
0xfffffff00878c370: 080e4cf8  ldr	x8, [x16, #0xc0]!
0xfffffff00878c374: e90310aa  mov	x9, x16
0xfffffff00878c378: f10309aa  mov	x17, x9
0xfffffff00878c37c: f177e0f2  movk	x17, #0x3bf, lsl #48
0xfffffff00878c380: 11093fd7  blraa	x8, x17
0xfffffff00878c384: e0000034  cbz	w0, #0xfffffff00878c3a0
0xfffffff00878c388: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff00878c38c: 08894cb9  ldr	w8, [x8, #0xc88]
0xfffffff00878c390: 1f090071  cmp	w8, #2
0xfffffff00878c394: e8179f1a  cset	w8, eq
0xfffffff00878c398: 08491353  lsl	w8, w8, #0xd
0xfffffff00878c39c: 02000014  b	#0xfffffff00878c3a4
0xfffffff00878c3a0: 08008052  mov	w8, #0
