; Candidate 1798
; ADRP+ADD at VM 0xfffffff008513bc0 (fileoff 0x150fbc0): page=0x1ff48f000 add_imm=0xd70

0xfffffff008513b40: 008c2e91  add	x0, x0, #0xba3
0xfffffff008513b44: 2ce2ff97  bl	#0xfffffff00850c3f4
0xfffffff008513b48: 605effd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008513b4c: 00583291  add	x0, x0, #0xc96
0xfffffff008513b50: 29e2ff97  bl	#0xfffffff00850c3f4
0xfffffff008513b54: 7f2303d5  pacibsp	
0xfffffff008513b58: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff008513b5c: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008513b60: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008513b64: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008513b68: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008513b6c: fd030191  add	x29, sp, #0x40
0xfffffff008513b70: f50301aa  mov	x21, x1
0xfffffff008513b74: f40300aa  mov	x20, x0
0xfffffff008513b78: 086840b9  ldr	w8, [x0, #0x68]
0xfffffff008513b7c: e9038052  mov	w9, #0x1f
0xfffffff008513b80: 0825011b  madd	w8, w8, w1, w9
0xfffffff008513b84: 19691b12  and	w25, w8, #0xffffffe0
0xfffffff008513b88: 087d0353  lsr	w8, w8, #3
0xfffffff008513b8c: 13691e12  and	w19, w8, #0x1ffffffc
0xfffffff008513b90: 01010034  cbz	w1, #0xfffffff008513bb0
0xfffffff008513b94: 3f072071  cmp	w25, #0x801
0xfffffff008513b98: 23010054  b.lo	#0xfffffff008513bbc
0xfffffff008513b9c: 88a240b9  ldr	w8, [x20, #0xa0]
0xfffffff008513ba0: 1f012071  cmp	w8, #0x800
0xfffffff008513ba4: c1000054  b.ne	#0xfffffff008513bbc
0xfffffff008513ba8: 00008052  mov	w0, #0
0xfffffff008513bac: 4e000014  b	#0xfffffff008513ce4
0xfffffff008513bb0: 170080d2  mov	x23, #0
0xfffffff008513bb4: 160080d2  mov	x22, #0
0xfffffff008513bb8: 29000014  b	#0xfffffff008513c5c
0xfffffff008513bbc: b87e7dd3  ubfiz	x24, x21, #3, #0x20
0xfffffff008513bc0: 60a4fff0  adrp	x0, #0xfffffff0079a2000
0xfffffff008513bc4: 00c03591  add	x0, x0, #0xd70
0xfffffff008513bc8: e10318aa  mov	x1, x24
0xfffffff008513bcc: 810cf997  bl	#0xfffffff008356dd0
0xfffffff008513bd0: f70300aa  mov	x23, x0
0xfffffff008513bd4: e00313aa  mov	x0, x19
0xfffffff008513bd8: 570cf997  bl	#0xfffffff008356d34
0xfffffff008513bdc: f60300aa  mov	x22, x0
0xfffffff008513be0: 170a00b4  cbz	x23, #0xfffffff008513d20
0xfffffff008513be4: f60900b4  cbz	x22, #0xfffffff008513d20
0xfffffff008513be8: 892640f9  ldr	x9, [x20, #0x48]
0xfffffff008513bec: 885680b9  ldrsw	x8, [x20, #0x54]
0xfffffff008513bf0: 0afd7f93  asr	x10, x8, #0x3f
0xfffffff008513bf4: 210108ab  adds	x1, x9, x8
0xfffffff008513bf8: 4a358a9a  cinc	x10, x10, hs
0xfffffff008513bfc: 49014093  sbfx	x9, x10, #0, #1
0xfffffff008513c00: 2a010aca  eor	x10, x9, x10
0xfffffff008513c04: 2a0800b5  cbnz	x10, #0xfffffff008513d08
0xfffffff008513c08: 0908f8b7  tbnz	x9, #0x3f, #0xfffffff008513d08
0xfffffff008513c0c: 810100b4  cbz	x1, #0xfffffff008513c3c
0xfffffff008513c10: 895a40b9  ldr	w9, [x20, #0x58]
0xfffffff008513c14: 3f01156b  cmp	w9, w21
0xfffffff008513c18: 2931951a  csel	w9, w9, w21, lo
0xfffffff008513c1c: 0807f837  tbnz	w8, #0x1f, #0xfffffff008513cfc
0xfffffff008513c20: 08210011  add	w8, w8, #8
0xfffffff008513c24: 8a5240b9  ldr	w10, [x20, #0x50]
0xfffffff008513c28: 1f010a6b  cmp	w8, w10
0xfffffff008513c2c: 88060054  b.hi	#0xfffffff008513cfc
0xfffffff008513c30: 22711d53  lsl	w2, w9, #3
0xfffffff008513c34: e00317aa  mov	x0, x23
0xfffffff008513c38: 56e3e097  bl	#0xfffffff007d4c990
0xfffffff008513c3c: 814e40f9  ldr	x1, [x20, #0x98]
