; Candidate 3365
; ADRP+ADD at VM 0xfffffff008737f20 (fileoff 0x1733f20): page=0x1fe9fa000 add_imm=0xd90

0xfffffff008737ea0: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008737ea8
0xfffffff008737ea4: 208e38d4  brk	#0xc471
0xfffffff008737ea8: f10301aa  mov	x17, x1
0xfffffff008737eac: 51a7ecf2  movk	x17, #0x653a, lsl #48
0xfffffff008737eb0: 110a1fd7  braa	x16, x17
0xfffffff008737eb4: 611241b9  ldr	w1, [x19, #0x110]
0xfffffff008737eb8: 700240f9  ldr	x16, [x19]
0xfffffff008737ebc: f10313aa  mov	x17, x19
0xfffffff008737ec0: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff008737ec4: 301ac1da  autda	x16, x17
0xfffffff008737ec8: 080e4cf8  ldr	x8, [x16, #0xc0]!
0xfffffff008737ecc: e90310aa  mov	x9, x16
0xfffffff008737ed0: e00313aa  mov	x0, x19
0xfffffff008737ed4: f10309aa  mov	x17, x9
0xfffffff008737ed8: d1cde3f2  movk	x17, #0x1e6e, lsl #48
0xfffffff008737edc: 11093fd7  blraa	x8, x17
0xfffffff008737ee0: 611241b9  ldr	w1, [x19, #0x110]
0xfffffff008737ee4: 700240f9  ldr	x16, [x19]
0xfffffff008737ee8: f10313aa  mov	x17, x19
0xfffffff008737eec: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff008737ef0: 301ac1da  autda	x16, x17
0xfffffff008737ef4: 080e4cf8  ldr	x8, [x16, #0xc0]!
0xfffffff008737ef8: e90310aa  mov	x9, x16
0xfffffff008737efc: e00313aa  mov	x0, x19
0xfffffff008737f00: f10309aa  mov	x17, x9
0xfffffff008737f04: d1cde3f2  movk	x17, #0x1e6e, lsl #48
0xfffffff008737f08: 11093fd7  blraa	x8, x17
0xfffffff008737f0c: 080040b9  ldr	w8, [x0]
0xfffffff008737f10: 08350a53  ubfx	w8, w8, #0xa, #4
0xfffffff008737f14: e950fff0  adrp	x9, #0xfffffff007156000
0xfffffff008737f18: 29813891  add	x9, x9, #0xe20
0xfffffff008737f1c: e92300a9  stp	x9, x8, [sp]
0xfffffff008737f20: c04fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008737f24: 00403691  add	x0, x0, #0xd90
0xfffffff008737f28: 2196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008737f2c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008737f30: 2350ff90  adrp	x3, #0xfffffff00713b000
0xfffffff008737f34: 63f81391  add	x3, x3, #0x4fe
0xfffffff008737f38: 02008052  mov	w2, #0
0xfffffff008737f3c: 7decef97  bl	#0xfffffff008333130
0xfffffff008737f40: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008737f44: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008737f48: ffc30091  add	sp, sp, #0x30
0xfffffff008737f4c: ff0f5fd6  retab	
0xfffffff008737f50: 9f2403d5  bti	j
0xfffffff008737f54: 700240f9  ldr	x16, [x19]
0xfffffff008737f58: f10313aa  mov	x17, x19
0xfffffff008737f5c: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff008737f60: 301ac1da  autda	x16, x17
0xfffffff008737f64: 088e45f8  ldr	x8, [x16, #0x58]!
0xfffffff008737f68: e10310aa  mov	x1, x16
0xfffffff008737f6c: f00308aa  mov	x16, x8
0xfffffff008737f70: e00313aa  mov	x0, x19
0xfffffff008737f74: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008737f78: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008737f7c: ffc30091  add	sp, sp, #0x30
0xfffffff008737f80: ff2303d5  autibsp	
0xfffffff008737f84: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008737f88: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008737f90
0xfffffff008737f8c: 208e38d4  brk	#0xc471
0xfffffff008737f90: f10301aa  mov	x17, x1
0xfffffff008737f94: 5123fef2  movk	x17, #0xf11a, lsl #48
0xfffffff008737f98: 110a1fd7  braa	x16, x17
0xfffffff008737f9c: 9f2403d5  bti	j
