; Candidate 9405
; ADRP+ADD at VM 0xfffffff008a3efc8 (fileoff 0x1a3afc8): page=0x1fe85b000 add_imm=0xe40

0xfffffff008a3ef48: 00050034  cbz	w0, #0xfffffff008a3efe8
0xfffffff008a3ef4c: 700240f9  ldr	x16, [x19]
0xfffffff008a3ef50: f10313aa  mov	x17, x19
0xfffffff008a3ef54: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a3ef58: 301ac1da  autda	x16, x17
0xfffffff008a3ef5c: 113d80d2  mov	x17, #0x1e8
0xfffffff008a3ef60: 1002118b  add	x16, x16, x17
0xfffffff008a3ef64: 080240f9  ldr	x8, [x16]
0xfffffff008a3ef68: e90310aa  mov	x9, x16
0xfffffff008a3ef6c: e00313aa  mov	x0, x19
0xfffffff008a3ef70: 010080d2  mov	x1, #0
0xfffffff008a3ef74: f10309aa  mov	x17, x9
0xfffffff008a3ef78: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a3ef7c: 11093fd7  blraa	x8, x17
0xfffffff008a3ef80: 700240f9  ldr	x16, [x19]
0xfffffff008a3ef84: f10313aa  mov	x17, x19
0xfffffff008a3ef88: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a3ef8c: 301ac1da  autda	x16, x17
0xfffffff008a3ef90: 113d80d2  mov	x17, #0x1e8
0xfffffff008a3ef94: 1002118b  add	x16, x16, x17
0xfffffff008a3ef98: 080240f9  ldr	x8, [x16]
0xfffffff008a3ef9c: e90310aa  mov	x9, x16
0xfffffff008a3efa0: e00313aa  mov	x0, x19
0xfffffff008a3efa4: 010080d2  mov	x1, #0
0xfffffff008a3efa8: f10309aa  mov	x17, x9
0xfffffff008a3efac: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a3efb0: 11093fd7  blraa	x8, x17
0xfffffff008a3efb4: f6d701a9  stp	x22, x21, [sp, #0x18]
0xfffffff008a3efb8: 0843ff90  adrp	x8, #0xfffffff00729e000
0xfffffff008a3efbc: 089d1691  add	x8, x8, #0x5a7
0xfffffff008a3efc0: e8d300a9  stp	x8, x20, [sp, #8]
0xfffffff008a3efc4: e00300f9  str	x0, [sp]
0xfffffff008a3efc8: c042fff0  adrp	x0, #0xfffffff007299000
0xfffffff008a3efcc: 00003991  add	x0, x0, #0xe40
0xfffffff008a3efd0: 6180ffb0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a3efd4: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a3efd8: 0343fff0  adrp	x3, #0xfffffff0072a1000
0xfffffff008a3efdc: 63e41c91  add	x3, x3, #0x739
0xfffffff008a3efe0: 02008052  mov	w2, #0
0xfffffff008a3efe4: 53d0e397  bl	#0xfffffff008333130
0xfffffff008a3efe8: 6880ffb0  adrp	x8, #0xfffffff007a4b000
0xfffffff008a3efec: 087946f9  ldr	x8, [x8, #0xcf0]
0xfffffff008a3eff0: 080140b9  ldr	w8, [x8]
0xfffffff008a3eff4: 1f791c72  tst	w8, #0xfffffff7
0xfffffff008a3eff8: 40010054  b.eq	#0xfffffff008a3f020
0xfffffff008a3effc: e80315aa  mov	x8, x21
0xfffffff008a3f000: 037d4093  sxtw	x3, w8
0xfffffff008a3f004: e203142a  mov	w2, w20
0xfffffff008a3f008: 809b9552  mov	w0, #0xacdc
0xfffffff008a3f00c: 80a4a072  movk	w0, #0x524, lsl #16
0xfffffff008a3f010: e10313aa  mov	x1, x19
0xfffffff008a3f014: 040080d2  mov	x4, #0
0xfffffff008a3f018: 050080d2  mov	x5, #0
0xfffffff008a3f01c: bafbdc97  bl	#0xfffffff00817df04
0xfffffff008a3f020: e00315aa  mov	x0, x21
0xfffffff008a3f024: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008a3f028: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008a3f02c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008a3f030: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008a3f034: ffc30191  add	sp, sp, #0x70
0xfffffff008a3f038: ff0f5fd6  retab	
0xfffffff008a3f03c: 700240f9  ldr	x16, [x19]
0xfffffff008a3f040: f10313aa  mov	x17, x19
0xfffffff008a3f044: 31b4f9f2  movk	x17, #0xcda1, lsl #48
