; Candidate 9026
; ADRP+ADD at VM 0xfffffff00898d064 (fileoff 0x1989064): page=0x1fe8f6000 add_imm=0xdfe

0xfffffff00898cfe4: 4abd3891  add	x10, x10, #0xe2f
0xfffffff00898cfe8: a447fff0  adrp	x4, #0xfffffff007283000
0xfffffff00898cfec: 84ec3891  add	x4, x4, #0xe3b
0xfffffff00898cff0: e02b00a9  stp	x0, x10, [sp]
0xfffffff00898cff4: e00319aa  mov	x0, x25
0xfffffff00898cff8: 41008052  mov	w1, #2
0xfffffff00898cffc: e20316aa  mov	x2, x22
0xfffffff00898d000: 03008052  mov	w3, #0
0xfffffff00898d004: f10308aa  mov	x17, x8
0xfffffff00898d008: 312ae3f2  movk	x17, #0x1951, lsl #48
0xfffffff00898d00c: 31093fd7  blraa	x9, x17
0xfffffff00898d010: 2d000014  b	#0xfffffff00898d0c4
0xfffffff00898d014: a8324239  ldrb	w8, [x21, #0x8c]
0xfffffff00898d018: 68280034  cbz	w8, #0xfffffff00898d524
0xfffffff00898d01c: b00240f9  ldr	x16, [x21]
0xfffffff00898d020: f10315aa  mov	x17, x21
0xfffffff00898d024: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00898d028: 301ac1da  autda	x16, x17
0xfffffff00898d02c: 113d80d2  mov	x17, #0x1e8
0xfffffff00898d030: 1002118b  add	x16, x16, x17
0xfffffff00898d034: 080240f9  ldr	x8, [x16]
0xfffffff00898d038: e90310aa  mov	x9, x16
0xfffffff00898d03c: e00315aa  mov	x0, x21
0xfffffff00898d040: 010080d2  mov	x1, #0
0xfffffff00898d044: f10309aa  mov	x17, x9
0xfffffff00898d048: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00898d04c: 11093fd7  blraa	x8, x17
0xfffffff00898d050: e80316aa  mov	x8, x22
0xfffffff00898d054: a947ffd0  adrp	x9, #0xfffffff007283000
0xfffffff00898d058: 29bd3891  add	x9, x9, #0xe2f
0xfffffff00898d05c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00898d060: e00300f9  str	x0, [sp]
0xfffffff00898d064: a047ffd0  adrp	x0, #0xfffffff007283000
0xfffffff00898d068: 00f83791  add	x0, x0, #0xdfe
0xfffffff00898d06c: 2d010014  b	#0xfffffff00898d520
0xfffffff00898d070: a8324239  ldrb	w8, [x21, #0x8c]
0xfffffff00898d074: 88020034  cbz	w8, #0xfffffff00898d0c4
0xfffffff00898d078: b00240f9  ldr	x16, [x21]
0xfffffff00898d07c: f10315aa  mov	x17, x21
0xfffffff00898d080: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00898d084: 301ac1da  autda	x16, x17
0xfffffff00898d088: 113d80d2  mov	x17, #0x1e8
0xfffffff00898d08c: 1002118b  add	x16, x16, x17
0xfffffff00898d090: 080240f9  ldr	x8, [x16]
0xfffffff00898d094: e90310aa  mov	x9, x16
0xfffffff00898d098: e00315aa  mov	x0, x21
0xfffffff00898d09c: 010080d2  mov	x1, #0
0xfffffff00898d0a0: f10309aa  mov	x17, x9
0xfffffff00898d0a4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00898d0a8: 11093fd7  blraa	x8, x17
0xfffffff00898d0ac: a847ffd0  adrp	x8, #0xfffffff007283000
0xfffffff00898d0b0: 08bd3891  add	x8, x8, #0xe2f
0xfffffff00898d0b4: e02300a9  stp	x0, x8, [sp]
0xfffffff00898d0b8: a047ffd0  adrp	x0, #0xfffffff007283000
0xfffffff00898d0bc: 00ec3891  add	x0, x0, #0xe3b
0xfffffff00898d0c0: d827e797  bl	#0xfffffff008357020
0xfffffff00898d0c4: 16008052  mov	w22, #0
0xfffffff00898d0c8: a87e40f9  ldr	x8, [x21, #0xf8]
0xfffffff00898d0cc: c80900b5  cbnz	x8, #0xfffffff00898d204
0xfffffff00898d0d0: a04a40f9  ldr	x0, [x21, #0x90]
0xfffffff00898d0d4: 100040f9  ldr	x16, [x0]
0xfffffff00898d0d8: f10300aa  mov	x17, x0
0xfffffff00898d0dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00898d0e0: 301ac1da  autda	x16, x17
