; Candidate 2771
; ADRP+ADD at VM 0xfffffff0086e7758 (fileoff 0x16e3758): page=0x1fea4a000 add_imm=0xd90

0xfffffff0086e76d8: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e76dc: 02008052  mov	w2, #0
0xfffffff0086e76e0: 942ef197  bl	#0xfffffff008333130
0xfffffff0086e76e4: 69224529  ldp	w9, w8, [x19, #0x28]
0xfffffff0086e76e8: 1f1d0071  cmp	w8, #7
0xfffffff0086e76ec: a8040054  b.hi	#0xfffffff0086e7780
0xfffffff0086e76f0: 0a008052  mov	w10, #0
0xfffffff0086e76f4: 16008052  mov	w22, #0
0xfffffff0086e76f8: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e76fc: 8b008052  mov	w11, #4
0xfffffff0086e7700: 6d3241a9  ldp	x13, x12, [x19, #0x10]
0xfffffff0086e7704: d65e1853  lsl	w22, w22, #8
0xfffffff0086e7708: bf010ceb  cmp	x13, x12
0xfffffff0086e770c: 02010054  b.hs	#0xfffffff0086e772c
0xfffffff0086e7710: 4a210011  add	w10, w10, #8
0xfffffff0086e7714: 6a2e00b9  str	w10, [x19, #0x2c]
0xfffffff0086e7718: ae050091  add	x14, x13, #1
0xfffffff0086e771c: 6e0a00f9  str	x14, [x19, #0x10]
0xfffffff0086e7720: ad014039  ldrb	w13, [x13]
0xfffffff0086e7724: d6020d2a  orr	w22, w22, w13
0xfffffff0086e7728: ed030eaa  mov	x13, x14
0xfffffff0086e772c: 6b050071  subs	w11, w11, #1
0xfffffff0086e7730: a1feff54  b.ne	#0xfffffff0086e7704
0xfffffff0086e7734: 0b018052  mov	w11, #8
0xfffffff0086e7738: 7701084b  sub	w23, w11, w8
0xfffffff0086e773c: e803084b  neg	w8, w8
0xfffffff0086e7740: 2825c81a  lsr	w8, w9, w8
0xfffffff0086e7744: 1821d71a  lsl	w24, w8, w23
0xfffffff0086e7748: 68ce5eb9  ldr	w8, [x19, #0x1ecc]
0xfffffff0086e774c: 1f01146a  tst	w8, w20
0xfffffff0086e7750: e0010054  b.eq	#0xfffffff0086e778c
0xfffffff0086e7754: f62b00a9  stp	x22, x10, [sp]
0xfffffff0086e7758: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e775c: 00403691  add	x0, x0, #0xd90
0xfffffff0086e7760: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e7764: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e7768: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e776c: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e7770: 02008052  mov	w2, #0
0xfffffff0086e7774: 6f2ef197  bl	#0xfffffff008333130
0xfffffff0086e7778: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086e777c: 05000014  b	#0xfffffff0086e7790
0xfffffff0086e7780: 18008052  mov	w24, #0
0xfffffff0086e7784: 17018052  mov	w23, #8
0xfffffff0086e7788: 03000014  b	#0xfffffff0086e7794
0xfffffff0086e778c: e8030aaa  mov	x8, x10
0xfffffff0086e7790: e90316aa  mov	x9, x22
0xfffffff0086e7794: ea03174b  neg	w10, w23
0xfffffff0086e7798: 2a25ca1a  lsr	w10, w9, w10
0xfffffff0086e779c: 5601182a  orr	w22, w10, w24
0xfffffff0086e77a0: 2921d71a  lsl	w9, w9, w23
0xfffffff0086e77a4: 0801174b  sub	w8, w8, w23
0xfffffff0086e77a8: 69220529  stp	w9, w8, [x19, #0x28]
0xfffffff0086e77ac: 6ace5eb9  ldr	w10, [x19, #0x1ecc]
0xfffffff0086e77b0: 5f01146a  tst	w10, w20
0xfffffff0086e77b4: e0010054  b.eq	#0xfffffff0086e77f0
0xfffffff0086e77b8: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff0086e77bc: 4853ffb0  adrp	x8, #0xfffffff007150000
0xfffffff0086e77c0: 08950c91  add	x8, x8, #0x325
0xfffffff0086e77c4: 09018052  mov	w9, #8
0xfffffff0086e77c8: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e77cc: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e77d0: 00403691  add	x0, x0, #0xd90
0xfffffff0086e77d4: a198ffd0  adrp	x1, #0xfffffff0079fd000
