; Candidate 16594
; ADRP+ADD at VM 0xfffffff009efc530 (fileoff 0x2ef8530): page=0x1fd955000 add_imm=0xdb7

0xfffffff009efc4b0: 42283491  add	x2, x2, #0xd0a
0xfffffff009efc4b4: e00313aa  mov	x0, x19
0xfffffff009efc4b8: e10315aa  mov	x1, x21
0xfffffff009efc4bc: 2cb30094  bl	#0xfffffff009f2916c
0xfffffff009efc4c0: c0c9fed0  adrp	x0, #0xfffffff007836000
0xfffffff009efc4c4: 00b40f91  add	x0, x0, #0x3ed
0xfffffff009efc4c8: 010080d2  mov	x1, #0
0xfffffff009efc4cc: 02008052  mov	w2, #0
0xfffffff009efc4d0: bac29597  bl	#0xfffffff00846cfb8
0xfffffff009efc4d4: 60000035  cbnz	w0, #0xfffffff009efc4e0
0xfffffff009efc4d8: a8aa4139  ldrb	w8, [x21, #0x6a]
0xfffffff009efc4dc: c8123837  tbnz	w8, #7, #0xfffffff009efc734
0xfffffff009efc4e0: fc2300f9  str	x28, [sp, #0x40]
0xfffffff009efc4e4: e0031aaa  mov	x0, x26
0xfffffff009efc4e8: 78d1ff97  bl	#0xfffffff009ef0ac8
0xfffffff009efc4ec: fc0300aa  mov	x28, x0
0xfffffff009efc4f0: 181100b4  cbz	x24, #0xfffffff009efc710
0xfffffff009efc4f4: fc1000b4  cbz	x28, #0xfffffff009efc710
0xfffffff009efc4f8: e00313aa  mov	x0, x19
0xfffffff009efc4fc: e10318aa  mov	x1, x24
0xfffffff009efc500: e2031caa  mov	x2, x28
0xfffffff009efc504: f42b40f9  ldr	x20, [sp, #0x50]
0xfffffff009efc508: e30314aa  mov	x3, x20
0xfffffff009efc50c: 48020094  bl	#0xfffffff009efce2c
0xfffffff009efc510: 80130034  cbz	w0, #0xfffffff009efc780
0xfffffff009efc514: fb0300aa  mov	x27, x0
0xfffffff009efc518: a80640f9  ldr	x8, [x21, #8]
0xfffffff009efc51c: e86f01a9  stp	x8, x27, [sp, #0x10]
0xfffffff009efc520: a8cafeb0  adrp	x8, #0xfffffff007851000
0xfffffff009efc524: 084d3391  add	x8, x8, #0xcd3
0xfffffff009efc528: 69fd8752  mov	w9, #0x3feb
0xfffffff009efc52c: e82700a9  stp	x8, x9, [sp]
0xfffffff009efc530: a0cafeb0  adrp	x0, #0xfffffff007851000
0xfffffff009efc534: 00dc3691  add	x0, x0, #0xdb7
0xfffffff009efc538: c20cfe97  bl	#0xfffffff009e7f840
0xfffffff009efc53c: 15008052  mov	w21, #0
0xfffffff009efc540: 010080d2  mov	x1, #0
0xfffffff009efc544: 16008052  mov	w22, #0
0xfffffff009efc548: d0ffff17  b	#0xfffffff009efc488
0xfffffff009efc54c: e00314aa  mov	x0, x20
0xfffffff009efc550: 22ebfc97  bl	#0xfffffff009e371d8
0xfffffff009efc554: 03001232  orr	w3, w0, #0x4000
0xfffffff009efc558: e00313aa  mov	x0, x19
0xfffffff009efc55c: e10314aa  mov	x1, x20
0xfffffff009efc560: e20319aa  mov	x2, x25
0xfffffff009efc564: 040080d2  mov	x4, #0
0xfffffff009efc568: 5beefc97  bl	#0xfffffff009e37ed4
0xfffffff009efc56c: e00313aa  mov	x0, x19
0xfffffff009efc570: 21008052  mov	w1, #1
0xfffffff009efc574: e2031aaa  mov	x2, x26
0xfffffff009efc578: e30319aa  mov	x3, x25
0xfffffff009efc57c: 0ab4ff97  bl	#0xfffffff009ee95a4
0xfffffff009efc580: 20030034  cbz	w0, #0xfffffff009efc5e4
0xfffffff009efc584: fb0300aa  mov	x27, x0
0xfffffff009efc588: 083e8452  mov	w8, #0x21f0
0xfffffff009efc58c: 6802088b  add	x8, x19, x8
0xfffffff009efc590: 490740f9  ldr	x9, [x26, #8]
0xfffffff009efc594: ea4b40f9  ldr	x10, [sp, #0x90]
0xfffffff009efc598: 4a0540f9  ldr	x10, [x10, #8]
0xfffffff009efc59c: ab035af8  ldur	x11, [x29, #-0x60]
0xfffffff009efc5a0: 6b2140f9  ldr	x11, [x11, #0x40]
0xfffffff009efc5a4: ebef02a9  stp	x11, x27, [sp, #0x28]
0xfffffff009efc5a8: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009efc5ac: e80b00f9  str	x8, [sp, #0x10]
