; Candidate 1694
; ADRP+ADD at VM 0xfffffff0084f45e0 (fileoff 0x14f05e0): page=0x1ff4ac000 add_imm=0xe80

0xfffffff0084f4560: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0084f4568
0xfffffff0084f4564: 208e38d4  brk	#0xc471
0xfffffff0084f4568: f10301aa  mov	x17, x1
0xfffffff0084f456c: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff0084f4570: 110a1fd7  braa	x16, x17
0xfffffff0084f4574: 5f2403d5  bti	c
0xfffffff0084f4578: 00ef00b0  adrp	x0, #0xfffffff00a2d5000
0xfffffff0084f457c: 00000291  add	x0, x0, #0x80
0xfffffff0084f4580: c0035fd6  ret	
0xfffffff0084f4584: 7f2303d5  pacibsp	
0xfffffff0084f4588: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0084f458c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0084f4590: fd430091  add	x29, sp, #0x10
0xfffffff0084f4594: f30300aa  mov	x19, x0
0xfffffff0084f4598: 60e74d94  bl	#0xfffffff00986e318
0xfffffff0084f459c: 60a5ff90  adrp	x0, #0xfffffff0079a0000
0xfffffff0084f45a0: 00003a91  add	x0, x0, #0xe80
0xfffffff0084f45a4: e10313aa  mov	x1, x19
0xfffffff0084f45a8: 02238052  mov	w2, #0x118
0xfffffff0084f45ac: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0084f45b0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0084f45b4: ff2303d5  autibsp	
0xfffffff0084f45b8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0084f45bc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0084f45c4
0xfffffff0084f45c0: 208e38d4  brk	#0xc471
0xfffffff0084f45c4: 36ccf717  b	#0xfffffff0082e769c
0xfffffff0084f45c8: 5f2403d5  bti	c
0xfffffff0084f45cc: 53e74d14  b	#0xfffffff00986e318
0xfffffff0084f45d0: 7f2303d5  pacibsp	
0xfffffff0084f45d4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0084f45d8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0084f45dc: fd430091  add	x29, sp, #0x10
0xfffffff0084f45e0: 60a5ff90  adrp	x0, #0xfffffff0079a0000
0xfffffff0084f45e4: 00003a91  add	x0, x0, #0xe80
0xfffffff0084f45e8: 01238052  mov	w1, #0x118
0xfffffff0084f45ec: 13ccf797  bl	#0xfffffff0082e7638
0xfffffff0084f45f0: f30300aa  mov	x19, x0
0xfffffff0084f45f4: 14ef00b0  adrp	x20, #0xfffffff00a2d5000
0xfffffff0084f45f8: 94020291  add	x20, x20, #0x80
0xfffffff0084f45fc: e10314aa  mov	x1, x20
0xfffffff0084f4600: 2ce74d94  bl	#0xfffffff00986e2b0
0xfffffff0084f4604: 10a5ffd0  adrp	x16, #0xfffffff007996000
0xfffffff0084f4608: 10e22791  add	x16, x16, #0x9f8
0xfffffff0084f460c: 10420091  add	x16, x16, #0x10
0xfffffff0084f4610: f10300aa  mov	x17, x0
0xfffffff0084f4614: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0084f4618: 300ac1da  pacda	x16, x17
0xfffffff0084f461c: 100000f9  str	x16, [x0]
0xfffffff0084f4620: e00314aa  mov	x0, x20
0xfffffff0084f4624: c4c2f797  bl	#0xfffffff0082e5134
0xfffffff0084f4628: e00313aa  mov	x0, x19
0xfffffff0084f462c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0084f4630: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0084f4634: ff0f5fd6  retab	
0xfffffff0084f4638: 5f2403d5  bti	c
0xfffffff0084f463c: 2ec0f717  b	#0xfffffff0082e46f4
0xfffffff0084f4640: 5f2403d5  bti	c
0xfffffff0084f4644: 2cc0f717  b	#0xfffffff0082e46f4
0xfffffff0084f4648: 7f2303d5  pacibsp	
0xfffffff0084f464c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0084f4650: fd030091  mov	x29, sp
0xfffffff0084f4654: 605fffb0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f4658: 00603791  add	x0, x0, #0xdd8
0xfffffff0084f465c: f7d2f897  bl	#0xfffffff008329238
