; Candidate 2020
; ADRP+ADD at VM 0xfffffff00854d5d8 (fileoff 0x15495d8): page=0x1feb94000 add_imm=0xdd8

0xfffffff00854d558: fd430091  add	x29, sp, #0x10
0xfffffff00854d55c: a0a2ffb0  adrp	x0, #0xfffffff0079a2000
0xfffffff00854d560: 00000491  add	x0, x0, #0x100
0xfffffff00854d564: 01138052  mov	w1, #0x98
0xfffffff00854d568: 3468f697  bl	#0xfffffff0082e7638
0xfffffff00854d56c: f30300aa  mov	x19, x0
0xfffffff00854d570: 54ec00b0  adrp	x20, #0xfffffff00a2d6000
0xfffffff00854d574: 94a20a91  add	x20, x20, #0x2a8
0xfffffff00854d578: e10314aa  mov	x1, x20
0xfffffff00854d57c: 7c68f697  bl	#0xfffffff0082e776c
0xfffffff00854d580: 1f1c00f9  str	xzr, [x0, #0x38]
0xfffffff00854d584: 1f4000b9  str	wzr, [x0, #0x40]
0xfffffff00854d588: 90a2ffb0  adrp	x16, #0xfffffff00799e000
0xfffffff00854d58c: 10c23291  add	x16, x16, #0xcb0
0xfffffff00854d590: 10420091  add	x16, x16, #0x10
0xfffffff00854d594: f10300aa  mov	x17, x0
0xfffffff00854d598: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00854d59c: 300ac1da  pacda	x16, x17
0xfffffff00854d5a0: 100000f9  str	x16, [x0]
0xfffffff00854d5a4: e00314aa  mov	x0, x20
0xfffffff00854d5a8: e35ef697  bl	#0xfffffff0082e5134
0xfffffff00854d5ac: e00313aa  mov	x0, x19
0xfffffff00854d5b0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00854d5b4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00854d5b8: ff0f5fd6  retab	
0xfffffff00854d5bc: 5f2403d5  bti	c
0xfffffff00854d5c0: 4d5cf617  b	#0xfffffff0082e46f4
0xfffffff00854d5c4: 5f2403d5  bti	c
0xfffffff00854d5c8: 4b5cf617  b	#0xfffffff0082e46f4
0xfffffff00854d5cc: 7f2303d5  pacibsp	
0xfffffff00854d5d0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00854d5d4: fd030091  mov	x29, sp
0xfffffff00854d5d8: a05cff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00854d5dc: 00603791  add	x0, x0, #0xdd8
0xfffffff00854d5e0: 166ff797  bl	#0xfffffff008329238
0xfffffff00854d5e4: 48ec00b0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854d5e8: 003d01f9  str	x0, [x8, #0x278]
0xfffffff00854d5ec: a05cff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00854d5f0: 00083891  add	x0, x0, #0xe02
0xfffffff00854d5f4: 116ff797  bl	#0xfffffff008329238
0xfffffff00854d5f8: 48ec00b0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854d5fc: 004101f9  str	x0, [x8, #0x280]
0xfffffff00854d600: a05cff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00854d604: 00883891  add	x0, x0, #0xe22
0xfffffff00854d608: 0c6ff797  bl	#0xfffffff008329238
0xfffffff00854d60c: 48ec00b0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854d610: 004501f9  str	x0, [x8, #0x288]
0xfffffff00854d614: a05cff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00854d618: 00e43891  add	x0, x0, #0xe39
0xfffffff00854d61c: 076ff797  bl	#0xfffffff008329238
0xfffffff00854d620: 48ec00b0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854d624: 004901f9  str	x0, [x8, #0x290]
0xfffffff00854d628: a05cff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00854d62c: 004c3991  add	x0, x0, #0xe53
0xfffffff00854d630: 026ff797  bl	#0xfffffff008329238
0xfffffff00854d634: 48ec00b0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854d638: 004d01f9  str	x0, [x8, #0x298]
0xfffffff00854d63c: a05cff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00854d640: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00854d644: fd6ef797  bl	#0xfffffff008329238
0xfffffff00854d648: 48ec00b0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854d64c: 005101f9  str	x0, [x8, #0x2a0]
0xfffffff00854d650: 40ec00b0  adrp	x0, #0xfffffff00a2d6000
0xfffffff00854d654: 00a00a91  add	x0, x0, #0x2a8
