; Candidate 7995
; ADRP+ADD at VM 0xfffffff00888d50c (fileoff 0x188950c): page=0x1fe95c000 add_imm=0xe80

0xfffffff00888d48c: a9028052  mov	w9, #0x15
0xfffffff00888d490: 1f01096a  tst	w8, w9
0xfffffff00888d494: e1100054  b.ne	#0xfffffff00888d6b0
0xfffffff00888d498: 88c68c52  mov	w8, #0x6634
0xfffffff00888d49c: 08a7ab72  movk	w8, #0x5d38, lsl #16
0xfffffff00888d4a0: 3f03086b  cmp	w25, w8
0xfffffff00888d4a4: 60100054  b.eq	#0xfffffff00888d6b0
0xfffffff00888d4a8: 88c68e52  mov	w8, #0x7634
0xfffffff00888d4ac: 08a7ab72  movk	w8, #0x5d38, lsl #16
0xfffffff00888d4b0: 3f03086b  cmp	w25, w8
0xfffffff00888d4b4: e00f0054  b.eq	#0xfffffff00888d6b0
0xfffffff00888d4b8: b9ffff17  b	#0xfffffff00888d39c
0xfffffff00888d4bc: 207d8012  mov	w0, #-0x3ea
0xfffffff00888d4c0: b7ffff17  b	#0xfffffff00888d39c
0xfffffff00888d4c4: 3a9b0094  bl	#0xfffffff0088b41ac
0xfffffff00888d4c8: f40300aa  mov	x20, x0
0xfffffff00888d4cc: 80008052  mov	w0, #4
0xfffffff00888d4d0: e0b8ff97  bl	#0xfffffff00887b850
0xfffffff00888d4d4: 688e40f9  ldr	x8, [x19, #0x118]
0xfffffff00888d4d8: f62304a9  stp	x22, x8, [sp, #0x40]
0xfffffff00888d4dc: 084dffb0  adrp	x8, #0xfffffff00722e000
0xfffffff00888d4e0: 08f53a91  add	x8, x8, #0xebd
0xfffffff00888d4e4: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00888d4e8: 48da8052  mov	w8, #0x6d2
0xfffffff00888d4ec: 094dffd0  adrp	x9, #0xfffffff00722f000
0xfffffff00888d4f0: 29d10191  add	x9, x9, #0x74
0xfffffff00888d4f4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00888d4f8: 084dffd0  adrp	x8, #0xfffffff00722f000
0xfffffff00888d4fc: 087d0391  add	x8, x8, #0xdf
0xfffffff00888d500: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888d504: 88098052  mov	w8, #0x4c
0xfffffff00888d508: f42300a9  stp	x20, x8, [sp]
0xfffffff00888d50c: e04aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00888d510: 00003a91  add	x0, x0, #0xe80
0xfffffff00888d514: c18bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00888d518: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888d51c: 834effb0  adrp	x3, #0xfffffff00725e000
0xfffffff00888d520: 63a00491  add	x3, x3, #0x128
0xfffffff00888d524: 02008052  mov	w2, #0
0xfffffff00888d528: 0297ea97  bl	#0xfffffff008333130
0xfffffff00888d52c: 407e8012  mov	w0, #-0x3f3
0xfffffff00888d530: 9bffff17  b	#0xfffffff00888d39c
0xfffffff00888d534: 01008052  mov	w1, #0
0xfffffff00888d538: dce84894  bl	#0xfffffff009ac78a8
0xfffffff00888d53c: 800a00b9  str	w0, [x20, #8]
0xfffffff00888d540: e80a40b9  ldr	w8, [x23, #8]
0xfffffff00888d544: 1f090071  cmp	w8, #2
0xfffffff00888d548: ab140054  b.lt	#0xfffffff00888d7dc
0xfffffff00888d54c: d60000b4  cbz	x22, #0xfffffff00888d564
0xfffffff00888d550: 600240f9  ldr	x0, [x19]
0xfffffff00888d554: 21008052  mov	w1, #1
0xfffffff00888d558: 6ae94894  bl	#0xfffffff009ac7b00
0xfffffff00888d55c: 4843208b  add	x8, x26, w0, uxtw
0xfffffff00888d560: c80200f9  str	x8, [x22]
0xfffffff00888d564: d50000b4  cbz	x21, #0xfffffff00888d57c
0xfffffff00888d568: 600240f9  ldr	x0, [x19]
0xfffffff00888d56c: 21008052  mov	w1, #1
0xfffffff00888d570: 64e94894  bl	#0xfffffff009ac7b00
0xfffffff00888d574: 4843208b  add	x8, x26, w0, uxtw
0xfffffff00888d578: a80200f9  str	x8, [x21]
0xfffffff00888d57c: 141300b4  cbz	x20, #0xfffffff00888d7dc
0xfffffff00888d580: 600240f9  ldr	x0, [x19]
0xfffffff00888d584: 21008052  mov	w1, #1
0xfffffff00888d588: 2ce94894  bl	#0xfffffff009ac7a38
