; Candidate 1299
; ADRP+ADD at VM 0xfffffff008349998 (fileoff 0x1345998): page=0x1fed5a000 add_imm=0xd29

0xfffffff008349918: a0ffffb5  cbnz	x0, #0xfffffff00834990c
0xfffffff00834991c: 02000014  b	#0xfffffff008349924
0xfffffff008349920: d70000b5  cbnz	x23, #0xfffffff008349938
0xfffffff008349924: 284346f8  ldur	x8, [x25, #0x64]
0xfffffff008349928: 680000b4  cbz	x8, #0xfffffff008349934
0xfffffff00834992c: d60e0011  add	w22, w22, #3
0xfffffff008349930: 0a000014  b	#0xfffffff008349958
0xfffffff008349934: 170080d2  mov	x23, #0
0xfffffff008349938: 226f40b9  ldr	w2, [x25, #0x6c]
0xfffffff00834993c: 23f30191  add	x3, x25, #0x7c
0xfffffff008349940: e00314aa  mov	x0, x20
0xfffffff008349944: e10317aa  mov	x1, x23
0xfffffff008349948: e40315aa  mov	x4, x21
0xfffffff00834994c: 916d85d2  mov	x17, #0x2b6c
0xfffffff008349950: 710a3fd7  blraa	x19, x17
0xfffffff008349954: 16008052  mov	w22, #0
0xfffffff008349958: e00316aa  mov	x0, x22
0xfffffff00834995c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008349960: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008349964: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008349968: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff00834996c: fa67c5a8  ldp	x26, x25, [sp], #0x50
0xfffffff008349970: ff0f5fd6  retab	
0xfffffff008349974: 7f2303d5  pacibsp	
0xfffffff008349978: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00834997c: fd030091  mov	x29, sp
0xfffffff008349980: 280040f9  ldr	x8, [x1]
0xfffffff008349984: 081d40b9  ldr	w8, [x8, #0x1c]
0xfffffff008349988: 89d19652  mov	w9, #0xb68c
0xfffffff00834998c: 49b4a972  movk	w9, #0x4da2, lsl #16
0xfffffff008349990: 1f01096b  cmp	w8, w9
0xfffffff008349994: 80000054  b.eq	#0xfffffff0083499a4
0xfffffff008349998: c06affd0  adrp	x0, #0xfffffff0070a3000
0xfffffff00834999c: 00a43491  add	x0, x0, #0xd29
0xfffffff0083499a0: dc66fe97  bl	#0xfffffff0082e3510
0xfffffff0083499a4: e0588052  mov	w0, #0x2c7
0xfffffff0083499a8: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff0083499ac: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0083499b0: ff0f5fd6  retab	
0xfffffff0083499b4: 7f2303d5  pacibsp	
0xfffffff0083499b8: ff0306d1  sub	sp, sp, #0x180
0xfffffff0083499bc: fa6713a9  stp	x26, x25, [sp, #0x130]
0xfffffff0083499c0: f85f14a9  stp	x24, x23, [sp, #0x140]
0xfffffff0083499c4: f65715a9  stp	x22, x21, [sp, #0x150]
0xfffffff0083499c8: f44f16a9  stp	x20, x19, [sp, #0x160]
0xfffffff0083499cc: fd7b17a9  stp	x29, x30, [sp, #0x170]
0xfffffff0083499d0: fdc30591  add	x29, sp, #0x170
0xfffffff0083499d4: f40304aa  mov	x20, x4
0xfffffff0083499d8: f50303aa  mov	x21, x3
0xfffffff0083499dc: f60302aa  mov	x22, x2
0xfffffff0083499e0: f30301aa  mov	x19, x1
0xfffffff0083499e4: ff2301b9  str	wzr, [sp, #0x120]
0xfffffff0083499e8: f8830091  add	x24, sp, #0x20
0xfffffff0083499ec: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0083499f0: 000307ad  stp	q0, q0, [x24, #0xe0]
0xfffffff0083499f4: 000306ad  stp	q0, q0, [x24, #0xc0]
0xfffffff0083499f8: 000305ad  stp	q0, q0, [x24, #0xa0]
0xfffffff0083499fc: 000304ad  stp	q0, q0, [x24, #0x80]
0xfffffff008349a00: 001f803d  str	q0, [x24, #0x70]
0xfffffff008349a04: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff008349a08: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff008349a0c: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff008349a10: e00b803d  str	q0, [sp, #0x20]
0xfffffff008349a14: 99208052  mov	w25, #0x104
