; Candidate 8191
; ADRP+ADD at VM 0xfffffff00889b374 (fileoff 0x1897374): page=0x1fe94e000 add_imm=0xe80

0xfffffff00889b2f4: 63a01091  add	x3, x3, #0x428
0xfffffff00889b2f8: fb2300a9  stp	x27, x8, [sp]
0xfffffff00889b2fc: 604affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889b300: 00003a91  add	x0, x0, #0xe80
0xfffffff00889b304: 618bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889b308: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889b30c: 02008052  mov	w2, #0
0xfffffff00889b310: 885fea97  bl	#0xfffffff008333130
0xfffffff00889b314: 1b7d8012  mov	w27, #-0x3e9
0xfffffff00889b318: b4f377a9  ldp	x20, x28, [x29, #-0x88]
0xfffffff00889b31c: 75ffff17  b	#0xfffffff00889b0f0
0xfffffff00889b320: a3630094  bl	#0xfffffff0088b41ac
0xfffffff00889b324: fb0300aa  mov	x27, x0
0xfffffff00889b328: 80008052  mov	w0, #4
0xfffffff00889b32c: 4981ff97  bl	#0xfffffff00887b850
0xfffffff00889b330: ff7f05a9  stp	xzr, xzr, [sp, #0x50]
0xfffffff00889b334: e80318aa  mov	x8, x24
0xfffffff00889b338: e85f04a9  stp	x8, x23, [sp, #0x40]
0xfffffff00889b33c: a84cffb0  adrp	x8, #0xfffffff007230000
0xfffffff00889b340: 08a51091  add	x8, x8, #0x429
0xfffffff00889b344: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00889b348: 480e8052  mov	w8, #0x72
0xfffffff00889b34c: a94bffd0  adrp	x9, #0xfffffff007211000
0xfffffff00889b350: 29892c91  add	x9, x9, #0xb22
0xfffffff00889b354: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00889b358: a84cffd0  adrp	x8, #0xfffffff007231000
0xfffffff00889b35c: 08e93191  add	x8, x8, #0xc7a
0xfffffff00889b360: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00889b364: a80f8052  mov	w8, #0x7d
0xfffffff00889b368: 234effb0  adrp	x3, #0xfffffff007260000
0xfffffff00889b36c: 631c0e91  add	x3, x3, #0x387
0xfffffff00889b370: fb2300a9  stp	x27, x8, [sp]
0xfffffff00889b374: 604affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00889b378: 00003a91  add	x0, x0, #0xe80
0xfffffff00889b37c: 618bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00889b380: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889b384: 02008052  mov	w2, #0
0xfffffff00889b388: 6a5fea97  bl	#0xfffffff008333130
0xfffffff00889b38c: 1b7d8012  mov	w27, #-0x3e9
0xfffffff00889b390: bc5f78a9  ldp	x28, x23, [x29, #-0x80]
0xfffffff00889b394: 57ffff17  b	#0xfffffff00889b0f0
0xfffffff00889b398: 7f2303d5  pacibsp	
0xfffffff00889b39c: ff4302d1  sub	sp, sp, #0x90
0xfffffff00889b3a0: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff00889b3a4: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff00889b3a8: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff00889b3ac: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff00889b3b0: fd030291  add	x29, sp, #0x80
0xfffffff00889b3b4: f40301aa  mov	x20, x1
0xfffffff00889b3b8: f30300aa  mov	x19, x0
0xfffffff00889b3bc: a00f8052  mov	w0, #0x7d
0xfffffff00889b3c0: e1008052  mov	w1, #7
0xfffffff00889b3c4: 0381ff97  bl	#0xfffffff00887b7d0
0xfffffff00889b3c8: c0020034  cbz	w0, #0xfffffff00889b420
0xfffffff00889b3cc: a00f8052  mov	w0, #0x7d
0xfffffff00889b3d0: 1281ff97  bl	#0xfffffff00887b818
0xfffffff00889b3d4: f60300aa  mov	x22, x0
0xfffffff00889b3d8: 75630094  bl	#0xfffffff0088b41ac
0xfffffff00889b3dc: f50300aa  mov	x21, x0
0xfffffff00889b3e0: e0008052  mov	w0, #7
0xfffffff00889b3e4: 1b81ff97  bl	#0xfffffff00887b850
0xfffffff00889b3e8: 76040034  cbz	w22, #0xfffffff00889b474
0xfffffff00889b3ec: 680240b9  ldr	w8, [x19]
0xfffffff00889b3f0: e85303a9  stp	x8, x20, [sp, #0x30]
