; Candidate 3435
; ADRP+ADD at VM 0xfffffff00873e338 (fileoff 0x173a338): page=0x1fe9f3000 add_imm=0xd90

0xfffffff00873e2b8: 0800b0d2  mov	x8, #0x80000000
0xfffffff00873e2bc: 4800c0f2  movk	x8, #2, lsl #32
0xfffffff00873e2c0: 3f0308eb  cmp	x25, x8
0xfffffff00873e2c4: f795fff0  adrp	x23, #0xfffffff0079fd000
0xfffffff00873e2c8: f7e641f9  ldr	x23, [x23, #0x3c8]
0xfffffff00873e2cc: 01070054  b.ne	#0xfffffff00873e3ac
0xfffffff00873e2d0: 29348052  mov	w9, #0x1a1
0xfffffff00873e2d4: 43000014  b	#0xfffffff00873e3e0
0xfffffff00873e2d8: 9f2403d5  bti	j
0xfffffff00873e2dc: c850ffb0  adrp	x8, #0xfffffff007157000
0xfffffff00873e2e0: 08352691  add	x8, x8, #0x98d
0xfffffff00873e2e4: e82700a9  stp	x8, x9, [sp]
0xfffffff00873e2e8: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e2ec: 00403691  add	x0, x0, #0xd90
0xfffffff00873e2f0: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873e2f4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873e2f8: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873e2fc: 63301991  add	x3, x3, #0x64c
0xfffffff00873e300: 02008052  mov	w2, #0
0xfffffff00873e304: 8bd3ef97  bl	#0xfffffff008333130
0xfffffff00873e308: 29000014  b	#0xfffffff00873e3ac
0xfffffff00873e30c: fb2300a9  stp	x27, x8, [sp]
0xfffffff00873e310: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e314: 00403691  add	x0, x0, #0xd90
0xfffffff00873e318: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873e31c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873e320: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873e324: 63381491  add	x3, x3, #0x50e
0xfffffff00873e328: 02008052  mov	w2, #0
0xfffffff00873e32c: 81d3ef97  bl	#0xfffffff008333130
0xfffffff00873e330: 1f000014  b	#0xfffffff00873e3ac
0xfffffff00873e334: fb2300a9  stp	x27, x8, [sp]
0xfffffff00873e338: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e33c: 00403691  add	x0, x0, #0xd90
0xfffffff00873e340: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873e344: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873e348: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873e34c: 630c1591  add	x3, x3, #0x543
0xfffffff00873e350: 02008052  mov	w2, #0
0xfffffff00873e354: 77d3ef97  bl	#0xfffffff008333130
0xfffffff00873e358: 15000014  b	#0xfffffff00873e3ac
0xfffffff00873e35c: fb2300a9  stp	x27, x8, [sp]
0xfffffff00873e360: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e364: 00403691  add	x0, x0, #0xd90
0xfffffff00873e368: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873e36c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873e370: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873e374: 63881791  add	x3, x3, #0x5e2
0xfffffff00873e378: 02008052  mov	w2, #0
0xfffffff00873e37c: 6dd3ef97  bl	#0xfffffff008333130
0xfffffff00873e380: 0b000014  b	#0xfffffff00873e3ac
0xfffffff00873e384: 9f2403d5  bti	j
0xfffffff00873e388: fb2300a9  stp	x27, x8, [sp]
0xfffffff00873e38c: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e390: 00403691  add	x0, x0, #0xd90
0xfffffff00873e394: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873e398: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873e39c: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873e3a0: 637c1391  add	x3, x3, #0x4df
0xfffffff00873e3a4: 02008052  mov	w2, #0
0xfffffff00873e3a8: 62d3ef97  bl	#0xfffffff008333130
0xfffffff00873e3ac: 9f2403d5  bti	j
0xfffffff00873e3b0: 68b241b9  ldr	w8, [x19, #0x1b0]
0xfffffff00873e3b4: 1f690071  cmp	w8, #0x1a
