; Candidate 12722
; ADRP+ADD at VM 0xfffffff00912fbac (fileoff 0x212bbac): page=0x1fe34d000 add_imm=0xe11

0xfffffff00912fb2c: a8020039  strb	w8, [x21]
0xfffffff00912fb30: c0c640f9  ldr	x0, [x22, #0x188]
0xfffffff00912fb34: 100040f9  ldr	x16, [x0]
0xfffffff00912fb38: f10300aa  mov	x17, x0
0xfffffff00912fb3c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00912fb40: 301ac1da  autda	x16, x17
0xfffffff00912fb44: 112380d2  mov	x17, #0x118
0xfffffff00912fb48: 1002118b  add	x16, x16, x17
0xfffffff00912fb4c: 080240f9  ldr	x8, [x16]
0xfffffff00912fb50: e90310aa  mov	x9, x16
0xfffffff00912fb54: e10314aa  mov	x1, x20
0xfffffff00912fb58: f10309aa  mov	x17, x9
0xfffffff00912fb5c: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff00912fb60: 11093fd7  blraa	x8, x17
0xfffffff00912fb64: c00100b4  cbz	x0, #0xfffffff00912fb9c
0xfffffff00912fb68: e10313aa  mov	x1, x19
0xfffffff00912fb6c: 94ffff97  bl	#0xfffffff00912f9bc
0xfffffff00912fb70: 40020036  tbz	w0, #0, #0xfffffff00912fbb8
0xfffffff00912fb74: 20008052  mov	w0, #1
0xfffffff00912fb78: 18000014  b	#0xfffffff00912fbd8
0xfffffff00912fb7c: 681affb0  adrp	x8, #0xfffffff00747c000
0xfffffff00912fb80: 08853591  add	x8, x8, #0xd61
0xfffffff00912fb84: f70700f9  str	x23, [sp, #8]
0xfffffff00912fb88: 08000014  b	#0xfffffff00912fba8
0xfffffff00912fb8c: 681affb0  adrp	x8, #0xfffffff00747c000
0xfffffff00912fb90: 08853591  add	x8, x8, #0xd61
0xfffffff00912fb94: f70700f9  str	x23, [sp, #8]
0xfffffff00912fb98: 0b000014  b	#0xfffffff00912fbc4
0xfffffff00912fb9c: 681affb0  adrp	x8, #0xfffffff00747c000
0xfffffff00912fba0: 08853591  add	x8, x8, #0xd61
0xfffffff00912fba4: f40700f9  str	x20, [sp, #8]
0xfffffff00912fba8: e80300f9  str	x8, [sp]
0xfffffff00912fbac: 601affb0  adrp	x0, #0xfffffff00747c000
0xfffffff00912fbb0: 00443891  add	x0, x0, #0xe11
0xfffffff00912fbb4: 07000014  b	#0xfffffff00912fbd0
0xfffffff00912fbb8: 681affb0  adrp	x8, #0xfffffff00747c000
0xfffffff00912fbbc: 08853591  add	x8, x8, #0xd61
0xfffffff00912fbc0: f40700f9  str	x20, [sp, #8]
0xfffffff00912fbc4: e80300f9  str	x8, [sp]
0xfffffff00912fbc8: 601affb0  adrp	x0, #0xfffffff00747c000
0xfffffff00912fbcc: 00b43891  add	x0, x0, #0xe2d
0xfffffff00912fbd0: 149dc897  bl	#0xfffffff008357020
0xfffffff00912fbd4: 00008052  mov	w0, #0
0xfffffff00912fbd8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00912fbdc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00912fbe0: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00912fbe4: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00912fbe8: ff830191  add	sp, sp, #0x60
0xfffffff00912fbec: ff0f5fd6  retab	
0xfffffff00912fbf0: 15670094  bl	#0xfffffff009149844
0xfffffff00912fbf4: 27670094  bl	#0xfffffff009149890
0xfffffff00912fbf8: 4c670094  bl	#0xfffffff009149928
0xfffffff00912fbfc: 38670094  bl	#0xfffffff0091498dc
0xfffffff00912fc00: 7f2303d5  pacibsp	
0xfffffff00912fc04: ffc300d1  sub	sp, sp, #0x30
0xfffffff00912fc08: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00912fc0c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00912fc10: fd830091  add	x29, sp, #0x20
0xfffffff00912fc14: c10400b4  cbz	x1, #0xfffffff00912fcac
0xfffffff00912fc18: 00c440f9  ldr	x0, [x0, #0x188]
0xfffffff00912fc1c: a00400b4  cbz	x0, #0xfffffff00912fcb0
0xfffffff00912fc20: f40301aa  mov	x20, x1
0xfffffff00912fc24: 100040f9  ldr	x16, [x0]
0xfffffff00912fc28: f10300aa  mov	x17, x0
