; Candidate 6718
; ADRP+ADD at VM 0xfffffff00883cc28 (fileoff 0x1838c28): page=0x1fe9e7000 add_imm=0xd82

0xfffffff00883cba8: 00003a91  add	x0, x0, #0xe80
0xfffffff00883cbac: 618eff90  adrp	x1, #0xfffffff007a08000
0xfffffff00883cbb0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883cbb4: 8350fff0  adrp	x3, #0xfffffff00724f000
0xfffffff00883cbb8: 63100691  add	x3, x3, #0x184
0xfffffff00883cbbc: 02008052  mov	w2, #0
0xfffffff00883cbc0: 5cd9eb97  bl	#0xfffffff008333130
0xfffffff00883cbc4: 150080d2  mov	x21, #0
0xfffffff00883cbc8: d1feff17  b	#0xfffffff00883c70c
0xfffffff00883cbcc: 600a8052  mov	w0, #0x53
0xfffffff00883cbd0: 81008052  mov	w1, #4
0xfffffff00883cbd4: fffa0094  bl	#0xfffffff00887b7d0
0xfffffff00883cbd8: 60d9ff34  cbz	w0, #0xfffffff00883c704
0xfffffff00883cbdc: 600a8052  mov	w0, #0x53
0xfffffff00883cbe0: 0efb0094  bl	#0xfffffff00887b818
0xfffffff00883cbe4: f60300aa  mov	x22, x0
0xfffffff00883cbe8: 71dd0194  bl	#0xfffffff0088b41ac
0xfffffff00883cbec: f50300aa  mov	x21, x0
0xfffffff00883cbf0: 80008052  mov	w0, #4
0xfffffff00883cbf4: 17fb0094  bl	#0xfffffff00887b850
0xfffffff00883cbf8: 360a0034  cbz	w22, #0xfffffff00883cd3c
0xfffffff00883cbfc: a84eff90  adrp	x8, #0xfffffff007210000
0xfffffff00883cc00: 08a12b91  add	x8, x8, #0xae8
0xfffffff00883cc04: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00883cc08: e8148052  mov	w8, #0xa7
0xfffffff00883cc0c: 294ffff0  adrp	x9, #0xfffffff007223000
0xfffffff00883cc10: 29d52e91  add	x9, x9, #0xbb5
0xfffffff00883cc14: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00883cc18: 284ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883cc1c: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883cc20: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883cc24: 680a8052  mov	w8, #0x53
0xfffffff00883cc28: 204ffff0  adrp	x0, #0xfffffff007223000
0xfffffff00883cc2c: 00083691  add	x0, x0, #0xd82
0xfffffff00883cc30: b3feff17  b	#0xfffffff00883c6fc
0xfffffff00883cc34: 600a8052  mov	w0, #0x53
0xfffffff00883cc38: 81008052  mov	w1, #4
0xfffffff00883cc3c: e5fa0094  bl	#0xfffffff00887b7d0
0xfffffff00883cc40: 20d6ff34  cbz	w0, #0xfffffff00883c704
0xfffffff00883cc44: 600a8052  mov	w0, #0x53
0xfffffff00883cc48: f4fa0094  bl	#0xfffffff00887b818
0xfffffff00883cc4c: f60300aa  mov	x22, x0
0xfffffff00883cc50: 57dd0194  bl	#0xfffffff0088b41ac
0xfffffff00883cc54: f50300aa  mov	x21, x0
0xfffffff00883cc58: 80008052  mov	w0, #4
0xfffffff00883cc5c: fdfa0094  bl	#0xfffffff00887b850
0xfffffff00883cc60: b60d0034  cbz	w22, #0xfffffff00883ce14
0xfffffff00883cc64: a84eff90  adrp	x8, #0xfffffff007210000
0xfffffff00883cc68: 08413b91  add	x8, x8, #0xed0
0xfffffff00883cc6c: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00883cc70: 88158052  mov	w8, #0xac
0xfffffff00883cc74: 294ffff0  adrp	x9, #0xfffffff007223000
0xfffffff00883cc78: 29d52e91  add	x9, x9, #0xbb5
0xfffffff00883cc7c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00883cc80: 284ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883cc84: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883cc88: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883cc8c: 680a8052  mov	w8, #0x53
0xfffffff00883cc90: 204ffff0  adrp	x0, #0xfffffff007223000
0xfffffff00883cc94: 00f03691  add	x0, x0, #0xdbc
0xfffffff00883cc98: 99feff17  b	#0xfffffff00883c6fc
0xfffffff00883cc9c: 808effb0  adrp	x0, #0xfffffff007a0d000
0xfffffff00883cca0: 00601791  add	x0, x0, #0x5d8
0xfffffff00883cca4: 1466ec97  bl	#0xfffffff0083564f4
