; Candidate 12153
; ADRP+ADD at VM 0xfffffff009023f30 (fileoff 0x201ff30): page=0x1feb19000 add_imm=0xec0

0xfffffff009023eb0: 10620b91  add	x16, x16, #0x2d8
0xfffffff009023eb4: 10420091  add	x16, x16, #0x10
0xfffffff009023eb8: f10300aa  mov	x17, x0
0xfffffff009023ebc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009023ec0: 300ac1da  pacda	x16, x17
0xfffffff009023ec4: 100000f9  str	x16, [x0]
0xfffffff009023ec8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009023ecc: ff0f5fd6  retab	
0xfffffff009023ed0: 5f2403d5  bti	c
0xfffffff009023ed4: 8182d917  b	#0xfffffff0086848d8
0xfffffff009023ed8: 5f2403d5  bti	c
0xfffffff009023edc: 7f82d917  b	#0xfffffff0086848d8
0xfffffff009023ee0: 7f2303d5  pacibsp	
0xfffffff009023ee4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009023ee8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009023eec: fd430091  add	x29, sp, #0x10
0xfffffff009023ef0: f30300aa  mov	x19, x0
0xfffffff009023ef4: 7982d997  bl	#0xfffffff0086848d8
0xfffffff009023ef8: c058ffb0  adrp	x0, #0xfffffff007b3c000
0xfffffff009023efc: 00003b91  add	x0, x0, #0xec0
0xfffffff009023f00: e10313aa  mov	x1, x19
0xfffffff009023f04: 02078052  mov	w2, #0x38
0xfffffff009023f08: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009023f0c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009023f10: ff2303d5  autibsp	
0xfffffff009023f14: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009023f18: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009023f20
0xfffffff009023f1c: 208e38d4  brk	#0xc471
0xfffffff009023f20: df0dcb17  b	#0xfffffff0082e769c
0xfffffff009023f24: 5f2403d5  bti	c
0xfffffff009023f28: e20301aa  mov	x2, x1
0xfffffff009023f2c: e10300aa  mov	x1, x0
0xfffffff009023f30: c058ffb0  adrp	x0, #0xfffffff007b3c000
0xfffffff009023f34: 00003b91  add	x0, x0, #0xec0
0xfffffff009023f38: d90dcb17  b	#0xfffffff0082e769c
0xfffffff009023f3c: 5f2403d5  bti	c
0xfffffff009023f40: 409700d0  adrp	x0, #0xfffffff00a30d000
0xfffffff009023f44: 00603d91  add	x0, x0, #0xf58
0xfffffff009023f48: c0035fd6  ret	
0xfffffff009023f4c: 7f2303d5  pacibsp	
0xfffffff009023f50: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009023f54: fd030091  mov	x29, sp
0xfffffff009023f58: e120fff0  adrp	x1, #0xfffffff007442000
0xfffffff009023f5c: 21043991  add	x1, x1, #0xe41
0xfffffff009023f60: 8258fff0  adrp	x2, #0xfffffff007b36000
0xfffffff009023f64: 429844f9  ldr	x2, [x2, #0x930]
0xfffffff009023f68: 03078052  mov	w3, #0x38
0xfffffff009023f6c: f3feca97  bl	#0xfffffff0082e3b38
0xfffffff009023f70: d058ffb0  adrp	x16, #0xfffffff007b3c000
0xfffffff009023f74: 10e20d91  add	x16, x16, #0x378
0xfffffff009023f78: 10420091  add	x16, x16, #0x10
0xfffffff009023f7c: f10300aa  mov	x17, x0
0xfffffff009023f80: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009023f84: 300ac1da  pacda	x16, x17
0xfffffff009023f88: 100000f9  str	x16, [x0]
0xfffffff009023f8c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009023f90: ff0f5fd6  retab	
0xfffffff009023f94: 7f2303d5  pacibsp	
0xfffffff009023f98: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009023f9c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009023fa0: fd430091  add	x29, sp, #0x10
0xfffffff009023fa4: c058ffb0  adrp	x0, #0xfffffff007b3c000
0xfffffff009023fa8: 00003b91  add	x0, x0, #0xec0
0xfffffff009023fac: 01078052  mov	w1, #0x38
