; Candidate 14433
; ADRP+ADD at VM 0xfffffff0097872ac (fileoff 0x27832ac): page=0x1fde06000 add_imm=0xd31

0xfffffff00978722c: 400100b4  cbz	x0, #0xfffffff009787254
0xfffffff009787230: 100040f9  ldr	x16, [x0]
0xfffffff009787234: f10300aa  mov	x17, x0
0xfffffff009787238: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00978723c: 301ac1da  autda	x16, x17
0xfffffff009787240: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009787244: e90310aa  mov	x9, x16
0xfffffff009787248: f10309aa  mov	x17, x9
0xfffffff00978724c: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009787250: 11093fd7  blraa	x8, x17
0xfffffff009787254: 28f0feb0  adrp	x8, #0xfffffff00758c000
0xfffffff009787258: 08290091  add	x8, x8, #0xa
0xfffffff00978725c: 29f0feb0  adrp	x9, #0xfffffff00758c000
0xfffffff009787260: 29190091  add	x9, x9, #6
0xfffffff009787264: bf0200f1  cmp	x21, #0
0xfffffff009787268: 3611889a  csel	x22, x9, x8, ne
0xfffffff00978726c: 206000b0  adrp	x0, #0xfffffff00a38c000
0xfffffff009787270: 00600491  add	x0, x0, #0x118
0xfffffff009787274: b975ad97  bl	#0xfffffff0082e4958
0xfffffff009787278: f40300aa  mov	x20, x0
0xfffffff00978727c: 607240f9  ldr	x0, [x19, #0xe0]
0xfffffff009787280: 600100b4  cbz	x0, #0xfffffff0097872ac
0xfffffff009787284: 100040f9  ldr	x16, [x0]
0xfffffff009787288: f10300aa  mov	x17, x0
0xfffffff00978728c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009787290: 301ac1da  autda	x16, x17
0xfffffff009787294: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009787298: e90310aa  mov	x9, x16
0xfffffff00978729c: f10309aa  mov	x17, x9
0xfffffff0097872a0: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff0097872a4: 11093fd7  blraa	x8, x17
0xfffffff0097872a8: 03000014  b	#0xfffffff0097872b4
0xfffffff0097872ac: 20f0fed0  adrp	x0, #0xfffffff00758d000
0xfffffff0097872b0: 00c43491  add	x0, x0, #0xd31
0xfffffff0097872b4: e05b01a9  stp	x0, x22, [sp, #0x10]
0xfffffff0097872b8: a8f0fe90  adrp	x8, #0xfffffff00759b000
0xfffffff0097872bc: 08bd1691  add	x8, x8, #0x5af
0xfffffff0097872c0: f42300a9  stp	x20, x8, [sp]
0xfffffff0097872c4: 20f0fe90  adrp	x0, #0xfffffff00758b000
0xfffffff0097872c8: 00802191  add	x0, x0, #0x860
0xfffffff0097872cc: 6124fff0  adrp	x1, #0xfffffff007c16000
0xfffffff0097872d0: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff0097872d4: 03f1fef0  adrp	x3, #0xfffffff0075aa000
0xfffffff0097872d8: 63203391  add	x3, x3, #0xcc8
0xfffffff0097872dc: 02008052  mov	w2, #0
0xfffffff0097872e0: 94afae97  bl	#0xfffffff008333130
0xfffffff0097872e4: 687640f9  ldr	x8, [x19, #0xe8]
0xfffffff0097872e8: 680300b4  cbz	x8, #0xfffffff009787354
0xfffffff0097872ec: e00313aa  mov	x0, x19
0xfffffff0097872f0: 59f6af97  bl	#0xfffffff008384c54
0xfffffff0097872f4: 00030037  tbnz	w0, #0, #0xfffffff009787354
0xfffffff0097872f8: bf0200f1  cmp	x21, #0
0xfffffff0097872fc: e1079f1a  cset	w1, ne
0xfffffff009787300: 607640f9  ldr	x0, [x19, #0xe8]
0xfffffff009787304: 100040f9  ldr	x16, [x0]
0xfffffff009787308: f10300aa  mov	x17, x0
0xfffffff00978730c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009787310: 301ac1da  autda	x16, x17
0xfffffff009787314: 11be80d2  mov	x17, #0x5f0
0xfffffff009787318: 1002118b  add	x16, x16, x17
0xfffffff00978731c: 080240f9  ldr	x8, [x16]
0xfffffff009787320: e20310aa  mov	x2, x16
0xfffffff009787324: f00308aa  mov	x16, x8
0xfffffff009787328: fd7b44a9  ldp	x29, x30, [sp, #0x40]
