; Candidate 185
; ADRP+ADD at VM 0xfffffff007e2dfb8 (fileoff 0xe29fb8): page=0x23ca000 add_imm=0xe2c

0xfffffff007e2df38: 490129b8  ldadd	w9, w9, [x10]
0xfffffff007e2df3c: a9ce4079  ldrh	w9, [x21, #0x66]
0xfffffff007e2df40: 2a050011  add	w10, w9, #1
0xfffffff007e2df44: aace0079  strh	w10, [x21, #0x66]
0xfffffff007e2df48: 8a0140b9  ldr	w10, [x12]
0xfffffff007e2df4c: 29250a53  lsl	w9, w9, #0x16
0xfffffff007e2df50: eb0309aa  mov	x11, x9
0xfffffff007e2df54: 4b550033  bfxil	w11, w10, #0, #0x16
0xfffffff007e2df58: 8b0100b9  str	w11, [x12]
0xfffffff007e2df5c: aa4a40b9  ldr	w10, [x21, #0x48]
0xfffffff007e2df60: 4a050011  add	w10, w10, #1
0xfffffff007e2df64: 49550033  bfxil	w9, w10, #0, #0x16
0xfffffff007e2df68: 890100b9  str	w9, [x12]
0xfffffff007e2df6c: 137d4093  sxtw	x19, w8
0xfffffff007e2df70: a86a40b9  ldr	w8, [x21, #0x68]
0xfffffff007e2df74: 091d0190  adrp	x9, #0xfffffff00a1cd000
0xfffffff007e2df78: 29094fb9  ldr	w9, [x9, #0xf08]
0xfffffff007e2df7c: 1f01096b  cmp	w8, w9
0xfffffff007e2df80: 82000054  b.hs	#0xfffffff007e2df90
0xfffffff007e2df84: a8ce4079  ldrh	w8, [x21, #0x66]
0xfffffff007e2df88: 1f011071  cmp	w8, #0x400
0xfffffff007e2df8c: 83000054  b.lo	#0xfffffff007e2df9c
0xfffffff007e2df90: e00315aa  mov	x0, x21
0xfffffff007e2df94: e10314aa  mov	x1, x20
0xfffffff007e2df98: 94010094  bl	#0xfffffff007e2e5e8
0xfffffff007e2df9c: 81d038d5  mrs	x1, tpidr_el1
0xfffffff007e2dfa0: a8220091  add	x8, x21, #8
0xfffffff007e2dfa4: 291844b9  ldr	w9, [x1, #0x418]
0xfffffff007e2dfa8: e20309aa  mov	x2, x9
0xfffffff007e2dfac: 1ffda288  casl	w2, wzr, [x8]
0xfffffff007e2dfb0: 5f00096b  cmp	w2, w9
0xfffffff007e2dfb4: 61040054  b.ne	#0xfffffff007e2e040
0xfffffff007e2dfb8: 401e01d0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e2dfbc: 00b03891  add	x0, x0, #0xe2c
0xfffffff007e2dfc0: 9a01fe97  bl	#0xfffffff007dae628
0xfffffff007e2dfc4: 18010034  cbz	w24, #0xfffffff007e2dfe4
0xfffffff007e2dfc8: 087f4093  sxtw	x8, w24
0xfffffff007e2dfcc: 091f01f0  adrp	x9, #0xfffffff00a210000
0xfffffff007e2dfd0: 29e13891  add	x9, x9, #0xe38
0xfffffff007e2dfd4: 280128f8  ldadd	x8, x8, [x9]
0xfffffff007e2dfd8: 081f01f0  adrp	x8, #0xfffffff00a210000
0xfffffff007e2dfdc: 08013991  add	x8, x8, #0xe40
0xfffffff007e2dfe0: 080133f8  ldadd	x19, x8, [x8]
0xfffffff007e2dfe4: 14008052  mov	w20, #0
0xfffffff007e2dfe8: 081f01f0  adrp	x8, #0xfffffff00a210000
0xfffffff007e2dfec: 08c13891  add	x8, x8, #0xe30
0xfffffff007e2dff0: 09008852  mov	w9, #0x4000
0xfffffff007e2dff4: 2a1d01f0  adrp	x10, #0xfffffff00a1d4000
0xfffffff007e2dff8: 4a410891  add	x10, x10, #0x210
0xfffffff007e2dffc: 080129f8  ldadd	x9, x8, [x8]
0xfffffff007e2e000: 28008052  mov	w8, #1
0xfffffff007e2e004: 490128b8  ldadd	w8, w9, [x10]
0xfffffff007e2e008: e91c01f0  adrp	x9, #0xfffffff00a1cd000
0xfffffff007e2e00c: 29211591  add	x9, x9, #0x548
0xfffffff007e2e010: 280128b8  ldadd	w8, w8, [x9]
0xfffffff007e2e014: e00316aa  mov	x0, x22
0xfffffff007e2e018: 783f0294  bl	#0xfffffff007ebddf8
0xfffffff007e2e01c: e00314aa  mov	x0, x20
0xfffffff007e2e020: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff007e2e024: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff007e2e028: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff007e2e02c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff007e2e030: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff007e2e034: fc6f42a9  ldp	x28, x27, [sp, #0x20]
