; Candidate 13421
; ADRP+ADD at VM 0xfffffff0092cfa6c (fileoff 0x22cba6c): page=0x1fe210000 add_imm=0xe26

0xfffffff0092cf9ec: 400300b4  cbz	x0, #0xfffffff0092cfa54
0xfffffff0092cf9f0: 700240f9  ldr	x16, [x19]
0xfffffff0092cf9f4: f10313aa  mov	x17, x19
0xfffffff0092cf9f8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf9fc: 301ac1da  autda	x16, x17
0xfffffff0092cfa00: 116e80d2  mov	x17, #0x370
0xfffffff0092cfa04: 1002118b  add	x16, x16, x17
0xfffffff0092cfa08: 080240f9  ldr	x8, [x16]
0xfffffff0092cfa0c: e90310aa  mov	x9, x16
0xfffffff0092cfa10: e00313aa  mov	x0, x19
0xfffffff0092cfa14: f10309aa  mov	x17, x9
0xfffffff0092cfa18: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092cfa1c: 11093fd7  blraa	x8, x17
0xfffffff0092cfa20: 100040f9  ldr	x16, [x0]
0xfffffff0092cfa24: f10300aa  mov	x17, x0
0xfffffff0092cfa28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cfa2c: 301ac1da  autda	x16, x17
0xfffffff0092cfa30: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cfa34: 1002118b  add	x16, x16, x17
0xfffffff0092cfa38: 080240f9  ldr	x8, [x16]
0xfffffff0092cfa3c: e90310aa  mov	x9, x16
0xfffffff0092cfa40: 010080d2  mov	x1, #0
0xfffffff0092cfa44: f10309aa  mov	x17, x9
0xfffffff0092cfa48: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cfa4c: 11093fd7  blraa	x8, x17
0xfffffff0092cfa50: 03000014  b	#0xfffffff0092cfa5c
0xfffffff0092cfa54: 6010fff0  adrp	x0, #0xfffffff0074de000
0xfffffff0092cfa58: 00102191  add	x0, x0, #0x844
0xfffffff0092cfa5c: a8024079  ldrh	w8, [x21]
0xfffffff0092cfa60: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092cfa64: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092cfa68: f60300f9  str	x22, [sp]
0xfffffff0092cfa6c: 8010ff90  adrp	x0, #0xfffffff0074df000
0xfffffff0092cfa70: 00983891  add	x0, x0, #0xe26
0xfffffff0092cfa74: 6b1dc297  bl	#0xfffffff008357020
0xfffffff0092cfa78: 757a3a91  add	x21, x19, #0xe9e
0xfffffff0092cfa7c: 9410ff90  adrp	x20, #0xfffffff0074df000
0xfffffff0092cfa80: 945e3191  add	x20, x20, #0xc57
0xfffffff0092cfa84: e00314aa  mov	x0, x20
0xfffffff0092cfa88: e10315aa  mov	x1, x21
0xfffffff0092cfa8c: 42008052  mov	w2, #2
0xfffffff0092cfa90: 4a75c697  bl	#0xfffffff00846cfb8
0xfffffff0092cfa94: c0070034  cbz	w0, #0xfffffff0092cfb8c
0xfffffff0092cfa98: 700240f9  ldr	x16, [x19]
0xfffffff0092cfa9c: f10313aa  mov	x17, x19
0xfffffff0092cfaa0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cfaa4: 301ac1da  autda	x16, x17
0xfffffff0092cfaa8: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cfaac: 1002118b  add	x16, x16, x17
0xfffffff0092cfab0: 080240f9  ldr	x8, [x16]
0xfffffff0092cfab4: e90310aa  mov	x9, x16
0xfffffff0092cfab8: e00313aa  mov	x0, x19
0xfffffff0092cfabc: 010080d2  mov	x1, #0
0xfffffff0092cfac0: f10309aa  mov	x17, x9
0xfffffff0092cfac4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cfac8: 11093fd7  blraa	x8, x17
0xfffffff0092cfacc: f60300aa  mov	x22, x0
0xfffffff0092cfad0: 700240f9  ldr	x16, [x19]
0xfffffff0092cfad4: f10313aa  mov	x17, x19
0xfffffff0092cfad8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cfadc: 301ac1da  autda	x16, x17
0xfffffff0092cfae0: 116e80d2  mov	x17, #0x370
0xfffffff0092cfae4: 1002118b  add	x16, x16, x17
0xfffffff0092cfae8: 080240f9  ldr	x8, [x16]
