; Candidate 15225
; ADRP+ADD at VM 0xfffffff009b40e50 (fileoff 0x2b3ce50): page=0x1fe199000 add_imm=0xdb8

0xfffffff009b40dd0: 969dff17  b	#0xfffffff009b28428
0xfffffff009b40dd4: 5f2403d5  bti	c
0xfffffff009b40dd8: 200020d4  brk	#1
0xfffffff009b40ddc: 5f2403d5  bti	c
0xfffffff009b40de0: 200020d4  brk	#1
0xfffffff009b40de4: 5f2403d5  bti	c
0xfffffff009b40de8: c04300b0  adrp	x0, #0xfffffff00a3b9000
0xfffffff009b40dec: 00803c91  add	x0, x0, #0xf20
0xfffffff009b40df0: c0035fd6  ret	
0xfffffff009b40df4: 7f2303d5  pacibsp	
0xfffffff009b40df8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009b40dfc: fd030091  mov	x29, sp
0xfffffff009b40e00: 41d7feb0  adrp	x1, #0xfffffff007629000
0xfffffff009b40e04: 21f01f91  add	x1, x1, #0x7fc
0xfffffff009b40e08: c20cff90  adrp	x2, #0xfffffff007cd8000
0xfffffff009b40e0c: 423c45f9  ldr	x2, [x2, #0xa78]
0xfffffff009b40e10: 03868052  mov	w3, #0x430
0xfffffff009b40e14: 498b9e97  bl	#0xfffffff0082e3b38
0xfffffff009b40e18: d00cffb0  adrp	x16, #0xfffffff007cd9000
0xfffffff009b40e1c: 10e22e91  add	x16, x16, #0xbb8
0xfffffff009b40e20: 10420091  add	x16, x16, #0x10
0xfffffff009b40e24: f10300aa  mov	x17, x0
0xfffffff009b40e28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b40e2c: 300ac1da  pacda	x16, x17
0xfffffff009b40e30: 100000f9  str	x16, [x0]
0xfffffff009b40e34: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009b40e38: ff0f5fd6  retab	
0xfffffff009b40e3c: 5f2403d5  bti	c
0xfffffff009b40e40: 000080d2  mov	x0, #0
0xfffffff009b40e44: c0035fd6  ret	
0xfffffff009b40e48: 5f2403d5  bti	c
0xfffffff009b40e4c: e10300aa  mov	x1, x0
0xfffffff009b40e50: c00cffb0  adrp	x0, #0xfffffff007cd9000
0xfffffff009b40e54: 00e03691  add	x0, x0, #0xdb8
0xfffffff009b40e58: f8999e17  b	#0xfffffff0082e7638
0xfffffff009b40e5c: 5f2403d5  bti	c
0xfffffff009b40e60: e20301aa  mov	x2, x1
0xfffffff009b40e64: e10300aa  mov	x1, x0
0xfffffff009b40e68: c00cffb0  adrp	x0, #0xfffffff007cd9000
0xfffffff009b40e6c: 00e03691  add	x0, x0, #0xdb8
0xfffffff009b40e70: 0b9a9e17  b	#0xfffffff0082e769c
0xfffffff009b40e74: 7f2303d5  pacibsp	
0xfffffff009b40e78: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009b40e7c: fd030091  mov	x29, sp
0xfffffff009b40e80: 41d7feb0  adrp	x1, #0xfffffff007629000
0xfffffff009b40e84: 21d82291  add	x1, x1, #0x8b6
0xfffffff009b40e88: c20cff90  adrp	x2, #0xfffffff007cd8000
0xfffffff009b40e8c: 424445f9  ldr	x2, [x2, #0xa88]
0xfffffff009b40e90: 03158052  mov	w3, #0xa8
0xfffffff009b40e94: 298b9e97  bl	#0xfffffff0082e3b38
0xfffffff009b40e98: d00cffb0  adrp	x16, #0xfffffff007cd9000
0xfffffff009b40e9c: 10c23391  add	x16, x16, #0xcf0
0xfffffff009b40ea0: 10420091  add	x16, x16, #0x10
0xfffffff009b40ea4: f10300aa  mov	x17, x0
0xfffffff009b40ea8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b40eac: 300ac1da  pacda	x16, x17
0xfffffff009b40eb0: 100000f9  str	x16, [x0]
0xfffffff009b40eb4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009b40eb8: ff0f5fd6  retab	
0xfffffff009b40ebc: 5f2403d5  bti	c
0xfffffff009b40ec0: 0d8e9e17  b	#0xfffffff0082e46f4
0xfffffff009b40ec4: 7f2303d5  pacibsp	
0xfffffff009b40ec8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009b40ecc: fd030091  mov	x29, sp
