; Candidate 5248
; ADRP+ADD at VM 0xfffffff0087e1b9c (fileoff 0x17ddb9c): page=0x1fea08000 add_imm=0xe80

0xfffffff0087e1b1c: 2d670294  bl	#0xfffffff00887b7d0
0xfffffff0087e1b20: 80070034  cbz	w0, #0xfffffff0087e1c10
0xfffffff0087e1b24: 600e8052  mov	w0, #0x73
0xfffffff0087e1b28: 3c670294  bl	#0xfffffff00887b818
0xfffffff0087e1b2c: f40300aa  mov	x20, x0
0xfffffff0087e1b30: 9f490394  bl	#0xfffffff0088b41ac
0xfffffff0087e1b34: f30300aa  mov	x19, x0
0xfffffff0087e1b38: c0008052  mov	w0, #6
0xfffffff0087e1b3c: 45670294  bl	#0xfffffff00887b850
0xfffffff0087e1b40: 34040034  cbz	w20, #0xfffffff0087e1bc4
0xfffffff0087e1b44: c82f8052  mov	w8, #0x17e
0xfffffff0087e1b48: e87f02a9  stp	x8, xzr, [sp, #0x20]
0xfffffff0087e1b4c: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e1b50: 08f93a91  add	x8, x8, #0xebe
0xfffffff0087e1b54: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e1b58: 680e8052  mov	w8, #0x73
0xfffffff0087e1b5c: f32300a9  stp	x19, x8, [sp]
0xfffffff0087e1b60: 8051ffb0  adrp	x0, #0xfffffff007212000
0xfffffff0087e1b64: 00503b91  add	x0, x0, #0xed4
0xfffffff0087e1b68: 3e56d797  bl	#0xfffffff007db7460
0xfffffff0087e1b6c: 29000014  b	#0xfffffff0087e1c10
0xfffffff0087e1b70: 8f490394  bl	#0xfffffff0088b41ac
0xfffffff0087e1b74: f40300aa  mov	x20, x0
0xfffffff0087e1b78: c0008052  mov	w0, #6
0xfffffff0087e1b7c: 35670294  bl	#0xfffffff00887b850
0xfffffff0087e1b80: 082e8052  mov	w8, #0x170
0xfffffff0087e1b84: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087e1b88: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e1b8c: 08f93a91  add	x8, x8, #0xebe
0xfffffff0087e1b90: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e1b94: 680e8052  mov	w8, #0x73
0xfffffff0087e1b98: f42300a9  stp	x20, x8, [sp]
0xfffffff0087e1b9c: 4050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e1ba0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e1ba4: 2191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e1ba8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e1bac: e352ff90  adrp	x3, #0xfffffff00723d000
0xfffffff0087e1bb0: 63a01b91  add	x3, x3, #0x6e8
0xfffffff0087e1bb4: 02008052  mov	w2, #0
0xfffffff0087e1bb8: 5e45ed97  bl	#0xfffffff008333130
0xfffffff0087e1bbc: d3f9ffb5  cbnz	x19, #0xfffffff0087e1af4
0xfffffff0087e1bc0: d5ffff17  b	#0xfffffff0087e1b14
0xfffffff0087e1bc4: 7a490394  bl	#0xfffffff0088b41ac
0xfffffff0087e1bc8: f30300aa  mov	x19, x0
0xfffffff0087e1bcc: c0008052  mov	w0, #6
0xfffffff0087e1bd0: 20670294  bl	#0xfffffff00887b850
0xfffffff0087e1bd4: c82f8052  mov	w8, #0x17e
0xfffffff0087e1bd8: e87f02a9  stp	x8, xzr, [sp, #0x20]
0xfffffff0087e1bdc: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e1be0: 08f93a91  add	x8, x8, #0xebe
0xfffffff0087e1be4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e1be8: 680e8052  mov	w8, #0x73
0xfffffff0087e1bec: f32300a9  stp	x19, x8, [sp]
0xfffffff0087e1bf0: 4050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e1bf4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e1bf8: 2191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e1bfc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e1c00: e352ff90  adrp	x3, #0xfffffff00723d000
0xfffffff0087e1c04: 631c1c91  add	x3, x3, #0x707
0xfffffff0087e1c08: 02008052  mov	w2, #0
0xfffffff0087e1c0c: 4945ed97  bl	#0xfffffff008333130
0xfffffff0087e1c10: 00008052  mov	w0, #0
0xfffffff0087e1c14: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0087e1c18: f44f44a9  ldp	x20, x19, [sp, #0x40]
