; Candidate 13253
; ADRP+ADD at VM 0xfffffff0092466e8 (fileoff 0x22426e8): page=0x1fe273000 add_imm=0xd34

0xfffffff009246668: 14008052  mov	w20, #0
0xfffffff00924666c: 604a40f9  ldr	x0, [x19, #0x90]
0xfffffff009246670: 100040f9  ldr	x16, [x0]
0xfffffff009246674: f10300aa  mov	x17, x0
0xfffffff009246678: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00924667c: 301ac1da  autda	x16, x17
0xfffffff009246680: 118180d2  mov	x17, #0x408
0xfffffff009246684: 1002118b  add	x16, x16, x17
0xfffffff009246688: 080240f9  ldr	x8, [x16]
0xfffffff00924668c: e90310aa  mov	x9, x16
0xfffffff009246690: e10314aa  mov	x1, x20
0xfffffff009246694: f10309aa  mov	x17, x9
0xfffffff009246698: 3171e3f2  movk	x17, #0x1b89, lsl #48
0xfffffff00924669c: 11093fd7  blraa	x8, x17
0xfffffff0092466a0: 94060011  add	w20, w20, #1
0xfffffff0092466a4: 9f0e0071  cmp	w20, #3
0xfffffff0092466a8: 21feff54  b.ne	#0xfffffff00924666c
0xfffffff0092466ac: 00008052  mov	w0, #0
0xfffffff0092466b0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0092466b4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0092466b8: ff0f5fd6  retab	
0xfffffff0092466bc: 7f2303d5  pacibsp	
0xfffffff0092466c0: ff0301d1  sub	sp, sp, #0x40
0xfffffff0092466c4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0092466c8: fdc30091  add	x29, sp, #0x30
0xfffffff0092466cc: 480040b9  ldr	w8, [x2]
0xfffffff0092466d0: ca4b8052  mov	w10, #0x25e
0xfffffff0092466d4: 8913fff0  adrp	x9, #0xfffffff0074b9000
0xfffffff0092466d8: 29b51a91  add	x9, x9, #0x6ad
0xfffffff0092466dc: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff0092466e0: e4a300a9  stp	x4, x8, [sp, #8]
0xfffffff0092466e4: e10300f9  str	x1, [sp]
0xfffffff0092466e8: 8013fff0  adrp	x0, #0xfffffff0074b9000
0xfffffff0092466ec: 00d03491  add	x0, x0, #0xd34
0xfffffff0092466f0: 8737c997  bl	#0xfffffff00849450c
0xfffffff0092466f4: 5f2403d5  bti	c
0xfffffff0092466f8: 084c218b  add	x8, x0, w1, uxtw #3
0xfffffff0092466fc: 086d40f9  ldr	x8, [x8, #0xd8]
0xfffffff009246700: 0841228b  add	x8, x8, w2, uxtw
0xfffffff009246704: 00014cb9  ldr	w0, [x8, #0xc00]
0xfffffff009246708: c0035fd6  ret	
0xfffffff00924670c: 5f2403d5  bti	c
0xfffffff009246710: 084c218b  add	x8, x0, w1, uxtw #3
0xfffffff009246714: 086d40f9  ldr	x8, [x8, #0xd8]
0xfffffff009246718: 0841228b  add	x8, x8, w2, uxtw
0xfffffff00924671c: 000148b9  ldr	w0, [x8, #0x800]
0xfffffff009246720: c0035fd6  ret	
0xfffffff009246724: 5f2403d5  bti	c
0xfffffff009246728: 084c218b  add	x8, x0, w1, uxtw #3
0xfffffff00924672c: 086d40f9  ldr	x8, [x8, #0xd8]
0xfffffff009246730: 0841228b  add	x8, x8, w2, uxtw
0xfffffff009246734: 000144b9  ldr	w0, [x8, #0x400]
0xfffffff009246738: c0035fd6  ret	
0xfffffff00924673c: 5f2403d5  bti	c
0xfffffff009246740: 085840f9  ldr	x8, [x0, #0xb0]
0xfffffff009246744: 0841218b  add	x8, x8, w1, uxtw
0xfffffff009246748: 000144b9  ldr	w0, [x8, #0x400]
0xfffffff00924674c: c0035fd6  ret	
0xfffffff009246750: 5f2403d5  bti	c
0xfffffff009246754: 085840f9  ldr	x8, [x0, #0xb0]
0xfffffff009246758: 0841218b  add	x8, x8, w1, uxtw
0xfffffff00924675c: 09808052  mov	w9, #0x400
0xfffffff009246760: 8900a072  movk	w9, #4, lsl #16
0xfffffff009246764: 006969b8  ldr	w0, [x8, x9]
