; Candidate 16085
; ADRP+ADD at VM 0xfffffff009e14f6c (fileoff 0x2e10f6c): page=0x1fd88f000 add_imm=0xe00

0xfffffff009e14eec: 88fd9997  bl	#0xfffffff00849450c
0xfffffff009e14ef0: 7f2303d5  pacibsp	
0xfffffff009e14ef4: ffc300d1  sub	sp, sp, #0x30
0xfffffff009e14ef8: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009e14efc: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009e14f00: fd830091  add	x29, sp, #0x20
0xfffffff009e14f04: 134000b1  adds	x19, x0, #0x10
0xfffffff009e14f08: a2010054  b.hs	#0xfffffff009e14f3c
0xfffffff009e14f0c: 68fe60d3  lsr	x8, x19, #0x20
0xfffffff009e14f10: 680100b5  cbnz	x8, #0xfffffff009e14f3c
0xfffffff009e14f14: e00313aa  mov	x0, x19
0xfffffff009e14f18: 74079597  bl	#0xfffffff008356ce8
0xfffffff009e14f1c: 600200b4  cbz	x0, #0xfffffff009e14f68
0xfffffff009e14f20: 08ef8d52  mov	w8, #0x6f78
0xfffffff009e14f24: 486cae72  movk	w8, #0x7362, lsl #16
0xfffffff009e14f28: 084c8228  stp	w8, w19, [x0], #0x10
0xfffffff009e14f2c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009e14f30: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009e14f34: ffc30091  add	sp, sp, #0x30
0xfffffff009e14f38: ff0f5fd6  retab	
0xfffffff009e14f3c: e00300f9  str	x0, [sp]
0xfffffff009e14f40: 60c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e14f44: 00003891  add	x0, x0, #0xe00
0xfffffff009e14f48: a1f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e14f4c: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e14f50: 63d0fe90  adrp	x3, #0xfffffff007820000
0xfffffff009e14f54: 63c40491  add	x3, x3, #0x131
0xfffffff009e14f58: 02028052  mov	w2, #0x10
0xfffffff009e14f5c: 75789497  bl	#0xfffffff008333130
0xfffffff009e14f60: 000080d2  mov	x0, #0
0xfffffff009e14f64: f2ffff17  b	#0xfffffff009e14f2c
0xfffffff009e14f68: f30300f9  str	x19, [sp]
0xfffffff009e14f6c: 60c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e14f70: 00003891  add	x0, x0, #0xe00
0xfffffff009e14f74: a1f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e14f78: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e14f7c: 63d0fe90  adrp	x3, #0xfffffff007820000
0xfffffff009e14f80: 637c0591  add	x3, x3, #0x15f
0xfffffff009e14f84: 02028052  mov	w2, #0x10
0xfffffff009e14f88: 6a789497  bl	#0xfffffff008333130
0xfffffff009e14f8c: 000080d2  mov	x0, #0
0xfffffff009e14f90: e7ffff17  b	#0xfffffff009e14f2c
0xfffffff009e14f94: 7f2303d5  pacibsp	
0xfffffff009e14f98: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009e14f9c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009e14fa0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009e14fa4: fd830091  add	x29, sp, #0x20
0xfffffff009e14fa8: f50301aa  mov	x21, x1
0xfffffff009e14fac: f30300aa  mov	x19, x0
0xfffffff009e14fb0: 34400091  add	x20, x1, #0x10
0xfffffff009e14fb4: e10314aa  mov	x1, x20
0xfffffff009e14fb8: 2dffff97  bl	#0xfffffff009e14c6c
0xfffffff009e14fbc: 60010034  cbz	w0, #0xfffffff009e14fe8
0xfffffff009e14fc0: e00315aa  mov	x0, x21
0xfffffff009e14fc4: cbffff97  bl	#0xfffffff009e14ef0
0xfffffff009e14fc8: a00000b4  cbz	x0, #0xfffffff009e14fdc
0xfffffff009e14fcc: 08005fb8  ldur	w8, [x0, #-0x10]
0xfffffff009e14fd0: 08010132  orr	w8, w8, #0x80000000
0xfffffff009e14fd4: 08001fb8  stur	w8, [x0, #-0x10]
0xfffffff009e14fd8: 05000014  b	#0xfffffff009e14fec
0xfffffff009e14fdc: e00313aa  mov	x0, x19
0xfffffff009e14fe0: e10314aa  mov	x1, x20
0xfffffff009e14fe4: aaffff97  bl	#0xfffffff009e14e8c
0xfffffff009e14fe8: 000080d2  mov	x0, #0
