; Candidate 2919
; ADRP+ADD at VM 0xfffffff0086f631c (fileoff 0x16f231c): page=0x1fea3b000 add_imm=0xd90

0xfffffff0086f629c: 683e5af9  ldr	x8, [x19, #0x3478]
0xfffffff0086f62a0: 29008052  mov	w9, #1
0xfffffff0086f62a4: 09811eb9  str	w9, [x8, #0x1e80]
0xfffffff0086f62a8: 60425af9  ldr	x0, [x19, #0x3480]
0xfffffff0086f62ac: 01008052  mov	w1, #0
0xfffffff0086f62b0: 02d18352  mov	w2, #0x1e88
0xfffffff0086f62b4: 435ad997  bl	#0xfffffff007d4cbc0
0xfffffff0086f62b8: 68425af9  ldr	x8, [x19, #0x3480]
0xfffffff0086f62bc: 1f811eb9  str	wzr, [x8, #0x1e80]
0xfffffff0086f62c0: 087e8652  mov	w8, #0x33f0
0xfffffff0086f62c4: 6002088b  add	x0, x19, x8
0xfffffff0086f62c8: 01008052  mov	w1, #0
0xfffffff0086f62cc: 020f8052  mov	w2, #0x78
0xfffffff0086f62d0: 3c5ad997  bl	#0xfffffff007d4cbc0
0xfffffff0086f62d4: 08918652  mov	w8, #0x3488
0xfffffff0086f62d8: 6002088b  add	x0, x19, x8
0xfffffff0086f62dc: 01008052  mov	w1, #0
0xfffffff0086f62e0: 020f8052  mov	w2, #0x78
0xfffffff0086f62e4: 375ad997  bl	#0xfffffff007d4cbc0
0xfffffff0086f62e8: 08a08652  mov	w8, #0x3500
0xfffffff0086f62ec: 6002088b  add	x0, x19, x8
0xfffffff0086f62f0: 01008052  mov	w1, #0
0xfffffff0086f62f4: 02028052  mov	w2, #0x10
0xfffffff0086f62f8: 325ad997  bl	#0xfffffff007d4cbc0
0xfffffff0086f62fc: 08a28652  mov	w8, #0x3510
0xfffffff0086f6300: 6002088b  add	x0, x19, x8
0xfffffff0086f6304: 01008052  mov	w1, #0
0xfffffff0086f6308: 02028052  mov	w2, #0x10
0xfffffff0086f630c: 2d5ad997  bl	#0xfffffff007d4cbc0
0xfffffff0086f6310: 7f3e0cb9  str	wzr, [x19, #0xc3c]
0xfffffff0086f6314: 7f3235b9  str	wzr, [x19, #0x3530]
0xfffffff0086f6318: f77f00a9  stp	x23, xzr, [sp]
0xfffffff0086f631c: c051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f6320: 00403691  add	x0, x0, #0xd90
0xfffffff0086f6324: 2198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f6328: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f632c: e351fff0  adrp	x3, #0xfffffff007135000
0xfffffff0086f6330: 637c0d91  add	x3, x3, #0x35f
0xfffffff0086f6334: 02008052  mov	w2, #0
0xfffffff0086f6338: 7ef3f097  bl	#0xfffffff008333130
0xfffffff0086f633c: 1f030739  strb	wzr, [x24, #0x1c0]
0xfffffff0086f6340: 88a68652  mov	w8, #0x3534
0xfffffff0086f6344: 6002088b  add	x0, x19, x8
0xfffffff0086f6348: 01008052  mov	w1, #0
0xfffffff0086f634c: 02028052  mov	w2, #0x10
0xfffffff0086f6350: 1c5ad997  bl	#0xfffffff007d4cbc0
0xfffffff0086f6354: bf5e0671  cmp	w21, #0x197
0xfffffff0086f6358: 4c020054  b.gt	#0xfffffff0086f63a0
0xfffffff0086f635c: a8420651  sub	w8, w21, #0x190
0xfffffff0086f6360: 1f0d0071  cmp	w8, #3
0xfffffff0086f6364: 63000054  b.lo	#0xfffffff0086f6370
0xfffffff0086f6368: bf520671  cmp	w21, #0x194
0xfffffff0086f636c: 21090054  b.ne	#0xfffffff0086f6490
0xfffffff0086f6370: e00313aa  mov	x0, x19
0xfffffff0086f6374: 69f40094  bl	#0xfffffff008733518
0xfffffff0086f6378: 1d000014  b	#0xfffffff0086f63ec
0xfffffff0086f637c: c051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f6380: 00403691  add	x0, x0, #0xd90
0xfffffff0086f6384: 2198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f6388: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f638c: e351fff0  adrp	x3, #0xfffffff007135000
0xfffffff0086f6390: 63980c91  add	x3, x3, #0x326
0xfffffff0086f6394: 02008052  mov	w2, #0
0xfffffff0086f6398: 66f3f097  bl	#0xfffffff008333130
